run_id,total_count,train_count,validation_count,validation_fraction,mask_bytes,mask_sha256,mask_path
0,338686,305006,33680,0.09944314202535683,42336,79e4f4c60cf3694fa2afaa6d253e61e47cdf482fa666fd8d9cc3204d2e655e80,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0000.bin
1,339437,305345,34092,0.10043689992546481,42430,fedbb530a073bf3abfe66de17c2c6a457562981794eabac903446602f58fbcf2,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0001.bin
2,338179,304193,33986,0.10049707403475674,42273,76b831d7818379dd6e54fb3c794eb7e7e241169a058052828934503bb9cba18d,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0002.bin
3,339294,305066,34228,0.10088006271846835,42412,aebfc7c1b644d7fa16810bfca601d13be45959a9d9d35f7fba91c2ae096efc34,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0003.bin
4,338534,304507,34027,0.10051279930523965,42317,dc21fe54d28f63ddf3dab64d064bf461e7e0b2d7232a2961a099364cebc6d8ec,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0004.bin
5,339944,305887,34057,0.10018414797731391,42493,13d689767ed79c4041db5cfb993b94dd4c4cea87e2b56a78553d7f0a1e145303,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0005.bin
6,339711,305887,33824,0.09956698487832305,42464,e29107d58dc58e169bf6e0e37cb26de93654eed3f57bcbe38fb9130d0eca440c,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0006.bin
7,338785,304822,33963,0.10024942072405803,42349,ed1ea94c112b3d4956c55b5badd4ff5a241bc7aef29c09bae60f0c95bc913ad8,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0007.bin
8,338965,305093,33872,0.0999277211511513,42371,aaae7af155bfd9961f8a12a6ff4f1812e58b1fe5747da7f851388beb4154d822,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0008.bin
9,339867,305809,34058,0.1002097879464614,42484,399b3a5b13a627b328645949ee84410edaabe2e3b1e282e11bdffa200f2c1476,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0009.bin
10,339321,305408,33913,0.09994371111720171,42416,b22e7b0c8751ed0cb44f50999d26ca4962a561b68265d76a1236bfd1a8c72ece,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0010.bin
11,339401,305559,33842,0.09971096137017864,42426,62bf71d96e54be75107d5af1319e6a1e2dc78818397926785654fcf70d6ff5d9,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0011.bin
12,338844,305039,33805,0.09976567387942534,42356,deb20bb8ff1a30fa2e25dde18f139c11df51a0089bc775f1979b30a03c35414d,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0012.bin
13,338696,304916,33780,0.09973545598412736,42337,6a53fec1765fbce9028a870145496bc879fd98a76d6b5a67b3c8d9f348b79b0c,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0013.bin
14,338972,304999,33973,0.10022361728992366,42372,a108938bf11e509a1f503d2ad0c812af814319abe0acd4cf466f32000894a2b1,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0014.bin
15,338829,304885,33944,0.10018032694958223,42354,160731da18d281f9f449e7f96b05692f109bb07ad62717a459069a742539b74b,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0015.bin
16,339732,305926,33806,0.09950784736203831,42467,e7d278fb70e4ccd654adc2d2181673ce43616dbfc59b497a371eadf1800e1be2,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0016.bin
17,338630,304733,33897,0.10010040457136107,42329,8bbcc9405a219ace7067bcfc4acceeaa377d52cc38affbc94791ad6858139306,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0017.bin
18,338882,304729,34153,0.10078139293323339,42361,7385eaaa076e1184089ecb0c9384a40178bde0d0ab1257a1579b1855c9d0c168,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0018.bin
19,339085,304852,34233,0.10095698718610378,42386,db4065b037bdf1e980c153bdec9e4d5a7cc45d371f34bb8f1b59813a0dd8abfd,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0019.bin
20,339023,305037,33986,0.10024688590449615,42378,a7b92e8d91292f96309906d0aa7ce40d5375fd5f807c6a3a42eb9f6a9eb7221b,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0020.bin
21,338390,304253,34137,0.10088064068087119,42299,1d114d7b58868c632e7cbadf31d27e76c79a34470b3ef42c77c90d115c52681d,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0021.bin
22,339692,305635,34057,0.10025846943701942,42462,41cd35d305fce8995fa7fdd66c2962b1ce7a1f52b1c9389d46f203eb5923f16b,data/preprocessing_data/results0716/splits/baseline90_10/validation_mask_0022.bin
