epoch,subset,relaxation,pairs,measurements,residual_rmse_mm,update_l2,update_max_abs,image_min,image_max,elapsed_seconds
1,0,0.25,9348663,8149039,2.6195290801643307,1.6668750047683716,0.20669493079185486,0.0,2.132772445678711,153.20908066099946
1,1,0.25,9346946,8146077,2.6105696684197754,1.4469341039657593,0.12394693493843079,0.0,2.133388042449951,153.01811744000042
1,2,0.25,9346305,8146235,2.604207739225705,1.3612897396087646,0.22443631291389465,0.0,2.1339383125305176,153.13567559199964
1,3,0.25,9346107,8146910,2.5998484189160695,1.1790099143981934,0.12621496617794037,0.0,2.1343624591827393,153.00869579699975
1,4,0.25,9350078,8147642,2.596629921789382,1.1231558322906494,0.18068544566631317,0.0,2.1347177028656006,153.29449360000035
1,5,0.25,9352163,8151974,2.596113750317161,1.0710190534591675,0.11091300845146179,0.0,2.134967803955078,153.30571666600008
1,6,0.25,9348942,8148587,2.5949031580519377,1.0897777080535889,0.3537667393684387,0.0,2.135282039642334,153.24527018800018
1,7,0.25,9347864,8147995,2.5944491082437313,0.988031804561615,0.13812007009983063,0.0,2.1354055404663086,153.0749834220005
1,8,0.25,9344552,8144907,2.592053314695291,0.9366536736488342,0.11196915805339813,0.0,2.1355764865875244,152.90235887700055
1,9,0.25,9350755,8150795,2.5920858880036084,0.9054452180862427,0.08245153725147247,0.0,2.1356043815612793,153.1920754749999
1,10,0.25,9348185,8149637,2.5903529657433366,0.9327388405799866,0.19319991767406464,0.0,2.135728597640991,153.17780323599982
1,11,0.25,9350639,8151052,2.590529829119473,0.8651846647262573,0.08332031965255737,0.0,2.135680675506592,153.25543345499955
1,12,0.25,9349804,8149598,2.5902573592639335,0.9738720059394836,0.2894360423088074,0.0,2.1358489990234375,153.21123776600052
1,13,0.25,9348121,8149618,2.588686070571601,0.8900233507156372,0.26868242025375366,0.0,2.135955810546875,153.2608720320004
1,14,0.25,9343210,8143995,2.5882052223950565,0.8132935166358948,0.16670933365821838,0.0,2.1359400749206543,153.10372051600007
1,15,0.25,9351089,8151777,2.5873307728854873,0.7738741636276245,0.08801673352718353,0.0,2.1360673904418945,153.22049336700002
1,16,0.25,9344910,8145274,2.587992023473652,0.7959973812103271,0.11875269562005997,0.0,2.1360254287719727,153.09397947600064
1,17,0.25,9343989,8145373,2.5885971157957535,0.8252784609794617,0.19788816571235657,0.0,2.1360278129577637,153.02522972599945
2,0,0.20833333333333334,9348663,8149039,2.586145369297611,0.697621762752533,0.15496563911437988,0.0,2.119281053543091,152.79021474799993
2,1,0.20833333333333334,9346946,8146077,2.587126682136328,0.6445567607879639,0.092593252658844,0.0,2.1194090843200684,152.64383966999958
2,2,0.20833333333333334,9346305,8146235,2.5866154835511836,0.6931707859039307,0.17467929422855377,0.0,2.1196188926696777,152.65301602700038
2,3,0.20833333333333334,9346107,8146910,2.5860292990345735,0.5884522795677185,0.09369131922721863,0.0,2.119814157485962,152.61640847800118
2,4,0.20833333333333334,9350078,8147642,2.585039121694993,0.5977045297622681,0.13870210945606232,0.0,2.119950771331787,152.64003496199985
2,5,0.20833333333333334,9352163,8151974,2.5861233829525903,0.5893927812576294,0.08434102684259415,0.0,2.1200411319732666,152.85918970700004
2,6,0.20833333333333334,9348942,8148587,2.5860720591506468,0.6494660973548889,0.2816079556941986,0.0,2.1200904846191406,152.54281317500136
2,7,0.20833333333333334,9347864,8147995,2.5864361947402426,0.5707651972770691,0.10992170125246048,0.0,2.120258331298828,152.55012142799933
2,8,0.20833333333333334,9344552,8144907,2.5847235072528827,0.5429130792617798,0.08118050545454025,0.0,2.1203579902648926,152.41981302600107
2,9,0.20833333333333334,9350755,8150795,2.5853652593202425,0.5321051478385925,0.058966994285583496,0.0,2.120298385620117,152.58124505900014
2,10,0.20833333333333334,9348185,8149637,2.5841391545553596,0.5739490389823914,0.14803288877010345,0.0,2.120476484298706,152.8175494320003
