input,inside_grid,outside_grid,output,removed,removed_inside_grid_by_3sigma,occupied_pixels,zero_count_pixels,input_primary,output_primary,run_id,retained_fraction
393992,349242,44750,338686,55306,10556,250,0,393992,338686,0,0.8596265914028711
394926,350152,44774,339437,55489,10715,250,0,394926,339437,1,0.8594951965684711
393688,349052,44636,338179,55509,10873,250,0,393688,338179,2,0.8590025604031619
393988,349865,44123,339294,54694,10571,250,0,393988,339294,3,0.8611785130511589
393666,349151,44515,338534,55132,10617,250,0,393666,338534,4,0.8599523453892386
395269,350637,44632,339944,55325,10693,250,0,395269,339944,5,0.8600320288208789
395206,350402,44804,339711,55495,10691,250,0,395206,339711,6,0.8595795610390531
394066,349579,44487,338785,55281,10794,250,0,394066,338785,7,0.8597163926854893
393928,349581,44347,338965,54963,10616,250,0,393928,338965,8,0.8604745029548547
395036,350592,44444,339867,55169,10725,250,0,395036,339867,9,0.8603443736773357
394926,350135,44791,339321,55605,10814,250,0,394926,339321,10,0.859201470655262
394812,350106,44706,339401,55411,10705,250,0,394812,339401,11,0.859652188889902
394372,349616,44756,338844,55528,10772,250,0,394372,338844,12,0.8591989289300458
393779,349336,44443,338696,55083,10640,250,0,393779,338696,13,0.8601169691629061
394237,349626,44611,338972,55265,10654,250,0,394237,338972,14,0.859817825318273
393944,349588,44356,338829,55115,10759,250,0,393944,338829,15,0.8600943281278557
394813,350342,44471,339732,55081,10610,250,0,394813,339732,16,0.8604883831079524
393914,349233,44681,338630,55284,10603,250,0,393914,338630,17,0.8596546454302209
394364,349502,44862,338882,55482,10620,250,0,394364,338882,18,0.8593127161708473
394187,349795,44392,339085,55102,10710,250,0,394187,339085,19,0.8602135534657409
394104,349635,44469,339023,55081,10612,250,0,394104,339023,20,0.8602373992651686
393527,349169,44358,338390,55137,10779,250,0,393527,338390,21,0.8598901727200421
394520,350344,44176,339692,54828,10652,250,0,394520,339692,22,0.8610260569806347
393613,349160,44453,338552,55061,10608,250,0,393613,338552,23,0.8601138681903291
394617,349801,44816,339100,55517,10701,250,0,394617,339100,24,0.8593142211308686
393077,348674,44403,337873,55204,10801,250,0,393077,337873,25,0.8595593229825199
393621,349230,44391,338559,55062,10671,250,0,393621,338559,26,0.8601141707378417
394714,350241,44473,339625,55089,10616,250,0,394714,339625,27,0.8604331237300932
394093,349298,44795,338652,55441,10646,250,0,394093,338652,28,0.8593200082214096
394754,350213,44541,339519,55235,10694,250,0,394754,339519,29,0.8600774153016816
395115,350517,44598,339800,55315,10717,250,0,395115,339800,30,0.8600027839995951
394418,349498,44920,338815,55603,10683,250,0,394418,338815,31,0.8590251966188156
394512,349735,44777,338937,55575,10798,250,0,394512,338937,32,0.8591297603114734
394616,349607,45009,338951,55665,10656,250,0,394616,338951,33,0.858938816469682
394633,349966,44667,339238,55395,10728,250,0,394633,339238,34,0.8596290730881604
394933,350053,44880,339369,55564,10684,250,0,394933,339369,35,0.8593077813198694
394024,349624,44400,339054,54970,10570,250,0,394024,339054,36,0.8604907315290439
393973,349371,44602,338670,55303,10701,250,0,393973,338670,37,0.8596274363979257
395322,350480,44842,339771,55551,10709,250,0,395322,339771,38,0.8594791081700487
393901,349620,44281,338717,55184,10903,250,0,393901,338717,39,0.8599038844785872
395009,350402,44607,339691,55318,10711,250,0,395009,339691,40,0.8599576212187571
394098,349397,44701,338618,55480,10779,250,0,394098,338618,41,0.8592228328994311
394320,349733,44587,339048,55272,10685,250,0,394320,339048,42,0.8598295800365185
394458,349547,44911,338916,55542,10631,250,0,394458,338916,43,0.8591941347367781
395235,350653,44582,340059,55176,10594,250,0,395235,340059,44,0.8603969790124862
395331,350635,44696,340020,55311,10615,250,0,395331,340020,45,0.8600893934449866
395480,351240,44240,340541,54939,10699,250,0,395480,340541,46,0.86108273490442
