run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative
0,14.7586855870004,26,481,109127782,0,251352,47721017,0,0.0,1.5445846319198608,45378.896348342096,0,0
1,14.747395303000303,29,480,109289072,0,251352,47899043,0,0.0,1.5120233297348022,45452.53673038166,0,0
2,14.746782497999448,28,489,109022045,0,251352,47777572,0,0.0,1.869016408920288,45405.879466283375,0,0
3,14.746166287000051,31,522,109310273,0,251352,47967007,0,0.0,1.796126127243042,45954.647740220214,0,0
4,3.622800465000182,32,517,109099709,0,251352,47859450,0,0.0,2.2326273918151855,47454.24987327101,0,0
5,3.610421366999617,31,514,109584977,0,251352,47886039,0,0.0,1.919568419456482,48560.78430569506,0,0
6,3.6361614719999125,30,499,109590020,0,251352,47926663,0,0.0,2.0631208419799805,49432.3419284305,0,0
7,3.642814832000113,29,511,109289175,0,251352,47802914,0,0.0,2.0474748611450195,50313.17579507717,0,0
8,3.5640979199997673,28,507,109314460,0,251352,47941089,0,0.0,2.0005569458007812,51089.13029207155,0,0
9,3.609116311999969,28,507,109597223,0,251352,47870696,0,0.0,1.8448530435562134,51490.35291909429,0,0
10,3.591619212999831,31,494,109615299,0,251352,47961747,0,0.0,1.5279474258422852,51918.31793362199,0,0
11,3.614406401999986,28,503,109330928,0,251352,47916778,0,0.0,1.5959844589233398,52788.72483641055,0,0
12,3.552386070000466,32,479,109297605,0,251352,47920076,0,0.0,1.4293094873428345,51921.18173325964,0,0
13,3.5541792399999395,31,494,109089199,0,251352,47835283,0,0.0,1.549964427947998,52862.68266440893,0,0
14,3.5416717200005223,30,504,109196561,0,251352,47812377,0,0.0,1.679194450378418,51763.13333679343,0,0
15,3.55517487599991,30,489,109199753,0,251352,47650805,0,0.0,1.448035717010498,51894.17293463669,0,0
16,3.6350763469999947,32,495,109557984,0,251352,48035077,0,0.0,1.9136409759521484,51420.94616451714,0,0
17,3.5883844460004184,29,491,109144202,0,251352,47807993,0,0.0,1.6585166454315186,51160.93624634801,0,0
18,3.6061387390000164,28,557,109140953,0,251352,47827769,0,0.0,1.7533915042877197,49971.65236801223,0,0
19,3.620963479999773,29,500,109347958,0,251352,47902892,0,0.0,1.584177851676941,49640.653795403705,0,0
20,3.6972895789995164,29,503,109297611,0,251352,47793789,0,0.0,1.5543208122253418,48775.11752065638,0,0
21,3.653456400000323,25,492,109222144,0,251352,47850877,0,0.0,1.7992647886276245,48539.99683905067,0,0
22,3.7016257999994195,32,496,109527337,0,251352,48145992,0,0.0,1.4310100078582764,48025.892123678306,0,0
23,3.633646134000628,27,489,109159645,0,251352,47778820,0,0.0,2.0487966537475586,48976.86966085178,0,0
