input_rows,input_unique_merge_keys,input_duplicates_removed,output_rows,output_unique_run_event_track_keys,output_duplicate_run_event_track_rows,matched_input_merge_keys,unmatched_input_merge_keys,pairs,primary_pairs,secondary_pairs,local_run_id,run_id,input_in,input_out
100068,100068,0,91092,91092,0,87852,12216,87852,87852,0,0,0,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_000/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_000/PhaseSpaceOut.root
99579,99579,0,90748,90748,0,87597,11982,87597,87597,0,0,1,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_001/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_001/PhaseSpaceOut.root
99595,99595,0,90701,90701,0,87639,11956,87639,87639,0,0,2,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_002/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_002/PhaseSpaceOut.root
100523,100523,0,91414,91414,0,88316,12207,88316,88316,0,0,3,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_003/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_003/PhaseSpaceOut.root
99860,99860,0,90814,90814,0,87705,12155,87705,87705,0,0,4,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_004/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_004/PhaseSpaceOut.root
100144,100144,0,91068,91068,0,87936,12208,87936,87936,0,0,5,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_005/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_005/PhaseSpaceOut.root
99750,99750,0,90740,90740,0,87565,12185,87565,87565,0,0,6,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_006/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_006/PhaseSpaceOut.root
99705,99705,0,90753,90753,0,87663,12042,87663,87663,0,0,7,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_007/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_007/PhaseSpaceOut.root
100143,100143,0,91247,91247,0,88075,12068,88075,88075,0,0,8,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_008/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_008/PhaseSpaceOut.root
100196,100196,0,91109,91109,0,87965,12231,87965,87965,0,0,9,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_009/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_009/PhaseSpaceOut.root
