input_rows,input_unique_merge_keys,input_duplicates_removed,output_rows,output_unique_run_event_track_keys,output_duplicate_run_event_track_rows,matched_input_merge_keys,unmatched_input_merge_keys,pairs,primary_pairs,secondary_pairs,local_run_id,run_id,matched_same_track_pairs,secondary_pairs_removed,input_in,input_out
99514,99514,0,90441,90441,0,87367,12147,87352,87352,0,0,0,87367,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_000/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_000/PhaseSpaceOut.root
100445,100445,0,91368,91368,0,88298,12147,88279,88279,0,0,1,88298,19,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_001/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_001/PhaseSpaceOut.root
99711,99711,0,90786,90786,0,87708,12003,87695,87695,0,0,2,87708,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_002/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_002/PhaseSpaceOut.root
100168,100168,0,91250,91250,0,87996,12172,87985,87985,0,0,3,87996,11,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_003/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_003/PhaseSpaceOut.root
100131,100131,0,91069,91069,0,87914,12217,87896,87896,0,0,4,87914,18,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_004/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_004/PhaseSpaceOut.root
99690,99690,0,90784,90784,0,87645,12045,87626,87626,0,0,5,87645,19,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_005/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_005/PhaseSpaceOut.root
100249,100249,0,91084,91084,0,87992,12257,87981,87981,0,0,6,87992,11,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_006/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_006/PhaseSpaceOut.root
100011,100011,0,90906,90906,0,87797,12214,87778,87778,0,0,7,87797,19,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_007/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_007/PhaseSpaceOut.root
100161,100161,0,91059,91059,0,87970,12191,87953,87953,0,0,8,87970,17,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_008/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_008/PhaseSpaceOut.root
99779,99779,0,90547,90547,0,87440,12339,87431,87431,0,0,9,87440,9,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_009/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_009/PhaseSpaceOut.root
99906,99906,0,90770,90770,0,87667,12239,87654,87654,0,0,10,87667,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_010/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_010/PhaseSpaceOut.root
100202,100202,0,91062,91062,0,87879,12323,87866,87866,0,0,11,87879,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_011/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_011/PhaseSpaceOut.root
100150,100150,0,90972,90972,0,87844,12306,87837,87837,0,0,12,87844,7,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_012/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_012/PhaseSpaceOut.root
100246,100246,0,91182,91182,0,88018,12228,88003,88003,0,0,13,88018,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_013/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_013/PhaseSpaceOut.root
99124,99124,0,90216,90216,0,87227,11897,87218,87218,0,0,14,87227,9,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_014/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_014/PhaseSpaceOut.root
100063,100063,0,91184,91184,0,88097,11966,88085,88085,0,0,15,88097,12,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_015/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_015/PhaseSpaceOut.root
99992,99992,0,91005,91005,0,87835,12157,87818,87818,0,0,16,87835,17,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_016/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_016/PhaseSpaceOut.root
100807,100807,0,91649,91649,0,88493,12314,88481,88481,0,0,17,88493,12,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_017/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_017/PhaseSpaceOut.root
99105,99105,0,90070,90070,0,86990,12115,86969,86969,0,0,18,86990,21,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_018/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_018/PhaseSpaceOut.root
99423,99423,0,90481,90481,0,87352,12071,87342,87342,0,0,19,87352,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_019/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_019/PhaseSpaceOut.root
100264,100264,0,91035,91035,0,87885,12379,87875,87875,0,0,20,87885,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_020/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_020/PhaseSpaceOut.root
99707,99707,0,90792,90792,0,87715,11992,87701,87701,0,0,21,87715,14,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_021/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_021/PhaseSpaceOut.root
99904,99904,0,90752,90752,0,87572,12332,87553,87553,0,0,22,87572,19,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_022/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_022/PhaseSpaceOut.root
99677,99677,0,90706,90706,0,87632,12045,87616,87616,0,0,23,87632,16,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_023/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_023/PhaseSpaceOut.root
100006,100006,0,90880,90880,0,87761,12245,87753,87753,0,0,24,87761,8,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_024/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_024/PhaseSpaceOut.root
99851,99851,0,90779,90779,0,87684,12167,87665,87665,0,0,25,87684,19,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_025/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_025/PhaseSpaceOut.root
100275,100275,0,91197,91197,0,88087,12188,88075,88075,0,0,26,88087,12,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_026/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_026/PhaseSpaceOut.root
100144,100144,0,90961,90961,0,87876,12268,87856,87856,0,0,27,87876,20,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_027/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_027/PhaseSpaceOut.root
99797,99797,0,90843,90843,0,87694,12103,87680,87680,0,0,28,87694,14,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_028/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_028/PhaseSpaceOut.root
100224,100224,0,91034,91034,0,87865,12359,87847,87847,0,0,29,87865,18,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_029/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_029/PhaseSpaceOut.root
99857,99857,0,90789,90789,0,87522,12335,87508,87508,0,0,30,87522,14,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_030/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_030/PhaseSpaceOut.root
