input,inside_grid,outside_grid,output,removed,removed_inside_grid_by_3sigma,occupied_pixels,zero_count_pixels,input_primary,output_primary,run_id,retained_fraction
88113,67404,20709,64990,23123,2414,250,0,88113,64990,0,0.7375756131331359
87989,67198,20791,64741,23248,2457,250,0,87989,64741,1,0.7357851549625521
87639,67139,20500,64723,22916,2416,250,0,87639,64723,2,0.7385182395965266
88261,67678,20583,65169,23092,2509,250,0,88261,65169,3,0.7383668891129718
87740,67237,20503,64780,22960,2457,250,0,87740,64780,4,0.7383177570093458
87312,66651,20661,64220,23092,2431,250,0,87312,64220,5,0.7355231812351108
87961,67190,20771,64699,23262,2491,250,0,87961,64699,6,0.7355418878821296
87692,67154,20538,64663,23029,2491,250,0,87692,64663,7,0.7373876750444739
87198,66697,20501,64270,22928,2427,250,0,87198,64270,8,0.7370581894080139
88095,67357,20738,64839,23256,2518,250,0,88095,64839,9,0.7360122594925932
88002,67384,20618,64842,23160,2542,250,0,88002,64842,10,0.7368241630872026
87762,67130,20632,64670,23092,2460,250,0,87762,64670,11,0.7368792871630091
88114,67505,20609,65018,23096,2487,250,0,88114,65018,12,0.7378850125973171
87849,67308,20541,64876,22973,2432,250,0,87849,64876,13,0.7384944620883561
87731,67071,20660,64565,23166,2506,250,0,87731,64565,14,0.7359428252271147
87788,67356,20432,64791,22997,2565,250,0,87788,64791,15,0.7380393675673212
88071,67266,20805,64777,23294,2489,250,0,88071,64777,16,0.7355088508135481
87887,67313,20574,64786,23101,2527,250,0,87887,64786,17,0.7371511144993003
87565,67058,20507,64555,23010,2503,250,0,87565,64555,18,0.73722377662308
87640,67153,20487,64701,22939,2452,250,0,87640,64701,19,0.7382587859424921
88172,67656,20516,65143,23029,2513,250,0,88172,65143,20,0.7388173116182007
87632,66969,20663,64478,23154,2491,250,0,87632,64478,21,0.7357814496987402
87900,67152,20748,64708,23192,2444,250,0,87900,64708,22,0.7361547212741752
87842,67128,20714,64719,23123,2409,250,0,87842,64719,23,0.7367660117028301
87657,66947,20710,64536,23121,2411,250,0,87657,64536,24,0.7362332728703925
87974,67241,20733,64706,23268,2535,250,0,87974,64706,25,0.7355127651351536
87841,67430,20411,64923,22918,2507,250,0,87841,64923,26,0.7390967771314079
87848,67384,20464,64950,22898,2434,250,0,87848,64950,27,0.7393452326746198
87827,67207,20620,64688,23139,2519,250,0,87827,64688,28,0.7365388775661244
87751,67152,20599,64683,23068,2469,250,0,87751,64683,29,0.7371198049025083
87944,67390,20554,64873,23071,2517,250,0,87944,64873,30,0.7376626034749386
88138,67500,20638,64965,23173,2535,250,0,88138,64965,31,0.7370827565862624
87999,67514,20485,64984,23015,2530,250,0,87999,64984,32,0.7384629370788305
87601,66925,20676,64500,23101,2425,250,0,87601,64500,33,0.7362929646921839
87742,67257,20485,64771,22971,2486,250,0,87742,64771,34,0.738198354265916
87909,67322,20587,64809,23100,2513,250,0,87909,64809,35,0.7372282701429888
87660,67012,20648,64462,23198,2550,250,0,87660,64462,36,0.7353639060004563
88543,67588,20955,65135,23408,2453,250,0,88543,65135,37,0.7356312751996206
87602,67026,20576,64587,23015,2439,250,0,87602,64587,38,0.7372776877240246
87848,67396,20452,64990,22858,2406,250,0,87848,64990,39,0.7398005646116018
87685,67427,20258,64964,22721,2463,250,0,87685,64964,40,0.7408792837999658
87588,67048,20540,64559,23029,2489,250,0,87588,64559,41,0.7370758551399735
87598,66962,20636,64514,23084,2448,250,0,87598,64514,42,0.7364780017808625
87632,67253,20379,64854,22778,2399,250,0,87632,64854,43,0.7400721197735987
88341,67624,20717,65088,23253,2536,250,0,88341,65088,44,0.7367813359595204
88039,67311,20728,64834,23205,2477,250,0,88039,64834,45,0.736423630436511
87728,67321,20407,64867,22861,2454,250,0,87728,64867,46,0.7394104504833121
87774,67126,20648,64635,23139,2491,250,0,87774,64635,47,0.7363797935607356
87411,66867,20544,64388,23023,2479,250,0,87411,64388,48,0.7366120968756793
87543,67102,20441,64588,22955,2514,250,0,87543,64588,49,0.7377860023074375
87621,66953,20668,64518,23103,2435,250,0,87621,64518,50,0.7363303317697812
87529,67024,20505,64549,22980,2475,250,0,87529,64549,51,0.7374584423448228
88111,67346,20765,64830,23281,2516,250,0,88111,64830,52,0.7357764637786428
87392,67019,20373,64572,22820,2447,250,0,87392,64572,53,0.7388777004760161
87267,66855,20412,64381,22886,2474,250,0,87267,64381,54,0.7377473730046867
87427,66936,20491,64459,22968,2477,250,0,87427,64459,55,0.737289395724433
88212,67323,20889,64824,23388,2499,250,0,88212,64824,56,0.734866004625221
87860,67175,20685,64683,23177,2492,250,0,87860,64683,57,0.7362053266560437
87682,67085,20597,64615,23067,2470,250,0,87682,64615,58,0.7369243402294656
87094,66720,20374,64229,22865,2491,250,0,87094,64229,59,0.7374675637816612
87616,66857,20759,64387,23229,2470,250,0,87616,64387,60,0.7348771913805697
88338,67612,20726,65139,23199,2473,250,0,88338,65139,61,0.7373836853902058
88480,67790,20690,65254,23226,2536,250,0,88480,65254,62,0.7375
88040,67569,20471,65157,22883,2412,250,0,88040,65157,63,0.7400840527033167
87531,66982,20549,64636,22895,2346,250,0,87531,64636,64,0.7384355256994665
88360,67567,20793,65036,23324,2531,250,0,88360,65036,65,0.7360344047080126
88045,67481,20564,65098,22947,2383,250,0,88045,65098,66,0.7393719120904083
87691,67132,20559,64697,22994,2435,250,0,87691,64697,67,0.7377838090568017
88297,67481,20816,64989,23308,2492,250,0,88297,64989,68,0.7360272715947315
87919,67327,20592,64831,23088,2496,250,0,87919,64831,69,0.7373946473458525
87778,67211,20567,64793,22985,2418,250,0,87778,64793,70,0.7381462325411834
87822,67136,20686,64633,23189,2503,250,0,87822,64633,71,0.7359545444193938
87569,66959,20610,64559,23010,2400,250,0,87569,64559,72,0.7372357797850838
87759,67247,20512,64719,23040,2528,250,0,87759,64719,73,0.7374628243257102
87506,67124,20382,64698,22808,2426,250,0,87506,64698,74,0.7393550156560693
87379,66729,20650,64279,23100,2450,250,0,87379,64279,75,0.735634420169606
87723,67174,20549,64686,23037,2488,250,0,87723,64686,76,0.7373892821722924
87449,66739,20710,64235,23214,2504,250,0,87449,64235,77,0.7345424190099372
87648,67377,20271,64845,22803,2532,250,0,87648,64845,78,0.7398343373493976
87681,67106,20575,64606,23075,2500,250,0,87681,64606,79,0.7368301000216695
88161,67578,20583,65084,23077,2494,250,0,88161,65084,80,0.7382402649697712
87918,67370,20548,64882,23036,2488,250,0,87918,64882,81,0.7379831206351373
87767,67199,20568,64749,23018,2450,250,0,87767,64749,82,0.7377374183918785
88063,67343,20720,64885,23178,2458,250,0,88063,64885,83,0.7368020621600445
87857,67024,20833,64579,23278,2445,250,0,87857,64579,84,0.7350467236532092
87524,66828,20696,64405,23119,2423,250,0,87524,64405,85,0.7358553082583063
87508,67062,20446,64499,23009,2563,250,0,87508,64499,86,0.7370640398592129
87828,67231,20597,64781,23047,2450,250,0,87828,64781,87,0.7375893792412442
87676,67016,20660,64540,23136,2476,250,0,87676,64540,88,0.7361193485104247
87883,67393,20490,64928,22955,2465,250,0,87883,64928,89,0.7388004505990919
87622,66893,20729,64358,23264,2535,250,0,87622,64358,90,0.7344959028554473
87860,67171,20689,64658,23202,2513,250,0,87860,64658,91,0.7359207830639654
87596,66884,20712,64356,23240,2528,250,0,87596,64356,92,0.7346910817845563
87576,67002,20574,64513,23063,2489,250,0,87576,64513,93,0.7366515940440304
88097,67511,20586,64948,23149,2563,250,0,88097,64948,94,0.7372328229111094
88041,67584,20457,65025,23016,2559,250,0,88041,65025,95,0.7385763451119365
87131,66610,20521,64125,23006,2485,250,0,87131,64125,96,0.7359607946655037
87917,67313,20604,64820,23097,2493,250,0,87917,64820,97,0.7372863041277569
87171,66872,20299,64368,22803,2504,250,0,87171,64368,98,0.7384107099838249
87726,67191,20535,64644,23082,2547,250,0,87726,64644,99,0.73688530196293
87403,66871,20532,64408,22995,2463,250,0,87403,64408,100,0.7369083441071816
87629,66981,20648,64542,23087,2439,250,0,87629,64542,101,0.7365369911787194
87394,66967,20427,64449,22945,2518,250,0,87394,64449,102,0.7374533720850401
87933,67512,20421,65003,22930,2509,250,0,87933,65003,103,0.7392332798835477
88385,67544,20841,65019,23366,2525,250,0,88385,65019,104,0.7356338745262205
87539,67154,20385,64663,22876,2491,250,0,87539,64663,105,0.7386764756280058
87861,67409,20452,64899,22962,2510,250,0,87861,64899,106,0.7386553761054393
87273,66978,20295,64469,22804,2509,250,0,87273,64469,107,0.7387049832135941
88097,67146,20951,64668,23429,2478,250,0,88097,64668,108,0.7340545080990272
88090,67540,20550,65039,23051,2501,250,0,88090,65039,109,0.7383244409127029
87621,66947,20674,64419,23202,2528,250,0,87621,64419,110,0.7352004656417982
87372,66677,20695,64278,23094,2399,250,0,87372,64278,111,0.7356819118252987
87825,67148,20677,64597,23228,2551,250,0,87825,64597,112,0.7355194990037005
87458,67210,20248,64711,22747,2499,250,0,87458,64711,113,0.7399094422465641
87473,67308,20165,64837,22636,2471,250,0,87473,64837,114,0.7412230059561236
87083,66548,20535,64084,22999,2464,250,0,87083,64084,115,0.7358956397919226
88098,67426,20672,64942,23156,2484,250,0,88098,64942,116,0.7371563486117733
87797,67104,20693,64634,23163,2470,250,0,87797,64634,117,0.7361754957458683
87452,66816,20636,64315,23137,2501,250,0,87452,64315,118,0.7354320084160454
87649,67153,20496,64648,23001,2505,250,0,87649,64648,119,0.73757829524581
87724,67295,20429,64802,22922,2493,250,0,87724,64802,120,0.7387032055081848
87916,67595,20321,65150,22766,2445,250,0,87916,65150,121,0.7410482733518359
87783,67253,20530,64757,23026,2496,250,0,87783,64757,122,0.7376940865543442
87845,67534,20311,65049,22796,2485,250,0,87845,65049,123,0.7404974671296033
87723,66920,20803,64500,23223,2420,250,0,87723,64500,124,0.7352689716493964
87033,66501,20532,64073,22960,2428,250,0,87033,64073,125,0.7361920191191846
88008,67587,20421,65095,22913,2492,250,0,88008,65095,126,0.7396486683028816
87496,66532,20964,64097,23399,2435,250,0,87496,64097,127,0.7325706318003109
87341,67083,20258,64647,22694,2436,250,0,87341,64647,128,0.740167847860684
87707,67252,20455,64677,23030,2575,250,0,87707,64677,129,0.7374211864503404
88003,67301,20702,64808,23195,2493,250,0,88003,64808,130,0.7364294399054577
87768,67374,20394,64895,22873,2479,250,0,87768,64895,131,0.7393924892899463
87591,67127,20464,64668,22923,2459,250,0,87591,64668,132,0.7382950303113334
87238,67007,20231,64538,22700,2469,250,0,87238,64538,133,0.7397922923496641
87425,66873,20552,64404,23021,2469,250,0,87425,64404,134,0.736677151844438
87892,67298,20594,64819,23073,2479,250,0,87892,64819,135,0.7374846402402949
87791,67480,20311,65085,22706,2395,250,0,87791,65085,136,0.7413630098757276
88143,67422,20721,64916,23227,2506,250,0,88143,64916,137,0.7364850300080551
87643,67039,20604,64565,23078,2474,250,0,87643,64565,138,0.7366817657998928
87488,66985,20503,64540,22948,2445,250,0,87488,64540,139,0.7377011704462326
87449,66924,20525,64390,23059,2534,250,0,87449,64390,140,0.7363148806733067
87688,67055,20633,64614,23074,2441,250,0,87688,64614,141,0.7368625125444759
87331,66826,20505,64426,22905,2400,250,0,87331,64426,142,0.7377220002061123
88377,67824,20553,65302,23075,2522,250,0,88377,65302,143,0.73890265566833
87352,66530,20822,64010,23342,2520,250,0,87352,64010,144,0.7327823060719846
87789,67263,20526,64737,23052,2526,250,0,87789,64737,145,0.7374158493660937
87631,67226,20405,64779,22852,2447,250,0,87631,64779,146,0.7392247035866303
87388,66881,20507,64469,22919,2412,250,0,87388,64469,147,0.7377328695015334
87748,66877,20871,64354,23394,2523,250,0,87748,64354,148,0.7333956329488991
87551,66761,20790,64283,23268,2478,250,0,87551,64283,149,0.734234903085059
87725,67335,20390,64832,22893,2503,250,0,87725,64832,150,0.7390367626104303
87954,67212,20742,64766,23188,2446,250,0,87954,64766,151,0.7363621893262388
87753,67288,20465,64761,22992,2527,250,0,87753,64761,152,0.7379918635260333
87601,66963,20638,64482,23119,2481,250,0,87601,64482,153,0.7360874875857581
87617,67139,20478,64656,22961,2483,250,0,87617,64656,154,0.7379389844436582
87943,67239,20704,64832,23111,2407,250,0,87943,64832,155,0.7372047803691028
87986,67432,20554,64878,23108,2554,250,0,87986,64878,156,0.7373673084354329
87961,67105,20856,64535,23426,2570,250,0,87961,64535,157,0.7336774252225418
87767,67270,20497,64735,23032,2535,250,0,87767,64735,158,0.7375779051351875
87710,67096,20614,64581,23129,2515,250,0,87710,64581,159,0.7363014479534831
88046,67487,20559,64989,23057,2498,250,0,88046,64989,160,0.7381255252935965
87965,67374,20591,64869,23096,2505,250,0,87965,64869,161,0.7374410276814642
87487,66785,20702,64293,23194,2492,250,0,87487,64293,162,0.7348863259684296
87667,67153,20514,64598,23069,2555,250,0,87667,64598,163,0.7368565138535595
87111,66694,20417,64100,23011,2594,250,0,87111,64100,164,0.7358427753096624
87550,66895,20655,64390,23160,2505,250,0,87550,64390,165,0.7354654483152484
88226,67621,20605,65073,23153,2548,250,0,88226,65073,166,0.7375716908847731
87850,67410,20440,64845,23005,2565,250,0,87850,64845,167,0.7381331815594764
87540,67193,20347,64646,22894,2547,250,0,87540,64646,168,0.7384738405300434
87403,66877,20526,64434,22969,2443,250,0,87403,64434,169,0.7372058167339793
87882,67327,20555,64788,23094,2539,250,0,87882,64788,170,0.7372158121116952
87624,66672,20952,64222,23402,2450,250,0,87624,64222,171,0.7329270519492377
87899,67388,20511,64938,22961,2450,250,0,87899,64938,172,0.7387797358331721
87885,67239,20646,64727,23158,2512,250,0,87885,64727,173,0.7364965580019344
88203,67336,20867,64805,23398,2531,250,0,88203,64805,174,0.734725576227566
87663,67178,20485,64681,22982,2497,250,0,87663,64681,175,0.737836943750499
87860,67042,20818,64490,23370,2552,250,0,87860,64490,176,0.7340086501251992
88373,67791,20582,65322,23051,2469,250,0,88373,65322,177,0.7391624138594367
87792,67223,20569,64740,23052,2483,250,0,87792,64740,178,0.7374248223072717
88115,67607,20508,65044,23071,2563,250,0,88115,65044,179,0.7381717074277933
88196,67418,20778,64932,23264,2486,250,0,88196,64932,180,0.7362238650278924
87539,67048,20491,64495,23044,2553,250,0,87539,64495,181,0.7367573310181748
87396,66874,20522,64344,23052,2530,250,0,87396,64344,182,0.7362350679664973
87909,67469,20440,64976,22933,2493,250,0,87909,64976,183,0.7391279618696607
87960,67271,20689,64725,23235,2546,250,0,87960,64725,184,0.7358458390177354
87513,66999,20514,64472,23041,2527,250,0,87513,64472,185,0.7367134025801881
87754,67102,20652,64613,23141,2489,250,0,87754,64613,186,0.7362969209380769
87480,66703,20777,64182,23298,2521,250,0,87480,64182,187,0.7336762688614541
87948,67546,20402,65021,22927,2525,250,0,87948,65021,188,0.7393118661026971
87453,66937,20516,64414,23039,2523,250,0,87453,64414,189,0.7365556355985501
87618,66888,20730,64399,23219,2489,250,0,87618,64399,190,0.7349973749686137
87588,67282,20306,64757,22831,2525,250,0,87588,64757,191,0.7393364387815683
87254,66834,20420,64301,22953,2533,250,0,87254,64301,192,0.7369404267999174
87448,67024,20424,64560,22888,2464,250,0,87448,64560,193,0.7382673131460983
87709,67189,20520,64657,23052,2532,250,0,87709,64657,194,0.7371763445028446
87117,66513,20604,63961,23156,2552,250,0,87117,63961,195,0.7341965402849042
87936,67302,20634,64838,23098,2464,250,0,87936,64838,196,0.7373316957787481
87719,67159,20560,64659,23060,2500,250,0,87719,64659,197,0.737115106191361
87400,66620,20780,64127,23273,2493,250,0,87400,64127,198,0.7337185354691076
87712,67190,20522,64713,22999,2477,250,0,87712,64713,199,0.7377895840933966
87897,67357,20540,64866,23031,2491,250,0,87897,64866,200,0.737977405372197
87884,67229,20655,64716,23168,2513,250,0,87884,64716,201,0.7363797733375813
88211,67649,20562,65143,23068,2506,250,0,88211,65143,202,0.7384906644296063
87121,66744,20377,64182,22939,2562,250,0,87121,64182,203,0.7366995328336452
88359,67838,20521,65323,23036,2515,250,0,88359,65323,204,0.7392908475650471
87881,67457,20424,64898,22983,2559,250,0,87881,64898,205,0.7384758935378524
87597,67055,20542,64529,23068,2526,250,0,87597,64529,206,0.7366576480929712
86959,66458,20501,63980,22979,2478,250,0,86959,63980,207,0.7357490311526121
88051,67357,20694,64871,23180,2486,250,0,88051,64871,208,0.7367434782114911
87827,67349,20478,64872,22955,2477,250,0,87827,64872,209,0.7386339052910836
87559,67266,20293,64813,22746,2453,250,0,87559,64813,210,0.7402208796354458
87796,67380,20416,64911,22885,2469,250,0,87796,64911,211,0.7393389220465625
87941,67628,20313,65066,22875,2562,250,0,87941,65066,212,0.7398824211687381
