case_index,case_id,material,energy_mev,thickness_mm,max_step_mm,requested_protons,entrance_primary_unique,exit_primary_unique,paired_primary,primary_survival,unpaired_entrance_primary,negative_energy_loss,joint_3mad_core_fraction,energy_loss_mev_count,energy_loss_mev_mean,energy_loss_mev_std,energy_loss_mev_mean_se,energy_loss_mev_mean_ci95_low,energy_loss_mev_mean_ci95_high,energy_loss_mev_median,energy_loss_mev_median_se,energy_loss_mev_median_ci95_low,energy_loss_mev_median_ci95_high,energy_loss_mev_mad,energy_loss_mev_robust_sigma,energy_loss_mev_core_mean,energy_loss_mev_core_mean_se,energy_loss_mev_core_mean_ci95_low,energy_loss_mev_core_mean_ci95_high,energy_loss_mev_core_fraction,energy_loss_mev_p001,energy_loss_mev_p01,energy_loss_mev_p99,energy_loss_mev_p999,energy_loss_mev_minimum,energy_loss_mev_maximum,wepl_count,wepl_mean,wepl_std,wepl_mean_se,wepl_mean_ci95_low,wepl_mean_ci95_high,wepl_median,wepl_median_se,wepl_median_ci95_low,wepl_median_ci95_high,wepl_mad,wepl_robust_sigma,wepl_core_mean,wepl_core_mean_se,wepl_core_mean_ci95_low,wepl_core_mean_ci95_high,wepl_core_fraction,wepl_p001,wepl_p01,wepl_p99,wepl_p999,wepl_minimum,wepl_maximum,scattering_angle_mrad_count,scattering_angle_mrad_mean,scattering_angle_mrad_std,scattering_angle_mrad_mean_se,scattering_angle_mrad_mean_ci95_low,scattering_angle_mrad_mean_ci95_high,scattering_angle_mrad_median,scattering_angle_mrad_median_se,scattering_angle_mrad_median_ci95_low,scattering_angle_mrad_median_ci95_high,scattering_angle_mrad_mad,scattering_angle_mrad_robust_sigma,scattering_angle_mrad_core_mean,scattering_angle_mrad_core_mean_se,scattering_angle_mrad_core_mean_ci95_low,scattering_angle_mrad_core_mean_ci95_high,scattering_angle_mrad_core_fraction,scattering_angle_mrad_p001,scattering_angle_mrad_p01,scattering_angle_mrad_p99,scattering_angle_mrad_p999,scattering_angle_mrad_minimum,scattering_angle_mrad_maximum,median_effective_rsp,core_mean_effective_rsp
0,water_e150_t0005,Water,150.0,5.0,1.0,100000,101221,100745,100745,0.9952974185198724,476,0,0.9582808079805449,100745,2.8102249848106076,1.968741900917252,0.006388336158571574,2.7977038459398074,2.8227461236814078,2.73581077215664,0.0008898602197792494,2.7340666461258727,2.737554898187407,0.14810180199293654,0.2195757316347277,2.756678651059263,0.0006728247406436003,2.7553599145676015,2.7579973875509243,0.9873343590252618,2.294168431128112,2.367948248773388,3.4334892052911923,3.8766619931093897,2.174157999123878,132.4434917492562,100745,5.132613047428937,2.680456794520366,0.008655803229336918,5.115647673099437,5.149578421758438,5.015921259989938,0.0016213179332772638,5.012743476840714,5.019099043139161,0.2698848705448995,0.400131309069868,5.053829438945634,0.0012265133027182097,5.051425472872307,5.056233405018961,0.9873939153307857,4.210509051456376,4.345208648944148,6.284865594412143,7.088611311435551,3.991487849325125,155.09663973800056,100745,7.366438077407931,22.04178583364172,0.06738132536984691,7.234370679683031,7.4985054751328315,5.678436540477778,0.01227220317472012,5.654383022255327,5.702490058700229,2.2537849071106795,3.3414615032822934,5.950977666186229,0.009886359970176794,5.931600400644682,5.970354931727775,0.9694079110625837,0.20616285395534023,0.6546490248753384,25.66009161973344,267.3569185061688,0.006674921890629321,1180.8341749154658,1.0031842519979874,1.0107658877891268
1,water_e150_t0010,Water,150.0,10.0,1.0,100000,99598,98672,98672,0.9907026245506938,926,0,0.9602622831198313,98672,5.647539327673009,2.65827594574605,0.008196409870213587,5.63147436432739,5.663604291018627,5.5378466852601775,0.001436822290834545,5.535030513570142,5.540662856950213,0.21413359197056536,0.3174744634555602,5.5583043435504536,0.0010447553971183949,5.556256622972102,5.560352064128805,0.990240392411221,4.8091486445578004,4.946046495369986,6.48564779562923,29.250475821854124,4.646272328520837,143.55571185817936,98672,10.24871578033206,3.484593732072955,0.010810141858632796,10.22752790228914,10.269903658374979,10.086633841539651,0.0025829548543205463,10.081571250025183,10.09169643305412,0.38495906766249277,0.5707403137164118,10.123186666474064,0.0018725777729984572,10.119516414038987,10.12685691890914,0.9903620074590562,8.774387105763061,9.0213775363316,11.78641705879764,50.197357744140746,8.48060466370822,157.90494905256182,98672,11.201082183908127,30.156233214257487,0.08781289197853612,11.028968915630196,11.373195452186058,8.357043457344513,0.020527368873354396,8.31680981435274,8.397277100336288,3.3206282290006213,4.92316341231632,8.733821152891174,0.015925700815303825,8.702606779293179,8.76503552648917,0.9676301281011838,0.3046395311223286,0.9581753431189473,47.780995775928176,483.69699414708526,0.038911985162395586,1253.2365999853178,1.0086633841539652,1.0123186666474064
2,water_e150_t0020,Water,150.0,20.0,1.0,100000,100093,98063,98063,0.9797188614588432,2030,0,0.9602092532351651,98063,11.397009567243222,2.8634331646959432,0.009799787323864963,11.377801984088446,11.416217150397998,11.261651810091735,0.001783787544909466,11.258155586503712,11.265148033679758,0.313572223897836,0.4649021791509316,11.281039762633313,0.0013951700930523345,11.27830522925093,11.283774296015695,0.9923110653355496,10.09057174996199,10.341132732413632,12.566648315366937,61.35739366366248,9.810740092305792,148.97607318886395,98063,20.42788093102588,3.7998274950904163,0.013098853764663335,20.40220717764714,20.45355468440462,20.23226581999731,0.003117698685431044,20.226155130573865,20.238376509420753,0.5478794432581253,0.8122860625744965,20.265398104709952,0.002448209076233109,20.260599614920537,20.270196594499367,0.9924130405963513,18.17976618544705,18.619914075898095,22.504908780707275,95.93078736370965,17.68756527799988,158.44028457272196,98063,16.890028939316498,36.32003664611748,0.12121141315929156,16.652454569524288,17.127603309108707,12.427920260118645,0.03097634236407524,12.367206629085057,12.488633891152233,4.97587493509697,7.377232178774767,12.971737517821355,0.022275266591308553,12.92807799530239,13.01539704034032,0.9646451770800404,0.43786833893196764,1.475263343232278,126.01711317519649,620.9321454424578,0.018368762400798738,1241.461774661094,1.0116132909998654,1.0132699052354976
3,water_e150_t0050,Water,150.0,50.0,1.0,100000,99863,94676,94676,0.9480588406116379,5187,0,0.9471143690058726,94676,29.716337765718414,3.0999884288479853,0.009957164411657242,29.696821723471565,29.735853807965263,29.542027659602454,0.0030315715525779793,29.5360857793594,29.547969539845507,0.52403542191837,0.7769349165361754,29.563350149493605,0.002285353587904652,29.55887085646131,29.5678294425259,0.9919409354007351,27.453462686459066,27.898180295387508,31.730658383650482,86.84805773555644,26.62147371997486,147.98596316307427,94676,50.88592870295547,3.756309121284781,0.012216798122165858,50.861983778636024,50.90987362727491,50.66095474300401,0.004789813072901232,50.65156670938113,50.670342776626896,0.8282229110180452,1.2279232878753539,50.69271479353676,0.003609455527714174,50.68564026070244,50.699789326371075,0.9920993704846001,47.34070793893124,48.05108394460443,54.09604509025754,124.41228688566619,46.006573311809376,158.39030715045632,94676,30.359618684171693,47.53829845732445,0.15621975654241085,30.053427961348568,30.665809406994818,21.982499121399727,0.05103887184493154,21.88246293258366,22.082535310215793,8.881229539623712,13.167310915446114,22.733738301841086,0.034173388941632014,22.66675845951549,22.800718144166684,0.9499345134986692,0.8375194531986043,2.5952892583984672,241.05539265824305,649.465556170169,0.022155636568850983,1167.4999668301766,1.0132190948600803,1.0138542958707353
4,water_e150_t0100,Water,150.0,100.0,1.0,100000,99695,87647,87647,0.8791514118060083,12048,0,0.9264093465834541,87647,65.93943697605155,2.5986937676542077,0.008284357671180295,65.92319963501603,65.95567431708707,65.7779511755042,0.005464424027216698,65.76724090441085,65.78866144659754,0.8931215421002605,1.3241419983178462,65.80133393771423,0.004191261964323203,65.79311906426416,65.8095488111643,0.9903134163177291,62.10115932685172,62.919523088415275,69.6364922308139,108.26117522144416,60.86073579163619,148.59064503712483,87647,101.5495721381834,2.5710411650401688,0.008127046377318991,101.53364312728385,101.56550114908293,101.39350750540149,0.006619040832564424,101.38053418536965,101.40648082543332,1.0819906434167024,1.604159327929603,101.41627092015472,0.005068852006030111,101.4063359702229,101.42620587008653,0.9909067053065136,96.86580330908943,97.88628381403828,105.98586977789847,142.33655484992954,95.30538430137418,158.42368154249863,87647,52.81470078407059,63.25503048592529,0.22075956873624553,52.38201202934755,53.24738953879363,38.22551303648803,0.10161894259827897,38.0263399089954,38.42468616398066,15.78215774367397,23.398627070771028,39.09589970868037,0.07268530297395547,38.95343651485142,39.23836290250932,0.9289650529966799,1.3458709870475472,4.459328248678732,340.95664609253714,662.245878447762,0.1993267397239602,1228.4836712783726,1.0139350750540148,1.014162709201547
5,aluminium_e150_t0005,Aluminium,150.0,5.0,1.0,100000,100326,99093,99093,0.9877100651874888,1233,0,0.9593614079702906,99093,5.817191708922248,0.34038072741947484,0.0010258122410826006,5.815181116929726,5.81920230091477,5.78863362696336,0.0013321211992837754,5.786022669412764,5.791244584513956,0.22319338010333922,0.3309065053412107,5.8081076006226535,0.0010041236450292561,5.806139518278396,5.810075682966911,0.9924717184866741,5.020078765523346,5.1719793416234605,6.7297968890917765,7.140091923039822,4.838188274496446,13.167285638822705,99093,10.587915728249465,0.6105384866911224,0.0018398445418612813,10.584309632947416,10.591521823551513,10.537090419484855,0.0023919166485797763,10.532402262853639,10.541778576116071,0.4007583187550665,0.5941642833862616,10.571910018536844,0.0017904892844988376,10.568400659539225,10.575419377534462,0.9926129999091762,9.154688714184953,9.428428647885653,12.223020608808127,12.955520990225564,8.82687288599513,23.54588031297834,99093,15.554718971046427,20.73114014303791,0.06620832681301883,15.42495065049291,15.684487291599943,12.64654149282683,0.035380466979140206,12.577195777547715,12.715887208105944,5.00858451146452,7.425727396697297,13.205665988596165,0.02521076906264419,13.156252881233382,13.255079095958948,0.9660924585994974,0.4804408449034705,1.480324538883859,74.71694845049927,274.40937817617663,0.07716619811592969,941.3377321998325,2.107418083896971,2.1143820037073686
6,aluminium_e150_t0010,Aluminium,150.0,10.0,1.0,100000,100110,97609,97609,0.9750174807711517,2501,0,0.9569916708500241,97609,11.803340936223229,0.4969422296513787,0.0016380963241761938,11.800130267427845,11.806551605018614,11.772437273416614,0.0018453661958185842,11.76882035567281,11.776054191160418,0.32478872277278015,0.48153176038292383,11.793372555621028,0.0014760655614651044,11.790479467120557,11.7962656441215,0.9945087030909036,10.550932645148112,10.80987915517995,13.069542990680105,13.64934662847454,10.054691395422765,26.949668618613686,97609,21.176300456373433,0.8645294041519163,0.002848770797410234,21.17071686561051,21.181884047136357,21.123477240442526,0.0032166869891408338,21.11717253394381,21.129781946941243,0.5661195801449139,0.8393288895228493,21.159295705654866,0.002577917318153249,21.154242987711285,21.164348423598447,0.994611152660103,18.988133533410327,19.4419134666511,23.376735702311848,24.378974480789395,18.11678202082888,46.533625024069025,97609,23.48840613050876,28.939181344998985,0.095223778521589,23.301767524606447,23.675044736411074,18.719375296181852,0.04244948974009317,18.63617429629127,18.802576296072434,7.5156828669055,11.142751418474093,19.54475621086836,0.030674386101176843,19.484634414110054,19.604878007626667,0.9613150426702456,0.6877887986658094,2.151447556955726,152.51184520703703,336.6700886428978,0.0638196850439862,1135.7606562432131,2.1123477240442528,2.115929570565487
7,aluminium_e150_t0020,Aluminium,150.0,20.0,1.0,100000,99764,94952,94952,0.9517661681568501,4812,0,0.9470363973376021,94952,24.353822782395138,0.7300222317576146,0.0022311618599470248,24.34944970514964,24.358195859640634,24.319835275302232,0.0028478558304144874,24.31425347787462,24.325417072729845,0.4750054015037435,0.7042430082694501,24.34050167834108,0.002028353251344453,24.336526105968446,24.344477250713716,0.99477630802932,22.383327734647047,22.838990580130243,26.169102370139246,27.231254084928,21.76083725114492,45.99086261517094,94952,42.3349559287662,1.1864309376802171,0.003626928803415994,42.327847148311506,42.34206470922089,42.28201943697317,0.00463934776064839,42.2729263153623,42.29111255858405,0.7737929676722359,1.1472254538708568,42.3140413243735,0.003299423561573299,42.30757445419282,42.32050819455418,0.9948921560367343,39.110346123389775,39.85978421015086,45.27848588297994,46.98501644728012,38.083355036596174,75.34044568352596,94952,36.63780772155634,39.08546736424664,0.12897111276471068,36.38502434053751,36.89059110257517,28.828449981377233,0.074256785913523,28.68290668098673,28.973993281767736,11.65870401409282,17.285194571294014,29.879796833525127,0.053473137868772044,29.774989483302335,29.98460418374792,0.9502064200859381,1.0077219790845084,3.418078006159123,224.20805297448769,429.67281319307796,0.08625233615794199,1085.3877618234123,2.1141009718486585,2.1157020662186747
8,aluminium_e150_t0050,Aluminium,150.0,50.0,1.0,100000,100148,88267,88267,0.8813655789431641,11881,0,0.9213409314919505,88267,69.61859434196518,1.5856487944725313,0.005641748701652819,69.60753651450995,69.62965216942041,69.53811663150134,0.006179005519743742,69.52600578068264,69.55022748232004,0.9553493704915184,1.416400976690725,69.56862116812272,0.00464333153643783,69.5595202383113,69.57772209793414,0.9917296384832384,65.61031404687617,66.49934472297586,73.55040382573902,77.81421431894834,63.96885599045052,142.9673179131382,88267,105.95085863035581,1.7981024276159887,0.006316587540153127,105.93847811877711,105.96323914193451,105.87084224808386,0.00722997897809971,105.85667148928678,105.88501300688094,1.1175885926659674,1.6569368474865633,105.89914995876056,0.005398898851979085,105.88856811701068,105.90973180051044,0.9922961016008248,101.19024813532889,102.26452573666812,110.47521894232376,115.16871836494728,99.18410214046395,157.8111086284302,88267,78.88823159685204,72.26328549593835,0.23068183695310723,78.43609519642395,79.34036799728013,60.32306386725083,0.14715793947987432,60.03463430587028,60.611493428631384,25.740753480939645,38.16324111084111,62.505030320055006,0.11682487418580083,62.27605356665084,62.734007073459175,0.9233575401905582,2.3936635131704653,7.1295591613838285,365.48761158157015,643.8580193136603,0.3007976667820243,1253.1686158268608,2.117416844961677,2.117982999175211
9,air_e150_t0020,Air,150.0,20.0,10.0,100000,100381,100376,100376,0.9999501897769498,5,0,0.873495656332191,100376,0.012464034542178364,0.01981497008584203,6.815602343896293e-05,0.012330448736237997,0.01259762034811873,0.009509603274494793,1.1043823246245568e-05,0.009487957380932152,0.009531249168057435,0.0019501589003851905,0.002891305585711083,0.00965907130570246,8.568004429603651e-06,0.009642278017020436,0.009675864594384484,0.9120108392444409,0.0042189178039606645,0.005114095371247629,0.06867151309550934,0.24092279989117316,0.003498217810005144,3.9235336379572345,100376,0.022995216234236796,0.036421754180594956,0.00012525785886399269,0.02274971083086337,0.02324072163761022,0.01752822983570468,2.1916438951586682e-05,0.017485273615359568,0.01757118605604979,0.0035055845216049875,0.0051973796117315545,0.017779285385395974,1.5912090579228216e-05,0.017748097687860686,0.017810473082931263,0.9095301665736829,0.007749417385269908,0.009409987293622635,0.12673947042637224,0.4442417374788761,0.006457858246278647,7.173511807436512,100376,0.3598336553110151,2.0681349012827215,0.006408359991313584,0.34727326972804046,0.3723940408939897,0.2897278532996115,0.0006998011238102286,0.2883562430969434,0.29109946350227955,0.11793815585550244,0.1748551098713679,0.3033616804518376,0.0005300461783342948,0.3023227899423024,0.3044005709613728,0.95828684147605,0.010087770697721052,0.03422388908129281,1.4663570344355383,4.299326616568961,0.001568661312004507,592.0021838209327,0.000876411491785234,0.0008889642692697987
