case_id,energy_mev,thickness_mm,ionization_potential_ev,median_wepl_mm,median_rsp_bias_percent
water_e150_t0005,150.0,5.0,72.0,4.96715329375192,-0.6569341249615945
water_e150_t0010,150.0,10.0,72.0,9.988467016724172,-0.1153298327582819
water_e150_t0020,150.0,20.0,72.0,20.034948466548713,0.17474233274357154
water_e150_t0050,150.0,50.0,72.0,50.16343004050971,0.3268600810194089
water_e150_t0100,150.0,100.0,72.0,100.38228451261742,0.3822845126174146
water_e180_t0005,180.0,5.0,72.0,4.951045789182643,-0.9790842163471369
water_e180_t0010,180.0,10.0,72.0,9.973721287146248,-0.26278712853752273
water_e180_t0020,180.0,20.0,72.0,20.026931350992243,0.13465675496120433
water_e180_t0050,180.0,50.0,72.0,50.19221255134036,0.38442510268072994
water_e180_t0100,180.0,100.0,72.0,100.41051493950216,0.4105149395021712
water_e200_t0005,200.0,5.0,72.0,4.933683628014506,-1.3263274397098734
water_e200_t0010,200.0,10.0,72.0,9.960697156593824,-0.3930284340617596
water_e200_t0020,200.0,20.0,72.0,20.01702651223593,0.08513256117965717
water_e200_t0050,200.0,50.0,72.0,50.16896404101118,0.337928082022354
water_e200_t0100,200.0,100.0,72.0,100.42077570429555,0.42077570429555067
water_e220_t0005,220.0,5.0,72.0,4.925016704399184,-1.4996659120163236
water_e220_t0010,220.0,10.0,72.0,9.94195737364663,-0.5804262635336954
water_e220_t0020,220.0,20.0,72.0,20.002904884101838,0.014524420509198777
water_e220_t0050,220.0,50.0,72.0,50.168955530580234,0.33791106116047853
water_e220_t0100,220.0,100.0,72.0,100.41207849159514,0.412078491595147
water_e150_t0005,150.0,5.0,72.5,4.9713322597532965,-0.5733548049340675
water_e150_t0010,150.0,10.0,72.5,9.996878934726283,-0.031210652737168054
water_e150_t0020,150.0,20.0,72.5,20.0518562795138,0.25928139756898894
water_e150_t0050,150.0,50.0,72.5,50.206059453097794,0.412118906195591
water_e150_t0100,150.0,100.0,72.5,100.4689167085265,0.46891670852651224
water_e180_t0005,180.0,5.0,72.5,4.9551317951302565,-0.8973640973948704
water_e180_t0010,180.0,10.0,72.5,9.981958257561644,-0.180417424383561
water_e180_t0020,180.0,20.0,72.5,20.043495072545966,0.21747536272982426
water_e180_t0050,180.0,50.0,72.5,50.2339213680477,0.46784273609541405
water_e180_t0100,180.0,100.0,72.5,100.49473959152327,0.4947395915232633
water_e200_t0005,200.0,5.0,72.5,4.9377113645299175,-1.245772709401649
water_e200_t0010,200.0,10.0,72.5,9.968833583996798,-0.31166416003202135
water_e200_t0020,200.0,20.0,72.5,20.033397059099116,0.16698529549556973
water_e200_t0050,200.0,50.0,72.5,50.21015043858165,0.42030087716329323
water_e200_t0100,200.0,100.0,72.5,100.50381971437855,0.5038197143785617
water_e220_t0005,220.0,5.0,72.5,4.928998683898101,-1.4200263220379816
water_e220_t0010,220.0,10.0,72.5,9.949999614787714,-0.5000038521228545
water_e220_t0020,220.0,20.0,72.5,20.019101895081405,0.09550947540701848
water_e220_t0050,220.0,50.0,72.5,50.20970791657757,0.41941583315514563
water_e220_t0100,220.0,100.0,72.5,100.49412607164965,0.4941260716496476
water_e150_t0005,150.0,5.0,73.0,4.975489469304449,-0.49021061391101295
water_e150_t0010,150.0,10.0,73.0,10.00524707284201,0.05247072842009537
water_e150_t0020,150.0,20.0,73.0,20.06867615453453,0.3433807726726412
water_e150_t0050,150.0,50.0,73.0,50.248467650206365,0.4969353004127264
