case_id,material,energy_mev,thickness_mm,plane,tree_entries,primary_entries_raw,primary_unique_events,duplicate_primary_events,finite,position_z_mean_mm,position_z_std_mm,position_z_expected_mm,position_z_max_abs_error_mm,root_bytes
water_e150_t0005,Water,150.0,5.0,in,101261,101221,101221,0,True,-2.999999500000001,8.881784197001252e-16,-3.0,5.00000000069889e-07,2875448
water_e150_t0005,Water,150.0,5.0,out,101233,100745,100745,0,True,3.0000004999999996,4.440892098500626e-16,3.0,5.00000000069889e-07,5788506
water_e150_t0010,Water,150.0,10.0,in,99635,99598,99598,0,True,-5.499999499999999,1.7763568394002505e-15,-5.5,4.999999996257998e-07,2832047
water_e150_t0010,Water,150.0,10.0,out,99512,98672,98672,0,True,5.500000499999999,8.881784197001252e-16,5.5,4.999999996257998e-07,5717901
water_e150_t0020,Water,150.0,20.0,in,100140,100093,100093,0,True,-10.4999995,0.0,-10.5,5.000000005139782e-07,2842161
water_e150_t0020,Water,150.0,20.0,out,99401,98063,98063,0,True,10.5000005,0.0,10.5,5.000000005139782e-07,5739023
water_e150_t0050,Water,150.0,50.0,in,99905,99863,99863,0,True,-25.499999499999998,3.552713678800501e-15,-25.5,4.999999987376214e-07,2840014
water_e150_t0050,Water,150.0,50.0,out,96508,94676,94676,0,True,25.5000005,0.0,25.5,4.999999987376214e-07,5616283
water_e150_t0100,Water,150.0,100.0,in,99729,99695,99695,0,True,-50.49999950000001,7.105427357601002e-15,-50.5,4.999999987376214e-07,2834275
water_e150_t0100,Water,150.0,100.0,out,89206,87647,87647,0,True,50.5000005,0.0,50.5,4.999999987376214e-07,5223283
aluminium_e150_t0005,Aluminium,150.0,5.0,in,100379,100326,100326,0,True,-2.9999995,0.0,-3.0,5.00000000069889e-07,2851221
aluminium_e150_t0005,Aluminium,150.0,5.0,out,99972,99093,99093,0,True,3.0000004999999996,4.440892098500626e-16,3.0,5.00000000069889e-07,5769584
aluminium_e150_t0010,Aluminium,150.0,10.0,in,100162,100110,100110,0,True,-5.4999995,0.0,-5.5,4.999999996257998e-07,2843697
aluminium_e150_t0010,Aluminium,150.0,10.0,out,99034,97609,97609,0,True,5.5000005000000005,8.881784197001252e-16,5.5,4.999999996257998e-07,5737428
aluminium_e150_t0020,Aluminium,150.0,20.0,in,99804,99764,99764,0,True,-10.4999995,0.0,-10.5,5.000000005139782e-07,2836651
aluminium_e150_t0020,Aluminium,150.0,20.0,out,96830,94952,94952,0,True,10.500000499999999,1.7763568394002505e-15,10.5,5.000000005139782e-07,5638091
aluminium_e150_t0050,Aluminium,150.0,50.0,in,100208,100148,100148,0,True,-25.499999499999998,3.552713678800501e-15,-25.5,4.999999987376214e-07,2846737
aluminium_e150_t0050,Aluminium,150.0,50.0,out,89751,88267,88267,0,True,25.500000499999995,3.552713678800501e-15,25.5,4.999999987376214e-07,5264771
air_e150_t0020,Air,150.0,20.0,in,100381,100381,100381,0,True,-10.4999995,0.0,-10.5,5.000000005139782e-07,2844946
air_e150_t0020,Air,150.0,20.0,out,100382,100376,100376,0,True,10.500000499999999,1.7763568394002505e-15,10.5,5.000000005139782e-07,5557079
air_e150_t0220,Air,150.0,220.0,in,100215,100214,100214,0,True,-110.49999950000006,5.684341886080802e-14,-110.5,4.999999987376214e-07,2840238
air_e150_t0220,Air,150.0,220.0,out,100176,100168,100168,0,True,110.50000049999994,5.684341886080802e-14,110.5,4.999999987376214e-07,5643433
air_e150_t1000,Air,150.0,1000.0,in,99588,99587,99587,0,True,-500.49999949999994,5.684341886080802e-14,-500.5,4.999999987376214e-07,2826336
air_e150_t1000,Air,150.0,1000.0,out,99257,99253,99253,0,True,500.50000050000017,1.7053025658242404e-13,500.5,4.999999987376214e-07,5652439
air_e150_t2000,Air,150.0,2000.0,in,99855,99854,99854,0,True,-1000.4999995000001,1.1368683772161603e-13,-1000.5,5.000000555810402e-07,2833628
air_e150_t2000,Air,150.0,2000.0,out,97033,97031,97031,0,True,1000.5000005000002,1.1368683772161603e-13,1000.5,5.000000555810402e-07,5536322
water_e180_t0005,Water,180.0,5.0,in,99654,99604,99604,0,True,-2.999999500000001,8.881784197001252e-16,-3.0,5.00000000069889e-07,2833750
water_e180_t0005,Water,180.0,5.0,out,99644,99096,99096,0,True,3.000000499999999,8.881784197001252e-16,3.0,5.00000000069889e-07,5697631
water_e180_t0010,Water,180.0,10.0,in,100175,100139,100139,0,True,-5.4999995,0.0,-5.5,4.999999996257998e-07,2842100
water_e180_t0010,Water,180.0,10.0,out,100097,99162,99162,0,True,5.500000500000001,1.7763568394002505e-15,5.5,4.999999996257998e-07,5735289
water_e180_t0020,Water,180.0,20.0,in,99957,99900,99900,0,True,-10.499999500000001,1.7763568394002505e-15,-10.5,5.000000005139782e-07,2842917
water_e180_t0020,Water,180.0,20.0,out,99342,97887,97887,0,True,10.5000005,0.0,10.5,5.000000005139782e-07,5725962
water_e180_t0050,Water,180.0,50.0,in,100068,100019,100019,0,True,-25.4999995,0.0,-25.5,4.999999987376214e-07,2840518
water_e180_t0050,Water,180.0,50.0,out,96991,94955,94955,0,True,25.5000005,0.0,25.5,4.999999987376214e-07,5626428
water_e180_t0100,Water,180.0,100.0,in,100698,100650,100650,0,True,-50.4999995,0.0,-50.5,4.999999987376214e-07,2859824
water_e180_t0100,Water,180.0,100.0,out,91903,89719,89719,0,True,50.500000500000006,7.105427357601002e-15,50.5,4.999999987376214e-07,5374571
aluminium_e180_t0005,Aluminium,180.0,5.0,in,99913,99865,99865,0,True,-2.9999995000000013,1.3322676295501878e-15,-3.0,5.00000000069889e-07,2840885
aluminium_e180_t0005,Aluminium,180.0,5.0,out,99587,98655,98655,0,True,3.000000499999999,8.881784197001252e-16,3.0,5.00000000069889e-07,5732572
aluminium_e180_t0010,Aluminium,180.0,10.0,in,100224,100166,100166,0,True,-5.4999995,0.0,-5.5,4.999999996257998e-07,2847436
aluminium_e180_t0010,Aluminium,180.0,10.0,out,99360,97800,97800,0,True,5.5000005000000005,8.881784197001252e-16,5.5,4.999999996257998e-07,5748397
aluminium_e180_t0020,Aluminium,180.0,20.0,in,99655,99594,99594,0,True,-10.4999995,0.0,-10.5,5.000000005139782e-07,2835215
