case_id,energy_mev,thickness_mm,paired_primary,primary_survival,wepl_mean_mm,wepl_median_mm,wepl_core_mean_mm,mean_effective_rsp,median_effective_rsp,core_mean_effective_rsp,median_rsp_bias_percent,core_mean_rsp_bias_percent,wepl_median_ci95_low_mm,wepl_median_ci95_high_mm,wepl_3mad_core_fraction
water_e150_t0005,150.0,5.0,100745,0.9952974185198724,5.132613047428937,5.015921259989938,5.053829438945634,1.0265226094857876,1.0031842519979874,1.0107658877891268,0.3184251997987442,1.0765887789126793,5.012743476840714,5.019099043139161,0.9873939153307857
water_e150_t0010,150.0,10.0,98672,0.9907026245506938,10.24871578033206,10.086633841539651,10.123186666474064,1.0248715780332058,1.0086633841539652,1.0123186666474064,0.866338415396517,1.231866664740644,10.081571250025183,10.09169643305412,0.9903620074590562
water_e150_t0020,150.0,20.0,98063,0.9797188614588432,20.42788093102588,20.23226581999731,20.265398104709952,1.0213940465512938,1.0116132909998654,1.0132699052354976,1.161329099986541,1.3269905235497648,20.226155130573865,20.238376509420753,0.9924130405963513
water_e150_t0050,150.0,50.0,94676,0.9480588406116379,50.88592870295547,50.66095474300401,50.69271479353676,1.0177185740591093,1.0132190948600803,1.0138542958707353,1.3219094860080327,1.3854295870735278,50.65156670938113,50.670342776626896,0.9920993704846001
water_e150_t0100,150.0,100.0,87647,0.8791514118060083,101.5495721381834,101.39350750540149,101.41627092015472,1.0154957213818339,1.0139350750540148,1.014162709201547,1.3935075054014812,1.4162709201547052,101.38053418536965,101.40648082543332,0.9909067053065136
water_e180_t0005,180.0,5.0,99096,0.9948998032207542,5.163216216844351,4.99872077230782,5.046452549046588,1.0326432433688701,0.999744154461564,1.0092905098093177,-0.02558455384360503,0.9290509809317671,4.994918365391624,5.002523179224016,0.9843989666585937
water_e180_t0010,180.0,10.0,99162,0.990243561449585,10.282277325074757,10.069829781529677,10.123534928264846,1.0282277325074758,1.0069829781529678,1.0123534928264846,0.6982978152967778,1.235349282648457,10.064667505975327,10.074992057084026,0.9895121114943224
water_e180_t0020,180.0,20.0,97887,0.9798498498498498,20.50420383426123,20.220198382243495,20.266927919144678,1.0252101917130614,1.0110099191121749,1.013346395957234,1.100991911217486,1.334639595723397,20.213762627617687,20.226634136869304,0.9914288924984932
water_e180_t0050,180.0,50.0,94955,0.9493696197722433,50.986479496628796,50.67889523256312,50.70789091816972,1.019729589932576,1.0135779046512625,1.0141578183633944,1.3577904651262518,1.4157818363394359,50.66973784732598,50.68805261780026,0.9927228687272919
water_e180_t0100,180.0,100.0,89719,0.8913959264778937,101.65615792162845,101.39337986796902,101.42405213555801,1.0165615792162845,1.0139337986796901,1.01424052135558,1.3933798679690135,1.4240521355580071,101.3778894090694,101.40887032686864,0.9924096345255743
water_e200_t0005,200.0,5.0,99279,0.9950587339133223,5.209090352412113,4.980674270048269,5.041301046333463,1.0418180704824225,0.9961348540096537,1.0082602092666926,-0.38651459903462637,0.8260209266692575,4.9765623176192895,4.984786222477248,0.9819397858560219
water_e200_t0010,200.0,10.0,99536,0.9906938320510396,10.306898352947783,10.05562340002706,10.11527614599561,1.0306898352947784,1.0055623400027058,1.011527614599561,0.5562340002705835,1.1527614599561087,10.049336020045043,10.061910780009075,0.9881952258479344
water_e200_t0020,200.0,20.0,97503,0.9804420400611374,20.530737104187743,20.20802074795708,20.26735435651226,1.0265368552093872,1.010401037397854,1.013367717825613,1.040103739785403,1.336771782561308,20.199314246169383,20.216727249744775,0.9915284657907962
water_e200_t0050,200.0,50.0,95087,0.9509460756860549,50.99979703750135,50.64949943285728,50.69549670593083,1.019995940750027,1.0129899886571456,1.0139099341186166,1.2989988657145624,1.390993411861663,50.63833749513753,50.66066137057704,0.9926278040110635
water_e200_t0100,200.0,100.0,89637,0.8946701267591576,101.714474402105,101.38974030682004,101.42479465988532,1.01714474402105,1.0138974030682004,1.0142479465988532,1.389740306820042,1.42479465988532,101.37361325461454,101.40586735902555,0.9924361591753406
water_e220_t0005,220.0,5.0,99960,0.9952012106489317,5.186202286658396,4.971469621696315,5.03780211891239,1.0372404573316794,0.994293924339263,1.007560423782478,-0.5706075660736998,0.756042378247801,4.967083128307717,4.9758561150849125,0.9793917567026811
water_e220_t0010,220.0,10.0,99021,0.9906557951077986,10.339692138180034,10.035776829350311,10.109033479026374,1.0339692138180034,1.0035776829350311,1.0109033479026375,0.35776829350311345,1.0903347902637472,10.030261164438006,10.041292494262617,0.9871744377455287
water_e220_t0020,220.0,20.0,97463,0.9812337028199785,20.577479365112428,20.191858176694666,20.260824699426525,1.0288739682556214,1.0095929088347333,1.0130412349713263,0.9592908834733294,1.3041234971326254,20.183042565328105,20.200673788061227,0.9908375486081897
water_e220_t0050,220.0,50.0,94723,0.9512633566321201,51.09537540104997,50.64438330971245,50.705027053334554,1.0219075080209994,1.012887666194249,1.014100541066691,1.288766619424897,1.4100541066691008,50.62886795686195,50.65989866256295,0.9921666332358561
water_e220_t0100,220.0,100.0,89667,0.8956847467785436,101.81208708729699,101.36931592744637,101.42535402965969,1.0181208708729699,1.0136931592744636,1.0142535402965969,1.3693159274463573,1.4253540296596867,101.35311189908845,101.38551995580428,0.9922267946959304
