dataset,method,variant,epoch,ddb,size,spacing_mm,fov_mm,hann,support,fdk_seconds,image_path,finite,image_min,image_max,water_core_mean_rsp,water_core_std_rsp,water_bias_vs_fixed_rsp,water_bias_vs_effective_rsp,phantom_rmse_vs_fixed_rsp,phantom_rmse_vs_effective_rsp,boundary_inner_rmse_vs_fixed_rsp,boundary_inner_rmse_vs_effective_rsp,outside_100_105_rmse_rsp,outside_100_105_mean_abs_rsp,outside_100_105_peak_abs_rsp,edge_r90_mm,edge_r10_mm,edge_10_90_width_mm,water_core_clearance_from_material_mm,phantom_rmse_vs_nominal_rsp,phantom_mae_vs_nominal_rsp,material_mape_non_air,material_max_ape_non_air,fmtf50_mean_lp_per_mm,fmtf10_mean_lp_per_mm,training_wepl_rmse_mm
vacuum,analytic,selected,0,corrected,2100,0.1,210.0,0.0,False,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov210_hann0.mhd,True,-0.23569630086421967,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.0289902904914884,0.026243453405818042,0.04276436437631633,0.04294570011136676,0.07705403975384208,0.03026575967669487,0.6138341426849365,99.67444645867236,100.29924040466153,0.6247939459891683,,,,,,,,
air,analytic,selected,0,corrected,2100,0.1,210.0,0.0,False,0.0,data/reconstruction_data/results0717_s3_water_air_pilot/analytic/variants/s3_corrected_fov210_hann0.mhd,True,-0.34385961294174194,1.1635662317276,1.0137614011764526,0.0218905471265316,0.013761401176452637,0.00024366378784179688,0.0319591349023104,0.02953111668184323,0.04646412286347335,0.046750020889214004,0.07838477963569675,0.03400486707687378,0.6423400640487671,99.66914223978884,100.30034770190227,0.631205462113428,,,,,,,,
material,analytic,selected,0,corrected,2100,0.1,210.0,0.0,False,0.0,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/analytic/variants/s4_corrected_fov210_hann0.mhd,True,-0.4521559476852417,2.2463393211364746,1.0137356519699097,0.031316325068473816,,,,,,,,,,,,,2.0,0.0539997506572281,0.0328286811709404,0.011696773348376155,0.01791994273662567,,,
resolution,analytic,selected,0,corrected,2100,0.1,210.0,0.0,False,0.0,data/reconstruction_data/results0717_s5_resolution_air_pilot/analytic/variants/s5_corrected_fov210_hann0.mhd,True,-0.43442022800445557,2.1854779720306396,1.0137310028076172,0.026419000700116158,,,,,,,,,,,,,2.0,0.05836309543763344,0.031029868870973587,,,0.5017021521078606,1.0880106262763711,
vacuum,iterative,initial,0,,,,,,True,,data/reconstruction_data/results0717_s2_water_vacuum_pilot/iterative/recon/initial.mhd,True,0.0,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.02898343703206272,0.02629583291392853,0.04276436437631633,0.04294570011136676,0.0,0.0,0.0,99.67451128472806,100.09147729087714,0.41696600614908164,,,,,,,,
vacuum,iterative,epoch_01,1,,,,,,True,,data/reconstruction_data/results0717_s2_water_vacuum_pilot/iterative/recon/epoch_01.mhd,True,0.0,1.1366820335388184,1.0142854452133179,0.013059132732450962,0.014285445213317871,0.0007677078247070312,0.02419317358630027,0.019536017432818433,0.033269755875949596,0.029853572681250384,0.0,0.0,0.0,99.75099848769408,100.09472354317025,0.3437250554761704,,,,,,,,2.4564628363906413
vacuum,iterative,epoch_02,2,,,,,,True,,data/reconstruction_data/results0717_s2_water_vacuum_pilot/iterative/recon/epoch_02.mhd,True,0.0,1.1268236637115479,1.0139636993408203,0.009199263527989388,0.013963699340820312,0.00044596195220947266,0.021248050245974332,0.015737791732386402,0.028406662370706017,0.023525039877848673,0.0,0.0,0.0,99.81983721623482,100.09639095093564,0.2765537347008262,,,,,,,,2.4466494547288944
vacuum,iterative,epoch_03,3,,,,,,True,,data/reconstruction_data/results0717_s2_water_vacuum_pilot/iterative/recon/epoch_03.mhd,True,0.0,1.1176131963729858,1.013880729675293,0.006402153521776199,0.013880729675292969,0.0003629922866821289,0.019777167184424314,0.013684046607176042,0.02617167461930982,0.02052938696107471,0.0,0.0,0.0,99.87700484150263,100.09744498238918,0.22044014088655217,,,,,,,,2.444546859068955
air,iterative,initial,0,,,,,,True,,data/reconstruction_data/results0717_s3_water_air_pilot/iterative/recon/initial.mhd,True,0.0,1.1635662317276,1.0137614011764526,0.0218905471265316,0.013761401176452637,0.00024366378784179688,0.031983293121378556,0.029609863228702425,0.04646412286347335,0.046750020889214004,0.0,0.0,0.0,99.66923235784913,100.09113671060386,0.42190435275473703,,,,,,,,
air,iterative,epoch_01,1,,,,,,True,,data/reconstruction_data/results0717_s3_water_air_pilot/iterative/recon/epoch_01.mhd,True,0.0,1.1430007219314575,1.014294147491455,0.01663210242986679,0.014294147491455078,0.0007764101028442383,0.02676870709534429,0.02265577190512653,0.03667383518679694,0.03364959379252163,0.0,0.0,0.0,99.74306986278921,100.09443725323932,0.35136739045010756,,,,,,,,2.4545588817609554
