variant,dataset,insert_id,material,radius_mm,x_mm,z_mm,ring_radius_mm,roi_radius_mm,nominal_rsp_200mev,mean_rsp,std_rsp,bias_rsp,absolute_relative_error
s4_corrected_fov210_hann0,material,0,Air,7.5,-4.175193028801963,29.70804206224711,30.0,5.5,0.0,0.0006460759905166924,0.02837849222123623,0.0006460759905166924,
s4_corrected_fov210_hann0,material,1,Lung,7.5,-29.544232590366242,5.209445330007912,30.0,5.5,0.25748988758806907,0.26152560114860535,0.025060229003429413,0.0040357112884521484,0.015673279762268066
s4_corrected_fov210_hann0,material,2,A150_Tissue_Plastic,7.5,-14.084146883576722,-26.48842778576781,30.0,5.5,1.1244583097375929,1.140082597732544,0.028694987297058105,0.015624284744262695,0.01389494352042675
s4_corrected_fov210_hann0,material,3,SpineBone,7.5,20.83975111376992,-21.58019401015953,30.0,5.5,1.3215450211843316,1.3362879753112793,0.031166283413767815,0.01474297046661377,0.01115585956722498
s4_corrected_fov210_hann0,material,4,Aluminium,7.5,26.96382138897501,13.151134403672323,30.0,5.5,2.1021010459005205,2.1074745655059814,0.031091971322894096,0.005373477935791016,0.002556241350248456
s4_corrected_fov210_hann0,material,5,Air,7.5,-31.795155853992295,50.88288576938556,60.0,5.5,0.0,0.0010996797354891896,0.024314727634191513,0.0010996797354891896,
s4_corrected_fov210_hann0,material,6,Lung,7.5,-58.21774357655979,-14.515313735980067,60.0,5.5,0.25748988758806907,0.2604043185710907,0.028600558638572693,0.0029144287109375,0.011318613775074482
s4_corrected_fov210_hann0,material,7,A150_Tissue_Plastic,7.5,-4.185388424647531,-59.853843015589455,60.0,5.5,1.1244583097375929,1.139045000076294,0.036006633192300797,0.014586687088012695,0.012972190044820309
s4_corrected_fov210_hann0,material,8,SpineBone,7.5,55.63103127400724,-22.47639560495474,60.0,5.5,1.3215450211843316,1.3387736082077026,0.032971955835819244,0.01722860336303711,0.013036713004112244
s4_corrected_fov210_hann0,material,9,Aluminium,7.5,38.567256581192375,45.96266658713867,60.0,5.5,2.1021010459005205,2.1142468452453613,0.03432108461856842,0.012145757675170898,0.005777913145720959
s4_corrected_fov210_hann0,material,10,Air,7.5,-70.46819366717855,47.53139679501348,85.0,5.5,0.0,0.0021715392358601093,0.02737414464354515,0.0021715392358601093,
s4_corrected_fov210_hann0,material,11,Lung,7.5,-66.98091405657136,-52.33122540268096,85.0,5.5,0.25748988758806907,0.2621040940284729,0.03085728920996189,0.004614204168319702,0.01791994273662567
s4_corrected_fov210_hann0,material,12,A150_Tissue_Plastic,7.5,29.071712182681836,-79.87387276680222,85.0,5.5,1.1244583097375929,1.1393698453903198,0.033895980566740036,0.014911532402038574,0.013261080719530582
s4_corrected_fov210_hann0,material,13,SpineBone,7.5,84.94822029662313,2.966457219712609,85.0,5.5,1.3215450211843316,1.3391739130020142,0.03405093401670456,0.017628908157348633,0.01333962008357048
s4_corrected_fov210_hann0,material,14,Aluminium,7.5,23.42917524444491,81.7072441547571,85.0,5.5,2.1021010459005205,2.1181509494781494,0.03533437103033066,0.016049861907958984,0.00763515243306756
s4_corrected_fov210_hann0,material,15,Aluminium,2.5,0.0,0.0,0.0,0.5,2.1021010459005205,2.07368803024292,0.01904199831187725,-0.028413057327270508,0.013516503386199474
