run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative
0,13.566654055999606,0,67,12936137,6,251352,5940883,0,0.0,230.5859375,536432.6429745181,0,0
1,13.56712259699998,0,55,12648921,16,251352,5844965,3,0.0,264.62890625,561262.2337173304,0,0
2,13.566391381999892,0,62,12703730,10,251352,5923952,5,0.0,257.890625,545949.9111468425,0,0
3,13.592360027999803,0,61,12767532,54,251352,5881498,14,0.0,342.38671875,584571.5267386313,0,0
4,0.8969003970000813,0,63,12695928,26,251352,5811196,0,0.0,560.921875,549314.1283149765,0,0
5,0.8869544929998483,0,57,12595775,20,251352,5806268,10,0.0,315.01171875,582668.2433724444,0,0
6,0.8789977510000426,0,57,12780672,3,251352,5888858,0,0.0,204.38671875,537621.3715436138,0,0
7,0.8664303699997618,0,68,12703912,11,251352,5847412,1,0.0,295.84375,543373.7659357573,0,0
8,0.826031821000015,0,57,12520928,23,251352,5764627,2,0.0,280.40234375,528842.5242592084,0,0
9,0.8398166140000285,0,66,12741006,13,251352,5876025,1,0.0,161.28515625,522480.5818848598,0,0
10,0.8330907340000522,0,62,12739692,5,251352,5857826,0,0.0,170.82421875,509116.5446522625,0,0
11,0.8336246769999889,1,63,12708847,0,251352,5835741,0,0.0,150.0,510237.75810333213,0,0
12,0.8396091739996336,0,61,12721548,23,251352,5857745,0,0.0,157.16796875,488942.52177479607,0,0
13,0.8178801839999323,0,61,12731899,15,251352,5829277,12,0.0,124.08072662353516,500076.7559302358,0,0
14,0.8135733359999904,0,68,12598489,19,251352,5835252,2,0.0,123.8828125,498746.07054348,0,0
15,0.8411768619998838,0,62,12746091,15,251352,5822543,5,0.0,214.37890625,487927.5637581593,0,0
16,0.8738782790001096,0,64,12750233,7,251352,5885834,0,0.0,67.54947662353516,476259.22650437715,0,0
17,0.8863337789998695,0,66,12726693,15,251352,5855571,6,0.0,379.80859375,484285.6265866938,0,0
