run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative
0,13.428936832999625,0,64,12766719,4,251352,5843483,0,0.0,149.57421875,434526.5049310661,0,0
1,13.39932927999962,0,61,12498370,6,251352,5773015,0,0.0,87.36978912353516,456049.3354937719,0,0
2,13.455146495999998,0,61,12596188,7,251352,5800479,7,0.0,108.9296875,448047.3132819106,0,0
3,13.42287347599995,0,65,12580443,6,251352,5819224,0,0.0,134.171875,439812.7231277587,0,0
4,0.7898129199998039,1,60,12675827,0,251352,5851722,0,0.0,296.5546875,443445.8706035175,0,0
5,0.7771962960000565,1,64,12660753,0,251352,5787522,0,0.0,303.75,441308.5892919783,0,0
6,0.7736663719997523,1,60,12723555,0,251352,5869796,0,0.0,323.6640625,438641.4714090913,0,0
7,0.7920843259998946,0,59,12655841,17,251352,5797464,1,0.0,169.23828125,431507.7434861749,0,0
8,0.8223134740001115,1,58,12525067,0,251352,5761236,0,0.0,162.5703125,424006.7107169601,0,0
9,0.7983154809999178,0,68,12571946,12,251352,5775236,0,0.0,162.109375,418951.8186904719,0,0
10,0.8139855479998914,0,61,12718011,2,251352,5831828,2,0.0,116.00390625,401767.1845809041,0,0
11,0.8462864989996888,0,60,12636506,6,251352,5783527,4,0.0,126.5546875,396962.401305651,0,0
12,0.7877105889997438,1,62,12640590,0,251352,5801279,0,0.0,121.86328125,395893.97727502446,0,0
13,0.8160390220000409,0,55,12566783,8,251352,5793615,1,0.0,106.88671875,395208.50897239055,0,0
14,0.8242100600000413,0,62,12517973,5,251352,5770379,1,0.0,84.80078125,383812.33579658775,0,0
15,0.8079853139997795,0,69,12623277,4,251352,5827028,3,0.0,68.09375,380469.8665094508,0,0
16,0.8720471500000713,0,60,12602062,7,251352,5811334,2,0.0,127.08203125,383371.45152949163,0,0
17,0.8272194910000508,0,59,12712520,5,251352,5815862,0,0.0,79.609375,354837.74524793366,0,0
18,0.8189026959998955,0,58,12518710,7,251352,5757894,2,0.0,55.17317581176758,374536.77546100534,0,0
19,0.8178673329998674,0,73,12606735,2,251352,5777855,0,0.0,93.4609375,365815.89518422284,0,0
20,0.8044386060000761,0,64,12523516,19,251352,5765648,5,0.0,62.0546875,367290.46287264425,0,0
21,0.8147716170001331,1,62,12574303,0,251352,5777035,0,0.0,64.64173889160156,368704.5499199894,0,0
22,0.805464597000082,1,62,12640581,0,251352,5809360,0,0.0,201.2890625,369873.8388044132,0,0
23,0.7796406840002419,1,60,12614574,0,251352,5812653,0,0.0,68.5390625,355380.6315517356,0,0
24,0.8058081690001018,1,61,12640941,0,251352,5801890,0,0.0,137.4296875,355496.83908585564,0,0
25,0.8083508470003835,0,76,12623743,7,251352,5772462,1,0.0,84.705078125,361782.0620336686,0,0
26,0.8014029450000635,0,61,12637508,16,251352,5826657,0,0.0,68.80859375,355620.47838503483,0,0
27,0.8126297829999203,0,62,12556636,2,251352,5741817,0,0.0,78.38671875,353410.5902096024,0,0
28,0.8621980070001882,0,65,12659843,10,251352,5807510,3,0.0,72.07421875,357616.3352975733,0,0
29,0.8546409449995735,0,62,12658261,1,251352,5853804,0,0.0,53.26953125,346734.32933035836,0,0
30,0.8529413320002277,0,63,12551629,2,251352,5764409,2,0.0,113.81640625,362042.6128046816,0,0
31,0.8523194540002805,0,61,12549926,16,251352,5784814,12,0.0,113.03515625,366105.84538341407,0,0
32,0.8661121879999882,1,64,12672168,0,251352,5842395,0,0.0,115.23828125,351151.0969845619,0,0
