dataset,run_id,total,train,validation,test,validation_mask_sha256,test_mask_sha256,pairs,cylinder_hit,cylinder_miss,air_length_mean_mm,air_length_min_mm,air_length_max_mm,wepl_before_mean_mm,air_correction_mean_mm,wepl_after_mean_mm,clipped_to_zero
air,0,64574,51921,6436,6217,ace0c63e051cc7e836074ffc7f383a6e42b2d863acf2d225d0885d49e9fd9153,0accdc82e152d112953b3e6c8c9158cd1ac2c7a84929e6e5961182580ced2046,51921,45593,6328,85.08475083031692,20.000558569681232,221.7941479375858,137.52441936220686,0.09760817286077944,137.43102036117904,4620
air,1,65157,51963,6554,6640,741daef40fe752d669f145ceaf215347a19a6192f0a5418a89a477d66220797e,9eb8b895a70218533b0e8303d293031674d2fcf42676421c60d42900d13c86c4,51963,45411,6552,85.7639516023046,20.00043011658456,221.50597548264759,136.82317477139168,0.09838734357835678,136.72898476435844,4699
air,2,64641,51700,6457,6484,58c8e25537c8c2ac696940e8ea49f338ab5271fc7dbcffb174095614d1ab6609,e854e0654e34a1d9c0d6a918b2711c3cad6c5a6b855a6d6e87f578547c258379,51700,45347,6353,85.10477185610758,20.001264152082193,221.68551486217487,137.48306515237982,0.09763114073371966,137.3895979828783,4617
air,3,64961,51881,6474,6606,01b79d6f2352409e7a78d6353162056181507d7015aa74806ff35342148807d9,0304fd8f02eef2ef401e5aa2633a8d8b81cf1cc133e08110c094b8f5c67172e5,51881,45318,6563,85.92940662023231,20.000770192440577,221.484419678539,136.68167987913344,0.09857715152670207,136.58741471660886,4801
air,4,64726,51743,6533,6450,da16e4ab77a2c8345c0ceffbcbf23eacc6b433a45d41315f7cc60163ca36f61b,c4571596a58dc968a682226a1aef9844adb4e88beb59b7d57f8c66600d5e60b5,51743,45308,6435,84.96067920251346,20.00042721596524,221.73526870944877,137.6659604181768,0.09746583942528626,137.57274430964887,4662
air,5,64621,51738,6426,6457,55f9dc332c5ca7e8f013ee7a37a937407fbb1f153e0d1d80fa04aff354c7a841,5b19dddf6479e11b8f6a1ad7a02818b26ca6a54c6c805738abcb55c7f4d49a1b,51738,45342,6396,85.382823436737,20.000340080721234,222.25174332023306,137.22771191670284,0.09795011806492697,137.13400463971797,4730
air,6,64783,52054,6360,6369,6bb46ef74cd37b848a0493a8ce38974b59d7c11a5e8ee4ac357653e450adb079,c822cb977ae093bf543fbe8ed51f08596ecb751ce955bcd75b1dab99f411f6a2,52054,45847,6207,84.46843402448465,20.000749209940537,233.6369263743507,138.11708818779238,0.09690114185071451,138.024230505222,4512
air,7,64781,51796,6482,6503,becee5222ebcc51120c69398f43f148002e0ad0c6bf2e69e9632fcf3f40bdfc8,539657b21bef541577408b2f05d5e2f789e11bf8d80abd51daabefcbe77bf7fc,51796,45192,6604,85.8191916435071,20.001298889720772,224.08015521410172,136.78563650121401,0.09845071426978985,136.69158316519204,4828
air,8,65104,51886,6653,6565,d586b2adf95bdeff4c90b8969f6ac98dbaf64cfb3f72118cf769dbdf3dd281f0,32200b6f64e672b573d6a5bbe95b6773c325382b49598fefe807b6a371e5b8c9,51886,45457,6429,85.48117480982087,20.000891246833646,221.49525441787162,137.09907167075167,0.09806294554260521,137.00524130316066,4671
air,9,64373,51389,6455,6529,d28d5e1c31bcb470f450ae3cc17c383d54fe06d5dd7636ee0f79afb4f89901de,172030ba347fff82adfb14968ba01258f2029774f2cbba345ce57dd8e9d0d5e1,51389,45018,6371,85.52262743592343,20.001322494028067,221.70839877025506,137.0741754020532,0.09811049948211452,136.98031924025074,4640
air,10,64650,51748,6405,6497,1fa47ea06d23c8d892b462baf124be238719cc51540b125ee54fdfd922845248,8662e6ef3fc510a03e28806c75375643636776b05a92ba42e70553cc885197f0,51748,45318,6430,85.23567329666439,20.000778613837127,221.7082325844834,137.35913721278345,0.09778130924585504,137.26551700461604,4616
air,11,64711,51704,6547,6460,d11fa66d0148000a7ec6f6d7944b16ba3fb0227c6df5dadadc59bfe959953553,34fcba948028084d31fa03be8d49219dab308ab00a0272b2178b90fd6c6597b8,51704,45311,6393,85.1898241736755,20.00007652132818,221.63791925890823,137.39891453011822,0.09772871169954334,137.30544145428257,4702
air,12,64583,51495,6554,6534,72ad149100891c4ac0fd07c56210e996acdd090ec41820b322e4af8210578390,7988cad854aecece99dad84f4b51e2ecf23b6cb6307c4bf60523c1774ac87b1a,51495,45151,6344,85.56356826178904,20.00084509965589,221.55852303377856,137.0202789708794,0.09815746629072777,136.9262914597089,4602
