dataset,run_id,total,train,validation,test,validation_mask_sha256,test_mask_sha256,pairs,cylinder_hit,cylinder_miss,air_length_mean_mm,air_length_min_mm,air_length_max_mm,wepl_before_mean_mm,air_correction_mean_mm,wepl_after_mean_mm,clipped_to_zero
material,0,64990,52257,6478,6255,e737e2d09414abc637bffb26660a83d469408f6b694adb12263b326c3046d34c,e421c24fac37390f6fe0362a8f1b9791046c7d22e3c7e34b3bb71a8cfaf49417,52257,45769,6488,85.68697159979877,20.000974897678063,221.65721781170623,136.3613197036554,0.09829903307244253,136.2673424242916,4751
material,1,64741,51639,6507,6595,9638b38361342f8bb31703163a184ad538743878dda43fb45a81383467422081,89cbbb73ed33857581712cd20c4b32ae0e798f120fb28e726769796b25631110,51639,45271,6368,85.4109499237129,20.001673828252763,221.63118519083451,136.70713592372232,0.09798238442259882,136.6133497741052,4663
material,2,64723,51773,6460,6490,d42b559ef1dc32bfe63ff233ba540f663d28b628b507e864ef655d693cb53282,ba0458cf0fdb0f38241a17a78b7b333926df9b7b245bd0f32455da4aecee604d,51773,45480,6293,84.67179018661848,20.000623264971452,221.50806000288406,137.32635823841093,0.0971344295225025,137.23330540463857,4544
material,3,65169,52049,6486,6634,5c843907b25f60f9426f9e518019573f122fffe38ecafc781dcb4281f6f89d89,c57be9baa3a82f41b69348277fc2f06c54c9747cff097cbaafb4736d0fdc7fd3,52049,45710,6339,85.1955464942545,20.000676740795196,221.5304855997001,136.73535448103624,0.0977352762748731,136.641743898908,4608
material,4,64780,51788,6540,6452,f898a16b3c03b18fb4c88aa854d0878f136a710b89f0850062fe673a9274f69a,b7fdc8123f19b9e228bd8080681517b32e9b66db2e79cd06efea4fc40395da2e,51788,45318,6470,85.96212342140997,20.000656273796835,221.6891115477178,135.92361199681034,0.09861468383600118,135.8292981373328,4733
material,5,64220,51423,6386,6411,5ac4c5bdd943c5894f592e5cc560bf60a24c69869d924e5c1dcdaaccdea29951,674ae0e71c0c40505a79c93719c776515cce9aedaf22da2a1e08f95cf669e7ac,51423,45146,6277,85.52483737333816,20.000959078936027,221.58758781142055,136.52492289162834,0.09811303469495919,136.4309499612051,4567
material,6,64699,51987,6354,6358,3c44c7378072d173d42a36a4ba8b66986072453cdc3fbfaf4cdc366f175b1ed1,1dc6d12961fa302785f85c138eedc8fa3207bb28cedd555a3236fd9caa473de6,51987,45579,6408,85.44438413401889,20.000785203010217,226.04813542185187,136.6286797775801,0.09802073973476887,136.53490862947444,4710
material,7,64663,51697,6475,6491,490d3732414f9ca667d1f2d2de3c9be8112d3f6f01c626c2bec037f0905a1ef3,4e2806da07101710236e3dabad725418536d5d564ab65277106c230b5a5a212c,51697,45325,6372,85.28039131481029,20.00119512257921,221.57413143502075,136.79282289348708,0.09783260920269311,136.6991812393341,4659
material,8,64270,51216,6579,6475,def2b8e5a2aa3981302d2eae4e902835bd5c84691d0ada7a99856681ee060a4d,93cd7cf5401054f4ae0aafd83d49a11de6aae4df12670c8452e9a67750daa31d,51216,44802,6414,85.3657519559296,20.000453171275545,221.6708325308425,136.61521984039206,0.0979305338734781,136.52156688715448,4678
material,9,64839,51774,6498,6567,fb59803d89fe5e5afa2f965c77f394d24f97b2af57b7302764672375c906696e,0c7da94037a89f8dca3ba6f534c030c225657942067af3e584994190c089e027,51774,45284,6490,85.4637172751572,20.000542284273614,222.05451806252262,136.53428843923584,0.09804291847495149,136.44054639754071,4752
