dataset,run_id,total,train,validation,test,validation_mask_sha256,test_mask_sha256,pairs,cylinder_hit,cylinder_miss,air_length_mean_mm,air_length_min_mm,air_length_max_mm,wepl_before_mean_mm,air_correction_mean_mm,wepl_after_mean_mm,clipped_to_zero
resolution,0,64576,51922,6437,6217,89186a53b8f9c6de638f71afb6a4d33f8e8c8ac3872f79d786ee1a82aa87eaea,0accdc82e152d112953b3e6c8c9158cd1ac2c7a84929e6e5961182580ced2046,51922,45409,6513,85.85924125040191,20.00095865692116,221.8048172773755,139.89742279183432,0.0984966586830325,139.80323999312608,4756
resolution,1,64137,51157,6441,6539,d1899cf290a941b12e99c6ec03f2f9fed16efa33f12a476f1c85059b2de66303,34e8d1f4f68d6f634f1210ab70a0253b82a39e6b4baa25a626478131ee4a7413,51157,44783,6374,85.41907764848202,20.001874348847977,221.55085117733452,140.34844980287556,0.09799170844783817,140.2548109556716,4739
resolution,2,64279,51421,6413,6445,d8db6b4eb0963c07c77a0834f947b65d7e5b1d3fb1fd9af608104784c9604c59,460a049944f00729b07afe6dc12f17bf653c4c4d5a223ade012febf2b8c17ba8,51421,45132,6289,85.28297146493118,20.001812086762513,221.75647912463194,140.46143645707554,0.09783556911897132,140.36779464071057,4565
resolution,3,64255,51333,6399,6523,64fa10316d577efc8501ede69c11a5c46dca413608a42ae58226d63e68b5fd19,f027c60e6112c00b84032d16f71cb430ad4df786428c0eb9ccd2ff73f3bc1bc0,51333,45036,6297,85.03853022492565,20.000919213258868,222.99028465108154,140.7309915150343,0.09755514915445446,140.63757805225114,4546
resolution,4,64509,51581,6506,6422,9b57e26071e1e017ca0abc38eecb49a8ba69428d829b3ba2e2473ce4c51a9e94,9365572f9ced466b1735029b4ffff4975237aa2714b1df179426c9df6c3c7ca6,51581,45149,6432,85.45936745679462,20.001752298324785,221.6623407644219,140.30313866280557,0.09803792841717379,140.2094168240477,4760
resolution,5,64389,51553,6405,6431,09ecbe8904bc9161be519280fb45ae88f1fcb65812aa360ed13c1252032ae144,d4fb053266a22806b4c52667b7d5152141e252a1a8022aa36301da4bf7897895,51553,45049,6504,85.96620878569507,20.002210591730645,221.6297845698786,139.7991944718091,0.09861937051533501,139.70481748692518,4690
resolution,6,64429,51776,6327,6326,23a5208e8dd7a10e13f11949d94c4e8bea96b849b1a18634a0d40beb4b2ae71b,3901517dd2b0b1cd7fa09fd25152e6631eb7f66d2673c512e93404496ab07b44,51776,45285,6491,85.63425955917756,20.000959016185362,222.00390709012592,140.13645735147554,0.09823856247198136,140.04248744245626,4718
resolution,7,64695,51725,6477,6493,737035cadc0a3b02c937ba7193d549f20cafdc0224916421e38e0cfa266ce2d1,f472cac8ee056f5d3fdd2fe60391d0f881956b1cd24526c4f7e5ea1ecba6f395,51725,45195,6530,85.86363631994392,20.000192352057432,221.60562755445977,139.84346999349515,0.09850170065240313,139.74931985236947,4803
resolution,8,64140,51120,6563,6457,17d4c4465241e4bd62b29d28dcae46aabfe28769fa18c936fda608e186725ff9,01d23db5e7aeec4b9bf33f2e04328f43fb09f5ba7a14cbc179c4fc575366eaff,51120,44829,6291,85.15868343818283,20.001887939270656,221.7890402338097,140.62845928023725,0.09769298743328743,140.53494890762084,4562
resolution,9,64273,51309,6446,6518,cfa9c1fc48814d4d137b57bb14d838bf24b3869ed5a681e6a37bae17f860b667,b87756b259b88477e5831cba9e59b26afbdfac375a9aea5f50d35277d0f8b2cf,51309,44765,6544,86.09548568731888,20.00070902489668,221.53993409636556,139.6968147339656,0.09876767537651707,139.60245928099494,4832
