dataset,run_id,total,train,validation,test,validation_mask_sha256,test_mask_sha256
vacuum,0,75392,60548,7529,7315,fb4abf7b4a27dcc9f6c08e23e0b5ff267a6c83268f71a2d6519a249a313cea4d,45dda8acbb90a1b82eb023e88b5d7a2fd4c665254581f6b22960cef9018734be
vacuum,1,75259,60060,7585,7614,02f835ca6695510f24495b66280c8d482a8c50b92d137f70a41a56b23954d689,c1dd3ff67d1c416cac28dd20231c7df082c4ccfea8c28c3dffb714b5436bb5ca
vacuum,2,75217,60173,7494,7550,7de36f1f21d4ad7bfd0124af58779044df4f49ed71b6005c41200ffa855e505c,02380fadd7c98ad5b7856cdd01069316f19094d8b451c8f7fa486ff6b276bce6
vacuum,3,75884,60544,7637,7703,b5611ad6757eb2cb5533a442ba87d11ded59dfd8566977c086c93cb4674dd2c0,fb369d2a01b9f55b35447fd3924a6b92a3536d65386469187f0e172c931ef333
vacuum,4,75283,60211,7600,7472,14bec1dc9b62b16f7b7b5055c583e46d63ca41050143c9813caa3bbd72725da0,92baae10373463b0a907d695c3e4b45b5aebcf87db01fe6818b3152d630d2601
vacuum,5,75416,60358,7514,7544,6be0d0dd794f13531177904ba1d126ec1e61a00abe8a2be5b88d0ec8deab60c5,c0925002bb5b71c65436b36a734e6e6e90d667652db150c65b3e644870dac3f6
vacuum,6,75167,60254,7425,7488,f6fe6340e42f3827b56ae46d9f1d8eb788ee32c006f617d0bbd45763915e3ad1,d01b8aacb072012469def41cfbd2df872bdae76f33a94a3191c419ef0c866e96
vacuum,7,75362,60265,7540,7557,98828175b34c3dff7412afb0c37a338304086c4860e6b54af9718af1312814b2,4bbb3070b07ec03f46d8d13c95d43e78a4e7c47dbe6654c57286373f2aeb073d
vacuum,8,75571,60275,7687,7609,facccd44d28d2bad82207518e0692b231fff77f34f7d05db66f487bdc8453156,e6e518eb5d4b8730512824de883eb361437386bac693d679238862ee23650b40
vacuum,9,75343,60238,7526,7579,4fb61c6ca2273a4f20af6f1deae5cf74c1c9d8c3113b9f26756eef1818387701,932d4232351840127789f4e3f8156701a5d2dd17c2d0eb2d4c1f820a020add12
vacuum,10,75446,60330,7517,7599,7bac7dd044590b0fd51685d207de93077e98f0bba770148c413a1fe2cd060a34,ad96cd21bc04975246a88df2782718209862fbfaf5a4ee04c8456b8e697190c2
vacuum,11,75757,60518,7647,7592,8fd502eb160cd299f9d8bc5e09243c825960fce30145f5ffa0709c4dd8ce8b36,126c12c7bc95db7e201c2e494b02f4dc9507fa30f01146d2ad33947ab341c205
vacuum,12,75012,59858,7576,7578,221c6f316228a2a9768e76482d2197ffa506ab30b2ff2d041d6b3809bb7cf6d0,7127139d8fbf9d3a919d75597bf9bc42a76c2c91fe1e68b3f2f094de1572f1f5
vacuum,13,75527,60429,7566,7532,4c66deef43479349222de0a48361f1daa34911decfd84c6bcc1fd6622c06c929,a4bf291257d7029af99d0ae1a92000543aa0a07598ea4a0220e865da278aca1e
vacuum,14,75627,60416,7625,7586,4d12baa1cad0c4bd4522017cec8bed74db09b2a35449ed7d58a5552ff145adcd,556e157bcfc8004366dac01fa35228d80e731a03b139221403db7ca99716a5c3
vacuum,15,75792,60591,7618,7583,18122d611deeed7bdb4141671a76ce7dd58afe0821b80e96df3bb27746fafaf4,c9c13b80e6f94ea12a909ba7b6a38733aef0b00deac8c1826aa1e60bdf40c56e
vacuum,16,75201,60312,7429,7460,3b6cd92670b8e8db62d683115b60117451a0e45989bd3829776240baf242dc1a,22f73a115fe4835259e6cceb775d7bc7680e61b69e6ccc50bd381a8ef7295cda
vacuum,17,75801,60764,7561,7476,5f311f476cbc8aeb15dbb5ab8d68cdb815ab65333dff67ddc750bc9b50a2de93,045474d2f30f5ecd4b6cae77ad2b8f984538fcba642dea77f1ee5d64ae09b237
vacuum,18,75301,60115,7458,7728,80a3bbe20196ee1955bc37a8c5264740c1817d80289378e93fc59fdf566672c5,ac771ce33b8fccd184892f8e31b856cc75d64d6d6f9414f84f2899d86f0c35ff
vacuum,19,75920,60584,7734,7602,da4eadb334bbf0d4802e0783d5b0a819d1255e951d358c335336a17d2f02b30f,668c7be75d15fa0a2167eddd8ab355156f6b9b362606386f19ec4b3f0c2127fe
vacuum,20,75549,60547,7461,7541,bfd1522a1dbf301b896c249694165814f9a5ac3f48422311b66cea7c3f038b4b,2120942ce8ecc3b4caf3ef69f497850da1ded0b2f4439816a84bbf3d1dbcf15a
vacuum,21,75748,60642,7429,7677,63544b7a8fd3047bd2a4ed2024c5af06cd11072093fa48c386663ccc9b7a1f9c,045442eb19a646ff2651986b268f003a05870346ed142880e2bd2187e12ebb28
vacuum,22,75361,60335,7396,7630,ac72f0ce4d80056efafc4585f04d0369c7a3d27f389a43f9a7d800e361db32fa,fb7f8938950322af7dea02356b610342734ea811c349669931946cbddf47232c
vacuum,23,75392,60465,7460,7467,e3a04bb70a26eb0b4dca3d454962ed254a88a5048b46d24c427981d731950106,99d1acc7f0defcd2c54f879cfd4e554869fa4d299e001e77c005afadeff1415e
vacuum,24,75663,60482,7688,7493,d1b32f4388e9fc95d7891f2471f50063685dc42028df215e644c225e3cb169c2,33dcc5b2d6b5e9330ed886ff27f3e82f8183decb851843e64e35ae317375678f
vacuum,25,75927,60765,7592,7570,c6c3b2b74257bfcc8e01094cee091b391d8fa0bc1c4b8b58e3ee247be189720f,c207f0c4a6a15df96ac8526bf946845cf8ba2567ee36c6a65bc120aee0243324
vacuum,26,75606,60385,7653,7568,fdf8b488611461034c66f2aa693ccc2983a10c84efa4b6cbc24bdc44b368bbb9,88c888d285cb7c685445b61c8ab3dc0c534c930808d802f39f571eb9547aac17
vacuum,27,75300,60149,7556,7595,fbc2866149fec19414bddd59ec45b2ad751fb793784f29e00e21f108400b7583,800dae7176a72edbec8b16dc763b3af493f230f22c3b9fdaa9714c7032a3d705
vacuum,28,75555,60362,7604,7589,02e023318b378ddefeba60a25fc654af60013c0d95d89d7cfe0af71a5587043d,b10e5b158170f6e30978acd737b64da538b6b1442b3b371287897dac03ad3bb7
vacuum,29,75443,60429,7385,7629,6fec32249f861d5022b626b7a071a5fea734f81dc2a93934db96337821a29ae7,8d0f2f44c65eaa7cb74d6fc22a6e94fc784ad4372a60ce2656c7d79458cc833c
vacuum,30,75860,60478,7715,7667,c24decccbe67db22ec291ef2ba806f76eb7c613c12732a2fd88bc5333836812d,026626f46ef17a1183b0c818ac3016ebd4dc7d164f99aef44976b2907dd23e5b
vacuum,31,75426,60340,7605,7481,b7522bdccd759af598cfed64a522d974b50ff01a64c034b46a20d950a4fc2bb8,b827af05d6805d3cdbaf5a0e5f9b219a7085b8e8e1cd1ddd255761260caf3630
vacuum,32,75390,60267,7519,7604,efe9b84cebf28a7989bec17a999f3262530c20af2039c71bd5e40407f6f69510,7d19c711f45607911996b131aafbafdec93e60285a924075d0b667589a2703e2
vacuum,33,76010,60723,7657,7630,2766912747e92846fc2d67192eaf83ed22bda417e516ba398c4449c379429c3f,1cad2629af35ee58c879cd39d4ffe4173110c97737e43a464e69c683c2775418
vacuum,34,75352,60236,7568,7548,acaae9719f4d09c9d7400371ed2a83b72b67915e29c3e176d922497c88ebff2b,732d7ed51fd4dbdecf76a5d8ca0e5ded4df0b4da50557f073fb7a979b8f9432c
vacuum,35,75431,60370,7487,7574,69f544d524766a273d419e45251c0f18fe0d838c9f8aac114091583ffbe55f08,a3cb10e3195469fa302919db235a4f09d1e2d4337819ddb315eb89319e856bca
vacuum,36,75446,60257,7591,7598,a54ea3881e628462b7639e89d314aba590bad52bd42c5d07336edffae0191ef5,b07bd77cf725d973b2ee1e0e98d7717006949f1b5dedf7d5045b20e4f461d199
vacuum,37,75200,60193,7478,7529,15757a47251c4df53be7d5e9fe3a111da0bd3d1ca84905da6d5f7ac178886514,0761e1dad52c7c798dca203aad79e9657753b8cf7b14f17dea282fffc853ea74
vacuum,38,75728,60575,7614,7539,62399a1f995409db1d0b5918aeee847850842030dc45079afb1b6ecd06ee6a5a,0d73cd6bc907409feb19df4d7e9e5fcc8cd6ee08ff4985e2a3bd7c110ce42daf
vacuum,39,75496,60404,7604,7488,9acd4aee2fedd9ce304b6af493f0a5d1aecc5e0cbfdd37a90f347a8b42bde5a5,76779e1b8cc4d1ed1e4eda85bf905b3709215f84a519e2183a774f40fb056389
