run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative,dataset,candidate,selected_train,reused,finite
0,13.410132631004672,0,62,12859708,2,251352,5912274,1,0.0,53.0390625,265492.97753052996,0,0,s3,baseline_3sigma,52001,False,True
1,13.406498796997766,0,60,12937389,10,251352,5928023,0,0.0,33.594459533691406,257104.1298157153,0,0,s3,baseline_3sigma,52310,False,True
2,13.409901022001577,0,59,12831228,2,251352,5933188,0,0.0,40.78125,259056.99641810678,0,0,s3,baseline_3sigma,51964,False,True
3,13.427564393998182,1,63,12866153,0,251352,5889499,0,0.0,52.35286331176758,264036.0099593666,0,0,s3,baseline_3sigma,52122,False,True
4,0.5620475090036052,1,63,12872830,0,251352,5952662,0,0.0,63.31792449951172,268316.1699229398,0,0,s3,baseline_3sigma,52025,False,True
5,0.5639338630062412,0,62,12845863,5,251352,5931230,0,0.0,104.890625,262678.6126065803,0,0,s3,baseline_3sigma,51931,False,True
6,0.5716171130043222,1,59,12881617,0,251352,5964628,0,0.0,49.87382888793945,261561.0548920442,0,0,s3,baseline_3sigma,52239,False,True
7,0.5783983469955274,0,63,12758597,6,251352,5874492,0,0.0,60.58073043823242,267492.7580559786,0,0,s3,baseline_3sigma,51975,False,True
8,0.5664406040014001,1,68,12895288,0,251352,5929541,0,0.0,30.54036521911621,266302.99123594986,0,0,s3,baseline_3sigma,52229,False,True
9,0.5687749579956289,0,66,12842705,8,251352,5854700,0,0.0,35.07107162475586,262155.19869467913,0,0,s3,baseline_3sigma,51740,False,True
10,0.5458917210053187,1,66,12814435,0,251352,5937827,0,0.0,54.2109375,255940.5055579731,0,0,s3,baseline_3sigma,52039,False,True
11,0.5973147159966175,0,61,12810495,13,251352,5913248,2,0.0,45.47957992553711,269293.55578292813,0,0,s3,baseline_3sigma,52049,False,True
12,0.5616785949969199,1,58,12728804,0,251352,5873015,0,0.0,39.44661331176758,261693.807504604,0,0,s3,baseline_3sigma,51755,False,True
13,0.5834697509999387,0,64,12929146,2,251352,5985607,0,0.0,26.54947853088379,257842.72632774778,0,0,s3,baseline_3sigma,52286,False,True
14,0.5403694039996481,0,59,12784548,5,251352,5861580,5,0.0,30.578125,255994.6156806126,0,0,s3,baseline_3sigma,51617,False,True
15,0.563497303002805,1,61,12967582,0,251352,5961987,0,0.0,42.3984375,261782.67968516788,0,0,s3,baseline_3sigma,52229,False,True
16,0.5528329549997579,0,56,12850790,6,251352,5908278,2,0.0,33.40625,258889.2824529456,0,0,s3,baseline_3sigma,52137,False,True
17,0.5797683779965155,0,69,12970176,3,251352,5986662,0,0.0,40.330078125,260857.99942803726,0,0,s3,baseline_3sigma,52559,False,True
18,0.5558766670001205,1,63,12678982,0,251352,5868393,0,0.0,35.03125,263369.66869932367,0,0,s3,baseline_3sigma,51341,False,True
19,0.5694671289966209,0,61,12849587,5,251352,5928851,0,0.0,51.0125617980957,259889.53060764304,0,0,s3,baseline_3sigma,51618,False,True
20,0.5596740640030475,0,58,12843707,6,251352,5922409,0,0.0,102.2578125,262799.99144826375,0,0,s3,baseline_3sigma,52072,False,True
21,0.5500674459981383,1,59,12871638,0,251352,5963915,0,0.0,59.5411491394043,258428.94689949264,0,0,s3,baseline_3sigma,51926,False,True
22,0.5668069570019725,1,67,12774749,0,251352,5895009,0,0.0,42.20143127441406,260955.3282169606,0,0,s3,baseline_3sigma,51895,False,True
23,0.594324518002395,0,65,12855668,2,251352,5900397,0,0.0,30.59375,260025.6106509618,0,0,s3,baseline_3sigma,51833,False,True
24,0.5333981150033651,0,64,12895806,4,251352,5951128,0,0.0,29.00846290588379,258323.92737474525,0,0,s3,baseline_3sigma,52179,False,True
25,0.563320813998871,0,61,12871700,2,251352,5936739,0,0.0,99.54548645019531,263174.8974225046,0,0,s3,baseline_3sigma,52179,False,True
26,0.5721925019970513,1,61,12821567,0,251352,5934677,0,0.0,65.0546875,259852.58119400468,0,0,s3,baseline_3sigma,52129,False,True
27,0.5636372130029486,0,61,12771733,3,251352,5908397,0,0.0,34.08723831176758,260716.8654787278,0,0,s3,baseline_3sigma,51898,False,True
28,0.5680276780040003,1,57,12813810,0,251352,5883242,0,0.0,49.33463668823242,265813.7605520979,0,0,s3,baseline_3sigma,51749,False,True
29,0.572804224997526,1,62,12873324,0,251352,5941635,0,0.0,36.266395568847656,267693.3783214351,0,0,s3,baseline_3sigma,52122,False,True
30,0.5919933149998542,0,59,12830697,1,251352,5920517,0,0.0,51.466796875,262419.2793023686,0,0,s3,baseline_3sigma,51699,False,True
31,0.5964390640001511,1,65,12734563,0,251352,5862795,0,0.0,70.79557037353516,269461.2655471271,0,0,s3,baseline_3sigma,51805,False,True
32,0.5746460130030755,1,62,12850119,0,251352,5898971,0,0.0,43.30078125,262541.21236434235,0,0,s3,baseline_3sigma,52156,False,True
33,0.5774232519979705,0,63,12884461,2,251352,5944143,0,0.0,47.7109375,259201.62898273882,0,0,s3,baseline_3sigma,51955,False,True
34,0.5880076329995063,0,63,12889796,14,251352,5942279,0,0.0,55.54752731323242,256860.05324630582,0,0,s3,baseline_3sigma,52077,False,True
35,0.5738308500003768,0,66,12926678,2,251352,5925790,0,0.0,24.548046112060547,261646.95165046095,0,0,s3,baseline_3sigma,52050,False,True
36,0.5591734439949505,0,60,12752101,2,251352,5910425,0,0.0,36.30742263793945,263496.79257843335,0,0,s3,baseline_3sigma,51599,False,True
37,0.5472175100003369,0,61,12821199,7,251352,5963960,0,0.0,37.7734375,260794.21095965552,0,0,s3,baseline_3sigma,51844,False,True
38,0.584103460998449,0,61,12910349,2,251352,5937465,0,0.0,36.98125076293945,257427.2065455946,0,0,s3,baseline_3sigma,52126,False,True
39,0.5787641950009856,1,61,12763054,0,251352,5892551,0,0.0,19.36172866821289,260315.67544809295,0,0,s3,baseline_3sigma,51630,False,True
40,0.5587262050030404,0,60,12903675,5,251352,5967062,0,0.0,40.750064849853516,264096.8028313278,0,0,s3,baseline_3sigma,52422,False,True
41,0.5329102359974058,1,60,12789348,0,251352,5910016,0,0.0,30.24701690673828,262813.93605122855,0,0,s3,baseline_3sigma,51805,False,True
42,0.5867639680000138,0,62,12828743,2,251352,5907297,0,0.0,27.500259399414062,261838.11862060757,0,0,s3,baseline_3sigma,51902,False,True
43,0.5979403570017894,0,64,12894823,6,251352,5980134,0,0.0,138.9684295654297,261281.9683363097,0,0,s3,baseline_3sigma,52130,False,True
44,0.5338602510018973,0,59,12640699,7,251352,5825982,0,0.0,30.040363311767578,264799.7638521648,0,0,s3,baseline_3sigma,51499,False,True
45,0.5335997420042986,1,65,12867532,0,251352,5905819,0,0.0,28.518430709838867,261101.1658589499,0,0,s3,baseline_3sigma,51939,False,True
46,0.6056712060017162,1,62,12822058,0,251352,5906079,0,0.0,70.23102569580078,262547.5220869136,0,0,s3,baseline_3sigma,51933,False,True
47,0.6142003159984597,0,63,12880961,3,251352,5977195,0,0.0,27.89095115661621,256532.8744689907,0,0,s3,baseline_3sigma,52328,False,True
48,0.5834495919989422,0,65,12789593,1,251352,5848915,0,0.0,31.87137222290039,259276.5283942754,0,0,s3,baseline_3sigma,51884,False,True
49,0.5309922250016825,1,72,12827342,0,251352,5922774,0,0.0,24.626953125,264672.8327021832,0,0,s3,baseline_3sigma,52021,False,True
50,0.589437030001136,1,67,12850907,0,251352,5913984,0,0.0,40.60602569580078,259259.08519460703,0,0,s3,baseline_3sigma,51960,False,True
