candidate,partition,material,total,accepted,retention
baseline_3sigma,train,A150_Tissue_Plastic,5327748,4425287,0.8306111700478326
baseline_3sigma,train,Air,5459395,4540334,0.83165515592845
baseline_3sigma,train,Aluminium,5502246,4555411,0.8279184536641946
baseline_3sigma,train,Background,11406870,4852427,0.4253951346863776
baseline_3sigma,train,Lung,5430741,4515435,0.8314583589974186
baseline_3sigma,train,SpineBone,5294809,4396602,0.8303608307683997
baseline_3sigma,train,Water,12128734,10141834,0.8361824078259116
baseline_3sigma,validation,A150_Tissue_Plastic,666942,553387,0.82973781828105
baseline_3sigma,validation,Air,683137,566800,0.8297018021275381
baseline_3sigma,validation,Aluminium,688595,569619,0.8272191927039843
baseline_3sigma,validation,Background,1425276,605654,0.4249380470870203
baseline_3sigma,validation,Lung,678570,563691,0.830704275166895
baseline_3sigma,validation,SpineBone,663464,550091,0.8291195905128236
baseline_3sigma,validation,Water,1515405,1266653,0.835851142103926
median_mad,train,A150_Tissue_Plastic,5327748,4229089,0.7937854793432422
median_mad,train,Air,5459395,4354129,0.7975478967907617
median_mad,train,Aluminium,5502246,4341923,0.7891182982367564
median_mad,train,Background,11406870,4830627,0.42348400569130706
median_mad,train,Lung,5430741,4328464,0.7970300922102527
median_mad,train,SpineBone,5294809,4197101,0.7926822289529235
median_mad,train,Water,12128734,9778025,0.8061867792631944
median_mad,validation,A150_Tissue_Plastic,666942,528973,0.7931319365102213
median_mad,validation,Air,683137,543556,0.7956764162971702
median_mad,validation,Aluminium,688595,542856,0.7883530957965131
median_mad,validation,Background,1425276,602988,0.4230675321832403
median_mad,validation,Lung,678570,540261,0.7961757814226977
median_mad,validation,SpineBone,663464,525222,0.7916360194373772
median_mad,validation,Water,1515405,1221249,0.8058895146841933
robust_mahalanobis,train,A150_Tissue_Plastic,5327748,4324051,0.8116095205704174
robust_mahalanobis,train,Air,5459395,4435966,0.8125380193226539
robust_mahalanobis,train,Aluminium,5502246,4453654,0.8094247330999014
robust_mahalanobis,train,Background,11406870,4677497,0.41005963949795166
robust_mahalanobis,train,Lung,5430741,4411358,0.8122939392616956
robust_mahalanobis,train,SpineBone,5294809,4296281,0.8114137828201168
robust_mahalanobis,train,Water,12128734,9899435,0.8161968924374134
robust_mahalanobis,validation,A150_Tissue_Plastic,666942,539547,0.8089863886214993
robust_mahalanobis,validation,Air,683137,552447,0.8086913752292731
robust_mahalanobis,validation,Aluminium,688595,555323,0.8064580776799134
robust_mahalanobis,validation,Background,1425276,582763,0.4088772981513756
robust_mahalanobis,validation,Lung,678570,549347,0.8095657043488512
robust_mahalanobis,validation,SpineBone,663464,536419,0.8085125945039972
robust_mahalanobis,validation,Water,1515405,1233894,0.8142338186821345
