candidate,partition,impact_radius_mm,total,accepted,retention
baseline_3sigma,train,0-30,11169952,9230807,0.8263962996439018
baseline_3sigma,train,30-60,11479778,9523478,0.8295872968972048
baseline_3sigma,train,60-90,12161859,10172971,0.8364651325097586
baseline_3sigma,train,90-inf,15738954,8500074,0.5400660043863144
baseline_3sigma,validation,0-30,1396335,1151667,0.8247784378390572
baseline_3sigma,validation,30-60,1436826,1190438,0.8285192500692499
baseline_3sigma,validation,60-90,1521818,1272461,0.8361453209253669
baseline_3sigma,validation,90-inf,1966410,1061329,0.5397292528007892
median_mad,train,0-30,11169952,8757012,0.7839793760975875
median_mad,train,30-60,11479778,9093788,0.7921571305647199
median_mad,train,60-90,12161859,9835404,0.8087089317513054
median_mad,train,90-inf,15738954,8373154,0.5320019360880018
median_mad,validation,0-30,1396335,1092804,0.7826230811374061
median_mad,validation,30-60,1436826,1136722,0.7911340691218004
median_mad,validation,60-90,1521818,1230019,0.8082563092301445
median_mad,validation,90-inf,1966410,1045560,0.5317100706363372
robust_mahalanobis,train,0-30,11169952,9018460,0.8073857434660417
robust_mahalanobis,train,30-60,11479778,9298280,0.8099703670227769
robust_mahalanobis,train,60-90,12161859,9951788,0.8182785214003879
robust_mahalanobis,train,90-inf,15738954,8229714,0.5228882427637821
robust_mahalanobis,validation,0-30,1396335,1122122,0.8036194752691869
robust_mahalanobis,validation,30-60,1436826,1159551,0.8070225622309173
robust_mahalanobis,validation,60-90,1521818,1242422,0.8164064296781876
robust_mahalanobis,validation,90-inf,1966410,1025645,0.5215824777131931
