dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s2,0,baseline_3sigma,87852,77907,70472,60562,0.8593767737541151,8823,7523,0.8526578261362349,8557,7332,0.8568423512913405,0.5696848630905151,5.330066204071045
s2,1,baseline_3sigma,87597,77803,69934,60085,0.8591672148025281,8842,7589,0.8582899796426148,8821,7591,0.8605600272077996,0.5525659322738647,5.250617504119873
s2,2,baseline_3sigma,87639,77684,70131,60210,0.8585361680284039,8724,7493,0.8588950022925264,8784,7521,0.8562158469945356,0.5549197793006897,5.360520362854004
s2,3,baseline_3sigma,88316,78349,70441,60483,0.8586334663051348,8937,7683,0.8596844578717691,8938,7706,0.8621615573953905,0.5548308491706848,5.29529333114624
s2,4,baseline_3sigma,87705,77778,70166,60255,0.8587492517743637,8807,7604,0.8634041103667537,8732,7446,0.8527256069628951,0.556056022644043,5.313174247741699
s2,5,baseline_3sigma,87936,77922,70372,60336,0.8573864605240721,8789,7556,0.8597110023893503,8775,7527,0.8577777777777778,0.5624263286590576,5.4295573234558105
s2,6,baseline_3sigma,87565,77592,70249,60319,0.8586456746715255,8649,7422,0.8581338883107874,8667,7432,0.8575054805584401,0.567245602607727,5.212284088134766
s2,7,baseline_3sigma,87663,77830,70067,60276,0.8602623203505216,8763,7514,0.8574689033436038,8833,7602,0.8606362504245443,0.5664686560630798,5.242669582366943
s2,8,baseline_3sigma,88075,78099,70311,60397,0.8589978808436802,8913,7649,0.8581846740715808,8851,7542,0.8521071065416337,0.5564406514167786,5.3157057762146
s2,9,baseline_3sigma,87965,77845,70397,60279,0.8562722843302981,8789,7525,0.8561838661963819,8779,7547,0.8596651099214033,0.5575665235519409,5.271910667419434
s2,10,baseline_3sigma,87825,77944,70312,60412,0.8591989987484355,8709,7489,0.8599150304282925,8804,7594,0.8625624716038165,0.5528485774993896,5.377810955047607
