dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s4,0,baseline_3sigma,88113,67404,70673,52386,0.7412448884298105,8854,6535,0.7380844815902416,8586,6324,0.7365478686233403,0.5771052241325378,5.23162317276001
s4,1,baseline_3sigma,87989,67198,70239,51987,0.7401443642420877,8887,6594,0.741982671317655,8863,6425,0.724923840685998,0.5962572693824768,5.3444132804870605
s4,2,baseline_3sigma,87639,67139,70131,51971,0.7410560237270252,8724,6490,0.743924805135259,8784,6575,0.7485200364298725,0.5796673893928528,5.2839837074279785
s4,3,baseline_3sigma,88261,67678,70396,52201,0.7415336098641968,8931,6571,0.7357518754898668,8934,6659,0.7453548242668457,0.5890352129936218,5.248560905456543
s4,4,baseline_3sigma,87740,67237,70197,52021,0.7410715557644914,8809,6542,0.742649562946986,8734,6510,0.745362949393176,0.57692950963974,5.297670841217041
s4,5,baseline_3sigma,87312,66651,69868,51724,0.7403102994217667,8735,6419,0.7348597595878649,8709,6364,0.7307383166838902,0.5952336192131042,5.267138481140137
s4,6,baseline_3sigma,87961,67190,70563,52133,0.7388149596814194,8688,6470,0.7447053406998159,8710,6418,0.7368541905855339,0.5842992067337036,5.337672233581543
s4,7,baseline_3sigma,87692,67154,70096,51982,0.7415829719242182,8763,6485,0.7400433641446993,8833,6503,0.7362164609985282,0.5861192345619202,5.477330207824707
s4,8,baseline_3sigma,87198,66697,69618,51586,0.7409865264730385,8824,6508,0.7375339981867634,8756,6494,0.741662859753312,0.5837399363517761,5.322911739349365
s4,9,baseline_3sigma,88095,67357,70499,52287,0.7416700946112711,8798,6426,0.7303932711979996,8798,6444,0.7324391907251648,0.5896155834197998,5.230793476104736
s4,10,baseline_3sigma,88002,67384,70455,52125,0.739833936555248,8731,6470,0.7410376818233879,8816,6534,0.7411524500907442,0.594725489616394,5.339526653289795
s4,11,baseline_3sigma,87762,67130,70106,51882,0.7400507802470545,8871,6615,0.7456881974974636,8785,6480,0.7376209447922595,0.5869272947311401,5.264201641082764
s4,12,baseline_3sigma,88114,67505,70284,51986,0.7396562517784987,8907,6633,0.7446951835634894,8923,6665,0.7469460943628824,0.5891751050949097,5.3107686042785645
s4,13,baseline_3sigma,87849,67308,70277,52060,0.7407829019451598,8826,6572,0.7446181735780648,8746,6516,0.745026297736108,0.5778595805168152,5.346861362457275
s4,14,baseline_3sigma,87731,67071,70117,51804,0.7388222542322119,8839,6562,0.7423916732662066,8775,6486,0.7391452991452991,0.587184727191925,5.3451619148254395
s4,15,baseline_3sigma,87788,67356,70150,52058,0.742095509622238,8835,6543,0.7405772495755518,8803,6463,0.7341815290241963,0.6077665090560913,5.314392566680908
s4,16,baseline_3sigma,88071,67266,70572,52156,0.7390466473955677,8728,6454,0.7394592117323556,8771,6411,0.7309314787367461,0.5872682332992554,5.358488082885742
s4,17,baseline_3sigma,87887,67313,70455,52152,0.740217159889291,8757,6474,0.7392942788626242,8675,6462,0.7448991354466858,0.6040070652961731,5.425952911376953
s4,18,baseline_3sigma,87565,67058,69938,51755,0.7400125825731362,8653,6426,0.7426326129666012,8974,6638,0.7396924448406508,0.594334602355957,5.322898864746094
s4,19,baseline_3sigma,87640,67153,69995,51974,0.7425387527680548,8881,6561,0.738768156739106,8764,6441,0.7349383842994066,0.595728874206543,5.274394512176514
s4,20,baseline_3sigma,88172,67656,70623,52468,0.7429307732608357,8735,6446,0.7379507727532914,8814,6528,0.7406398910823689,0.5863385200500488,5.272263526916504
s4,21,baseline_3sigma,87632,66969,70118,51914,0.740380501440429,8638,6307,0.7301458670988655,8876,6590,0.7424515547543938,0.571195662021637,5.407515525817871
s4,22,baseline_3sigma,87900,67152,70364,52008,0.739127963162981,8654,6395,0.738964640628611,8882,6551,0.7375591083089394,0.5901075601577759,5.472379684448242
s4,23,baseline_3sigma,87842,67128,70448,52207,0.7410714285714286,8656,6385,0.7376386321626618,8738,6404,0.7328908216983291,0.5778329372406006,5.43109130859375
s4,24,baseline_3sigma,87657,66947,70051,51808,0.7395754521705614,8894,6582,0.7400494715538566,8712,6422,0.7371441689623508,0.5774356722831726,5.3837995529174805
s4,25,baseline_3sigma,87974,67241,70394,51996,0.7386424979401653,8786,6461,0.735374459367175,8794,6533,0.7428928815101206,0.5943219065666199,5.272590160369873
s4,26,baseline_3sigma,87841,67430,70212,52128,0.7424371902238933,8851,6539,0.7387865777878205,8778,6552,0.7464114832535885,0.5979189276695251,5.270125865936279
s4,27,baseline_3sigma,87848,67384,70232,52136,0.7423396742225766,8795,6507,0.7398521887436044,8821,6583,0.7462872690171183,0.5965652465820312,5.424502849578857
s4,28,baseline_3sigma,87827,67207,70076,51835,0.7396969005080198,8858,6531,0.7372996161661775,8893,6633,0.7458675362644777,0.5888894200325012,5.383424758911133
s4,29,baseline_3sigma,87751,67152,70354,52065,0.7400432100520227,8589,6406,0.7458376993829317,8808,6531,0.7414850136239782,0.5934345722198486,5.229175090789795
s4,30,baseline_3sigma,87944,67390,70147,51914,0.7400744151567422,8944,6672,0.7459749552772809,8853,6565,0.7415565345080763,0.5988693237304688,5.2733154296875
s4,31,baseline_3sigma,88138,67500,70498,52179,0.7401486566994808,8879,6589,0.7420880729811916,8761,6500,0.7419244378495605,0.5856493711471558,5.236050128936768
s4,32,baseline_3sigma,87999,67514,70407,52189,0.7412473191586064,8777,6560,0.7474079981770536,8815,6536,0.7414634146341463,0.6172426342964172,5.182039737701416
