dataset,run_id,partition,total,accepted,retention,clean_mixing_fraction,posterior_p01,posterior_p50
s2,0,train,70472,58228,0.8262572369167897,0.9280390525226455,1.9804000211438157e-37,0.9995885512021225
s2,0,validation,8823,7226,0.8189958064150515,0.9280390525226455,1.9804000211438157e-37,0.9995885512021225
s2,10,train,70312,58047,0.8255632040050063,0.9268074823765297,2.0963467221162616e-39,0.9994655088185093
s2,10,validation,8709,7223,0.8293719141118383,0.9268074823765297,2.0963467221162616e-39,0.9994655088185093
s2,20,train,70389,58076,0.8250720993337027,0.9247689259845563,1.849626140162962e-38,0.9993627692010463
s2,20,validation,8701,7140,0.8205953338696702,0.9247689259845563,1.849626140162962e-38,0.9993627692010463
s2,30,train,70513,58088,0.8237913576219987,0.9251709228306183,9.854450199178056e-38,0.9993653507781041
s2,30,validation,8994,7383,0.8208805870580387,0.9251709228306183,9.854450199178056e-38,0.9993653507781041
s2,40,train,70595,58352,0.8265741199801686,0.9264566153619268,1.5832490742119731e-38,0.999462085368867
s2,40,validation,8681,7133,0.8216795300080636,0.9264566153619268,1.5832490742119731e-38,0.999462085368867
s2,50,train,70716,58287,0.8242406244697098,0.9277278945553002,2.5553156337385114e-38,0.9994666733774547
s2,50,validation,8851,7312,0.8261213422212179,0.9277278945553002,2.5553156337385114e-38,0.9994666733774547
s2,60,train,70149,57963,0.8262840525167857,0.9267763448973756,2.731308839931144e-37,0.9994542707790104
s2,60,validation,8854,7359,0.8311497628190648,0.9267763448973756,2.731308839931144e-37,0.9994542707790104
s2,70,train,70059,57755,0.8243765968683539,0.926747511013592,1.1975826959347547e-37,0.9994905808508143
s2,70,validation,8732,7251,0.8303939532753092,0.926747511013592,1.1975826959347547e-37,0.9994905808508143
s2,80,train,70078,58178,0.8301892177288165,0.9301098861803132,2.3352765987550407e-37,0.9994587887833053
s2,80,validation,8637,7158,0.8287599861062869,0.9301098861803132,2.3352765987550407e-37,0.9994587887833053
s2,90,train,69966,57658,0.8240859846211017,0.9263895157144969,2.5055509466525284e-36,0.999420022145499
s2,90,validation,8856,7326,0.8272357723577236,0.9263895157144969,2.5055509466525284e-36,0.999420022145499
s2,100,train,70380,58110,0.8256606990622336,0.9290094585284748,3.4788694093929515e-35,0.9995306938778377
s2,100,validation,8533,7045,0.8256181882104769,0.9290094585284748,3.4788694093929515e-35,0.9995306938778377
s2,110,train,70372,58039,0.8247456374694481,0.9260752235827056,2.514607519259844e-38,0.9994104688523952
s2,110,validation,8715,7208,0.8270797475616752,0.9260752235827056,2.514607519259844e-38,0.9994104688523952
s2,120,train,69704,57243,0.8212297716056467,0.9253344346596852,6.101084427555227e-38,0.999418805960185
s2,120,validation,8709,7139,0.8197267194855896,0.9253344346596852,6.101084427555227e-38,0.999418805960185
s2,130,train,70363,58046,0.8249506132484402,0.9268868724032266,3.194550300370369e-39,0.9994877103195937
s2,130,validation,8770,7246,0.8262257696693273,0.9268868724032266,3.194550300370369e-39,0.9994877103195937
s2,140,train,70004,57658,0.8236386492200446,0.9250300177202073,1.527463355965141e-35,0.9993708358116684
s2,140,validation,8867,7324,0.8259839855644525,0.9250300177202073,1.527463355965141e-35,0.9993708358116684
s2,150,train,70058,57811,0.8251877016186588,0.9264313184835148,5.1175333151975704e-39,0.999448007539341
s2,150,validation,8681,7139,0.8223706946204354,0.9264313184835148,5.1175333151975704e-39,0.999448007539341
s2,160,train,70187,58023,0.8266915525667147,0.9274981190017471,5.903093190296854e-40,0.9994692529232737
s2,160,validation,8862,7279,0.821372150756037,0.9274981190017471,5.903093190296854e-40,0.9994692529232737
s2,170,train,70249,58058,0.8264601631339948,0.9272283279339636,5.1983028075228025e-36,0.9993901430490717
s2,170,validation,8819,7269,0.8242431114638848,0.9272283279339636,5.1983028075228025e-36,0.9993901430490717
s2,180,train,70455,58307,0.82757788659428,0.9289118226404309,1.214166573432432e-37,0.9995400785795299
s2,180,validation,8835,7272,0.8230899830220713,0.9289118226404309,1.214166573432432e-37,0.9995400785795299
s2,190,train,70277,58038,0.8258462939510793,0.9288022362416001,9.819348583807444e-38,0.9994981344814347
s2,190,validation,8824,7295,0.8267225747960109,0.9288022362416001,9.819348583807444e-38,0.9994981344814347
s2,200,train,70435,58012,0.8236246184425356,0.9239053780850617,1.5623126415510175e-36,0.9992845303451166
s2,200,validation,8833,7199,0.8150118872410279,0.9239053780850617,1.5623126415510175e-36,0.9992845303451166
s2,210,train,70781,58441,0.8256594283776719,0.927729347452758,4.3479019023424624e-39,0.9994472373009348
s2,210,validation,8911,7385,0.828750981932443,0.927729347452758,4.3479019023424624e-39,0.9994472373009348
s2,220,train,70481,58153,0.8250876122642982,0.9255509596953272,3.6915026196173287e-34,0.9993397767094303
s2,220,validation,8798,7327,0.8328029097522164,0.9255509596953272,3.6915026196173287e-34,0.9993397767094303
s2,230,train,70046,57880,0.8263141364246352,0.9270695728418116,8.513190774771262e-34,0.9994334057362605
s2,230,validation,8638,7155,0.8283167399861079,0.9270695728418116,8.513190774771262e-34,0.9994334057362605
s2,240,train,70191,57868,0.8244361812768018,0.9262755324669898,1.0607043432742255e-38,0.999396180239071
s2,240,validation,8992,7392,0.8220640569395018,0.9262755324669898,1.0607043432742255e-38,0.999396180239071
s2,250,train,70489,58139,0.8247953581409866,0.926456683898877,2.0589563139897236e-37,0.9994388647559803
s2,250,validation,8870,7304,0.8234498308906426,0.926456683898877,2.0589563139897236e-37,0.9994388647559803
s2,260,train,70173,57924,0.8254456842375273,0.9269925965041781,1.2961996581201065e-38,0.9994528083429909
s2,260,validation,8693,7156,0.8231910732773496,0.9269925965041781,1.2961996581201065e-38,0.9994528083429909
s2,270,train,70066,57929,0.8267776096822995,0.9267730724551084,4.939223670562083e-37,0.9994175472510403
s2,270,validation,8757,7269,0.8300787941075711,0.9267730724551084,4.939223670562083e-37,0.9994175472510403
s2,280,train,70175,57896,0.8250231563947275,0.9247547414536629,1.295831617111972e-36,0.999350213907976
s2,280,validation,8812,7344,0.8334089877439855,0.9247547414536629,1.295831617111972e-36,0.999350213907976
s2,290,train,70194,58097,0.8276633330484087,0.9316781296943272,6.021227645546081e-40,0.999705636700619
s2,290,validation,8743,7247,0.8288916847763925,0.9316781296943272,6.021227645546081e-40,0.999705636700619
s2,300,train,70323,58150,0.8268987386772464,0.9271896570229344,8.07230045545694e-39,0.9994620716091093
s2,300,validation,8682,7150,0.8235429624510482,0.9271896570229344,8.07230045545694e-39,0.9994620716091093
s2,310,train,70054,57833,0.8255488623062209,0.9265435879192296,1.901213669278855e-37,0.9994248079153013
s2,310,validation,8681,7068,0.8141919133740353,0.9265435879192296,1.901213669278855e-37,0.9994248079153013
s2,320,train,70116,58166,0.8295681442181527,0.9295066600343688,4.1605177932863526e-35,0.9995263627916645
s2,320,validation,8719,7239,0.830255763275605,0.9295066600343688,4.1605177932863526e-35,0.9995263627916645
s2,330,train,70160,57841,0.8244156214367161,0.9274258653839528,8.739784976164793e-36,0.999470529955395
s2,330,validation,8909,7338,0.8236614659333259,0.9274258653839528,8.739784976164793e-36,0.999470529955395
s2,340,train,70531,58307,0.8266861380102366,0.9263920368487306,8.637848212701e-38,0.9995072036283482
s2,340,validation,8757,7277,0.8309923489779605,0.9263920368487306,8.637848212701e-38,0.9995072036283482
s2,350,train,70209,57957,0.8254924582318506,0.9267543005250934,3.5050232189522777e-37,0.9994493929306408
s2,350,validation,8581,7023,0.8184360797109894,0.9267543005250934,3.5050232189522777e-37,0.9994493929306408
s2,360,train,70550,57963,0.8215875265768958,0.9275371356865496,8.362742404633408e-37,0.999470489566136
s2,360,validation,8787,7205,0.8199613064754752,0.9275371356865496,8.362742404633408e-37,0.999470489566136
s2,370,train,70875,58354,0.823336860670194,0.9248282900311323,1.5686004901175853e-36,0.9993274796358247
s2,370,validation,8769,7235,0.8250655719010149,0.9248282900311323,1.5686004901175853e-36,0.9993274796358247
s2,380,train,70114,57929,0.8262115982542716,0.9270565333316778,5.002441243450852e-37,0.9994617208895946
s2,380,validation,8822,7293,0.8266832917705735,0.9270565333316778,5.002441243450852e-37,0.9994617208895946
s2,390,train,70239,58074,0.8268056208089523,0.9277021083293999,5.067625317487733e-37,0.9995079958771875
s2,390,validation,8785,7263,0.8267501422879909,0.9277021083293999,5.067625317487733e-37,0.9995079958771875
s2,400,train,70516,58216,0.8255715015032049,0.9275589409418461,2.386823334433997e-38,0.9995039558689901
s2,400,validation,8785,7229,0.8228799089356859,0.9275589409418461,2.386823334433997e-38,0.9995039558689901
s2,410,train,70611,58126,0.8231861891206752,0.925674323205559,1.4145672545700392e-36,0.99942861140006
s2,410,validation,8674,7138,0.8229190684805164,0.925674323205559,1.4145672545700392e-36,0.99942861140006
s2,420,train,70246,57932,0.824701762377929,0.9271458864820501,6.094442775592189e-36,0.999435165286803
s2,420,validation,8740,7192,0.822883295194508,0.9271458864820501,6.094442775592189e-36,0.999435165286803
s2,430,train,70250,57947,0.8248683274021352,0.9267167299935205,4.1649791089499313e-35,0.9994577380948249
s2,430,validation,8785,7305,0.8315310187820149,0.9267167299935205,4.1649791089499313e-35,0.9994577380948249
s2,440,train,69950,57764,0.8257898498927806,0.9266679731524652,2.713423497445151e-37,0.9994500496169267
s2,440,validation,8798,7212,0.8197317572175494,0.9266679731524652,2.713423497445151e-37,0.9994500496169267
s2,450,train,70118,57860,0.8251804101657206,0.9254447501960508,2.862577460684926e-38,0.999451146105747
s2,450,validation,8944,7346,0.8213327370304114,0.9254447501960508,2.862577460684926e-38,0.999451146105747
s2,460,train,69943,57797,0.8263443089372775,0.9269430712617459,2.8736367615385286e-36,0.9994540221093668
s2,460,validation,8742,7227,0.8266986959505834,0.9269430712617459,2.8736367615385286e-36,0.9994540221093668
s2,470,train,70259,57825,0.8230262315148237,0.9260429935047464,1.2618742902575444e-38,0.9994226328133762
s2,470,validation,8718,7179,0.8234686854783207,0.9260429935047464,1.2618742902575444e-38,0.9994226328133762
s2,480,train,70144,57969,0.8264284899635036,0.9283740002813531,2.6045939427524763e-35,0.9995165064073117
s2,480,validation,8851,7351,0.8305276239972884,0.9283740002813531,2.6045939427524763e-35,0.9995165064073117
s2,490,train,70693,58283,0.8244522088467033,0.9256430704150285,1.688485142910824e-37,0.9994153119038821
s2,490,validation,8874,7314,0.8242055442866801,0.9256430704150285,1.688485142910824e-37,0.9994153119038821
s2,500,train,70259,57907,0.8241933417782775,0.9252068738572065,1.4244354968793395e-39,0.9994410179728295
s2,500,validation,8813,7277,0.8257120163394984,0.9252068738572065,1.4244354968793395e-39,0.9994410179728295
s2,510,train,70433,58063,0.8243720983061917,0.9267949976907729,8.202759941545164e-40,0.9994552531530861
s2,510,validation,9006,7359,0.8171219187208527,0.9267949976907729,8.202759941545164e-40,0.9994552531530861
s2,520,train,70247,57857,0.823622361097271,0.9267385135112844,1.6315744550038944e-39,0.9994914021918091
s2,520,validation,8824,7231,0.8194696282864914,0.9267385135112844,1.6315744550038944e-39,0.9994914021918091
s2,530,train,70169,58102,0.8280294717040289,0.9270447424476187,2.4787324868626916e-36,0.9994544915392508
s2,530,validation,8878,7355,0.8284523541338139,0.9270447424476187,2.4787324868626916e-36,0.9994544915392508
s2,540,train,70405,58130,0.825651587245224,0.9279505256080518,1.523756760466882e-38,0.9995605999303843
s2,540,validation,8794,7338,0.834432567659768,0.9279505256080518,1.523756760466882e-38,0.9995605999303843
s2,550,train,70595,58179,0.8241235214958567,0.925632028784162,3.6238411193471895e-37,0.9994043675835662
s2,550,validation,8807,7258,0.8241171795162938,0.925632028784162,3.6238411193471895e-37,0.9994043675835662
s2,560,train,70312,57785,0.8218369552850153,0.9232744376910537,1.721966690988262e-38,0.9993464933905049
s2,560,validation,8772,7195,0.8202234382124943,0.9232744376910537,1.721966690988262e-38,0.9993464933905049
s2,570,train,70501,58204,0.8255769421710331,0.924623119125798,9.081663006633238e-37,0.9993647993911152
s2,570,validation,8705,7141,0.8203331418724871,0.924623119125798,9.081663006633238e-37,0.9993647993911152
s2,580,train,70239,57967,0.8252822506015177,0.9259003629746954,8.599972623259133e-35,0.9993653266930635
s2,580,validation,8843,7333,0.8292434694108334,0.9259003629746954,8.599972623259133e-35,0.9993653266930635
s2,590,train,70564,58316,0.8264270732951646,0.9283746313551609,4.875138743120242e-39,0.9995014985665714
s2,590,validation,8466,7043,0.8319158988896763,0.9283746313551609,4.875138743120242e-39,0.9995014985665714
s2,600,train,70413,58113,0.8253163478334966,0.9273562037318941,1.1222624292560934e-37,0.9995266296711631
s2,600,validation,8860,7305,0.8244920993227991,0.9273562037318941,1.1222624292560934e-37,0.9995266296711631
s2,610,train,70375,57964,0.8236447602131439,0.9259443250809022,6.951327508111407e-40,0.9994295581041681
s2,610,validation,8643,7197,0.8326969802152031,0.9259443250809022,6.951327508111407e-40,0.9994295581041681
s2,620,train,69981,57665,0.8240093739729355,0.9245762814514955,4.553570628699621e-38,0.9993158008106631
s2,620,validation,8720,7167,0.8219036697247707,0.9245762814514955,4.553570628699621e-38,0.9993158008106631
s2,630,train,70248,58083,0.8268278100444141,0.9287134492856768,8.13343950402978e-36,0.9994915414010459
s2,630,validation,8852,7288,0.8233167645729779,0.9287134492856768,8.13343950402978e-36,0.9994915414010459
s2,640,train,69859,57544,0.8237163429193088,0.9247155831518606,5.816444321233988e-39,0.9994458419902054
s2,640,validation,8902,7381,0.8291395192091665,0.9247155831518606,5.816444321233988e-39,0.9994458419902054
s2,650,train,70079,57851,0.8255112087786641,0.9258260986860194,1.5747664324079097e-37,0.999409242508541
s2,650,validation,8747,7213,0.8246255859151709,0.9258260986860194,1.5747664324079097e-37,0.999409242508541
s2,660,train,70134,57946,0.8262183819545441,0.9271046091958586,6.999951849815267e-37,0.9994915590827095
