dataset,sigma_decile,count,predicted_rms_sigma_mm,actual_rmse_mm,actual_to_predicted,passed
s2,1,543845,0.3869279929577466,0.0,0.0,False
s2,2,543846,1.599391044085181,2.8571644459880954,1.7864076809448028,False
s2,3,543845,2.1582317063641923,2.328427697274766,1.0788589985072965,True
s2,4,543846,2.6888531028437943,3.039233347732504,1.130308436901272,True
s2,5,543846,2.996230209213111,3.1743582080122494,1.0594507051732582,True
s2,6,543845,3.1351817314858574,3.3922155507379945,1.0819837066128606,True
s2,7,543846,3.2471385435228197,3.5822108249802858,1.1031900169845992,True
s2,8,543845,3.338592947772125,3.5919328743140575,1.0758822445578424,True
s2,9,543845,3.442715881031521,3.717680707617093,1.0798685793679803,True
s2,10,543846,4.125773746902948,5.416701766027285,1.3128935560495494,False
s3,1,468165,0.6092263705140907,0.12652796089329754,0.207686283813565,False
s3,2,468166,1.5804835212233164,2.854944056232789,1.8063738203502573,False
s3,3,468165,2.0748437182846793,2.3231063575703526,1.1196536573322822,True
s3,4,468166,2.5796859968922594,3.036833692890878,1.1772105971615705,True
s3,5,468165,2.983023030052314,3.169794031056447,1.062611317151265,True
s3,6,468166,3.123112766144124,3.3910124211774573,1.0857796932398598,True
s3,7,468164,3.242003207272729,3.598352100077074,1.1099162678201409,True
s3,8,468166,3.3331715768117878,3.618041063206739,1.085464993274493,True
s3,9,468165,3.436371089581256,3.7199588196877453,1.082525350933809,True
s3,10,468166,4.114606171473997,5.547169049809523,1.3481652480539423,False
