dataset,run_id,total,train,validation,test,pairs_mhd_sha256,validation_mask_sha256,test_mask_sha256
s4,0,88113,70673,8854,8586,e35b4cbf0103c5da42df2c940209e9a10cb67681061b25a51cba96bd20be7642,85dea5ffd89fe0e6a2515ebb7d6855aebf8ec8ed0a960c6341a2652de66c2c67,e8d5e98abecf7df9578251ee91c6677a5a6e17bba63c9f82b6ae046282d1dd48
s4,1,87989,70239,8887,8863,bfc647695da6c4b67e5412c56a70e7330aab514507607697e4bd28afd7f1f711,2fa37ac4f455152f50d3f04b6020379ba035636bf46166b5ee4c91f10855222b,2b78068d6c69a3d426a32d5d30c6940f0d26402cec472883df5f7d447e47b102
s4,2,87639,70131,8724,8784,3caca11e5196a3b0ba3abbe1a494d77f1854ff2007f06b3e5f01833ba3b76ef3,becf3389b17deffb3f696149be5511516206ff2b77e9a2d4e7e865d7cf3a5a9d,b85b254a15fc5f26a55c8b12dcb62d668ebe87daa893d1d65440eac0680d8943
s4,3,88261,70396,8931,8934,1e4dfc95fdfb88ff98d8b186c6040cbce04ceb771ded643ae1c6cbb5e02763a0,87c492e093a3d4698c49dad4dd2752a7c9fb97fd4ed5b440b20df01d2cca6a5d,f3fefca0a167289a2af9b91fdae64e2f8e6e1d43f796900888332b2159a6ddd3
s4,4,87740,70197,8809,8734,0884b0d82c16c4459b498947ddb290bbe1bbf085373e892d491465413fd32149,e842d6c29e2476f5b7c70639444136ca0aeec13a5ec9bc8e588c1e5142eab560,d293dc4057800a4bc403dc5e954044cb684bca0d709e86cb61856de57ff0dd11
s4,5,87312,69868,8735,8709,066114a1d48ce108a69171c35014f4296658336783979b81d4af26d56207b85a,7748439fe9d69c31181e821df9a329469a475ab90347344874dca877a151fedb,f8ca069e549a00c713adfa39b78fb5588df6903d97273ac56a8e5ac0397ced06
s4,6,87961,70563,8688,8710,360ac26eb2d598122972eaea9b171a52596564fae586971fa0933a1dfe080c54,2c91dfbefa209f3048400f696c812bce00a9bf112a58375fdc80221d0846f743,ba7c409ee678ad749fbd6dc7ce3149fd31443828101af97e284c06eda40463c9
s4,7,87692,70096,8763,8833,20ead36667505ab556f4f7e6fa42233c11317666509eefb5c97cb3a524aa6017,fdfb66d4fb5ba19ec4608e8a3aa2c525a82399bfd034e005d6345136b1e7cb83,225c9b3c560ddb8d2cddca64ca4ce661004bb53fb889c7983b428f96524b3f30
s4,8,87198,69618,8824,8756,010be9eaf4d6e10c2669e00d4a472d0b5bc3013dc722fc0a8a18e7e8c1a5099c,1920b3afc3aa7e41b0f6b53f3ee8d16174effb3c2780d737666cbb01318a876c,d43357c085f78dfaea99c9a4b66839324820932516f426278d12dcfa715f85e7
s4,9,88095,70499,8798,8798,95500020a8dd70e7c4b0bc501ab1587a94cea6e1dfd904d6c306f1dcc5442ebe,7b25b1e7438bd770adb739dd8243b880c344cde19a63c558a31d0b8a8e6bd23a,2acd56d4c28b160bc740588ae19c2f9947d588f01cd771900282f9fe7e15481e
s4,10,88002,70455,8731,8816,6def7f1a5777be1daee4886ce09361194a4a3c7606e1a9ffa2460d1b3cdd6325,042a3f6811b6f462bf7e67223ffba98bba83d445f6899ed6c51aedded87d61cb,8524e53439abf3d99ec789a6a2016ca833b086d56bb8f419a75d98aef1ed4953
s4,11,87762,70106,8871,8785,99b4521bb42c0f684301ec52813ec3f3fb6c365f18aa680160fbc72b064706b8,63648617f6a571415c1651d46996064662730b77c5b611073e8070a741303f97,0f7ceaa63d8ec8c9bd1e7c1243be4510f016395033aca1d9b583996f0e74f6fb
s4,12,88114,70284,8907,8923,1e208aa69f1a401f3f54b7010e494fc2c65accbaf7c02002c359c474d04251eb,d4da4f6e16bfc7e20594fe18a1df178199bbf989511bb4cfa3863f56f09cb1c4,c7dee047fa508d1fb37ecb9a908f2497ff5d9bd83805e8e78dbea1f6a9e50592
s4,13,87849,70277,8826,8746,518f4c3d5cbac75e76d69f55244e64ca41b197f48c019171953fbd099638e655,b76b0db7f1baf2712154c149dc106b325815d41da70a145773cd9f790048a8e5,99580ff0cf552d6a89dc5f4ddcb70b369aa1eff9e048f1eaa8336dc1a5523d7b
s4,14,87731,70117,8839,8775,cebe8de17d21d4997cd398df4395d0c3a87aba632aa4bbfc7f91fbfff5936d7a,4219e8cf7714d974ba54e47ad8d6c72618f13648276c22ccb76bed1a447449a4,2b250395e8b4aae031c0016a03aeb3b41773d70c43b7bc7e9f8b8598dc72d9d3
s4,15,87788,70150,8835,8803,1bd55c1335964dc0e2e67285d9eb5b3ab56a7454fd4af79a2aa383add687b6e0,d73fe0d8f587e3440f554a001d922cec6a44c487f19cc5f87ba882ad92326002,36c8f1327fbc87a4e1f70d1c16a44a7173c252b03d625784b8c3700a17f77145
s4,16,88071,70572,8728,8771,48bf46e6d22c96ec2018a8d0a9d5c615ecbc50e92c7b793fa4ba59f922b340af,141776484c1295c29c5e1c096a5ecb0bd0df25cf3bebad0f5211b77e75112276,0d1e0ad5a7fac5a997d69db0a65e364b344ad08a042c81a21b0339cf93924bc2
s4,17,87887,70455,8757,8675,0daf1208fa6bec947f2be8eac7981a9c48b8a88194f051c9fb4b1053affaea3a,ad33d96b836fb3dd3386e3362de29d98f661b2b5a590c729ccca66acc713efc9,a9ed82bc9312718531dc4d3ca329dfbdd0ed19c56c240c98204672be7ad62c3b
s4,18,87565,69938,8653,8974,daf4c59dd01de38aa4f02ecf3577a39aae473bdae4962f35463df813c9391104,024a010f82045a5a306087aa54e3137bc76d567b9c35d36af7a0e68f5e1ce3d7,45b8ad290a96971d9fcce14f67a92b2182e30883cd390fa627868cd72b851489
s4,19,87640,69995,8881,8764,c3d5a25dde99b120370dce4d52cc7e64d9a25bf03f812380e66f76a0b26bd7f6,4f98665168778bd8e11373ea0d694188035fcedd0570d693f14a7a1529d2aeb4,f26470c87ebc1f8b9bedaa3a3adc7844f8b9cc36162be1b42176a87f05d2cde1
s4,20,88172,70623,8735,8814,15e3e2351cda0b85b5188e3cac8cc252dbe0b78722d6ad2b13cf4029d8ccc31d,e21c1bf02acf756f3aefbfcd6e999a0ba4d94e43dab1ffcd7f2a9f0074abe9e4,269a48f1e1734e50279768f2fd81d0832a02b5a99ed7ad187a510eb57633712c
s4,21,87632,70118,8638,8876,eaa24f2ab5a3e1393939dd5ad07e6296eab09efdabb1e53031f4cb3aecec658d,48aedb43990662ead991ce65d84956281deca3ad8eef2292d328fd3e8926608a,aa2173529559bf97d07064fe4dfecca338afef15ad5623eec0419c718defcf5a
s4,22,87900,70364,8654,8882,2cc73b3121277b2db50dc735e62ac4b3f26f31c90af9671cfadc18d1575c6609,fa06a112b8de19de3cc9810b9363d7b5be7e584f87a121a678475bb01a1f471d,9c1e94aedbce04130760d1e6d1e1d5661de78cd52c58bd3201353dae348730c5
s4,23,87842,70448,8656,8738,ff00f41fa3cd40aa3667796960b16e9efd86adc7a2d17bf218c1161c203fe52a,136bb3abdd4241a499263994e25b1929fdf7c6ac671e1ae46c2c61735d13b2ee,8affb407b6d883d51a38e0b1ff7a84924b2a5b58bc04f102b6665eef60b0db7a
s4,24,87657,70051,8894,8712,eee6941748b163a50ac6ad9294096cca40c2571b45a2010ea742d75e63faa849,4652d40a3717fedcc568228da72c4f2e79df98319fdcc31221e9d82ee730b338,4bef162a6b308d7fbe785a03131f0101d456b118a94b9bc293f2cca1a2b12461
s4,25,87974,70394,8786,8794,35ae1de2bf72e4775b65f53d3a1fb472015fbad0e6d3c135d5a2d4760c8cc0e1,8c07b2d405801ec33897ac345de2c167a5c56148d64968b5d650f7cfca66e9e5,fc4ce9e1cbd177ed63a3e21488d932b90b60ab028e50b1600c0a76f639ba1821
s4,26,87841,70212,8851,8778,5449e0c6f29a10a5af2888318545b7c6ba7ef20c9850ad3fc52ef7ed1bb5f051,4c3017635a6f810c46df15b93dd10341ac29dc06e214d93ab0d650f63f658231,2dcf059916a8c51eeb39e6e3b2bb6d6b129e0ec136bb90199fde4141ffd2de32
s4,27,87848,70232,8795,8821,4f54a70bf555f5174c098fe3f84019a1098bcddabf1eb93ab24bd73e84e345ea,fbb066f3a17d251d2806aaa18469b488e6d20e929c83e1ae47cde9f729656b04,e7c5c9bd55275e547b2e393556c903d3bbe5056373eb7cbdc742865ee50503f7
s4,28,87827,70076,8858,8893,e5bb404d9b0f3ea048ed6ac019375298d82e14c424c466881b47ebd2f7484a4f,6751d83770910e7d496eed713ae2de09364bbe2d298ffcfbe1cd9252ca34127b,23e466aa10b9c4b86fb9adee64ed3e2dbd3a5a8c164763aef86ab9178be1e2ab
s4,29,87751,70354,8589,8808,606e0b392a8d83c1cb774258a34841aa5bac265830a8811ada445cfd933d88a8,371cce46d678e44190cff020fff82b692726679fa1651155459a1eab589deaba,de50d8e36cbec4fbb0969d17d2d375f072d2e16415e32d4737c66cb5e85fb0cb
s4,30,87944,70147,8944,8853,8a2a78826d40e58f6b66cd75a72eb9c990ac65e49f155dd340cf7f469271dd59,d610b061a8c17ab2387c6cf24de9c562ce1771dddb7471cb4e3b95add6a666e4,8d4e474ad8fce545bd3b7e0ce22c7ff7e8f91a93aad24f31820156b8c441e918
s4,31,88138,70498,8879,8761,468d59718082ef7302352e732e1cdf236d7cf1c8d116d431619ae849ee2f0e23,0febb4ac086af82ec6c5b099d5776994383fb099cba34777196e4c80e37f2dee,20e2f750edeb3a06f605269e1f5f47608bc3007e9f4951198371a957162c32c2
s4,32,87999,70407,8777,8815,6059b5e94c686f108c8e667b29159c826f2457804433c162aa3748baa006eeec,c74586c9fc647a841eb461847755a01d64ff39417fc36e7c77cc56d99115c39f,1dacb382837b52da81c09a497668b2fd41ecc1a18408e39647781b52e5ea71d7
s4,33,87601,69963,8847,8791,bf7cfebecc6696eed0fcd33c23b61ecb923aa1b8fcb9fa50f4c5b9d9bfee1252,4a93949cc9bfaaadde76be43d8d1c641e39bd72d0992cacab5320b0f1bc07322,a678686811b145c3486d541a8fde8b268c98582347a61cf7006d689e12993188
s4,34,87742,70157,8788,8797,0aa180d901b2d989246e16d9ad3e3412f4ae9937dca9d22d07e154273acef449,b48905de5ce87c802f73985a0a733609763e00d5963a0536c4dca46896970f0b,90e78a44b24decd0a2b37e0f586cdb9df54a296b4cd2eb7c8f817113005ba6b5
s4,35,87909,70367,8742,8800,fafb1ad5f564cea0c1a853e54389498e41a914d21f1f57dcc655452d64b97bf5,c3adc70bf51a12b6ae82206f35e6007e988590e1c418cfeaca617471ddd9a91e,a4a437471ab689b1b616e9f7b31ac9e11c358fd314ff84e3641686bf74e9f85b
s4,36,87660,70068,8780,8812,ea1776e667c2947eaa0e136472297d946786b0a0f0094a19d8c1b8c9b565e753,d6327d71660af44ed2906dcfa2badd7725c1f7544747a4c0ec718f6460737d52,1a589e3e4c5d250675613adee66c17a5c7b259becae486f2c36364062cda594d
s4,37,88543,70874,8805,8864,14a6125a53b5f4fb1a110f56b668184d238e91fcc1016784aee106352c9039a5,96f14d97aaab6efc19d31c5a63f2117b5350befab9cb32e07a78e4443458549e,3874750a122d9e0d0c5396a4436deaad551c307affce4ae059712ab606c57ad2
s4,38,87602,70101,8840,8661,a0a18f648b94cd785c683335e345afe9a994e06fba1ac0881e683a09164785be,d6c06b0c0dc2fc9f1d59b4b0639ca8741f939ad5dd26bd714473fc4a722851a7,1b288c8b372dccec9a3de81427b58f509a9787144db01e247f3be8bed07439c3
s4,39,87848,70219,8838,8791,d41ee8a29c4b733b0093befdbcd969584e2201dba6a8dc43a9a0d6776176f983,2ffcf81756a56c15ba8588224e2c2ca34bb938f498eee5ed7d31ec15c0e49843,fb2740d51a729dba4e5abf30fbce5608e119b26d29e3632055c250aaf2abda14
s4,40,87685,70369,8651,8665,3fd195412c1fe789ae046c588e73b5dd5488f2d1ed77608ad2a9a6e0ad500c07,460aa7786418387eca4db199ec0f7e11fdba36bdf3c1928858915874f768ac19,b78b8198a7db84c9260eada084f7dea306d21942a1e23f981436dffb7075c9fa
s4,41,87588,70128,8727,8733,6d452c9c9ae68fc409a7fc74398277c7dce6a9b6b276c7f41e74850c832e7edd,b133d959a4e9b5f56f7023f8024160ea1d84a64f3d2d30f9e1fe56b5c3766f96,c14029ee50e9d307435901a06747518745139ef3febdc15799b28297d83e680a
s4,42,87598,70073,8769,8756,a79c80a6200955de3bc710e447ada4a687567b390c39cf68117dacd782411a1d,f0829585870ab8c203b9654da00ef273770a7f9f77598740618a7ad34a5d6d7e,1d2475b8fee983cdf80a9b933a6a8ebd4c323714f99df8f4aeee726588e56543
s4,43,87632,69874,8793,8965,fb560f348bc431f94cf9e81e57d0ce09f8aa67c7d6948ea709ee064ffb426b80,f37a9301baa17ff722aa6375131ff77eb49c93127dacf8cba3934012038bfe83,f35f3e11f6a232a589c5e08933abed7feab35507aaae97e9601c81eb7687e631
s4,44,88341,70361,9039,8941,fe5ecb2594874a75c175d572257d11bbba151dcd99a337de967a767afefcd787,30a5f199c439c43985fcd6049b2f7c11242814bdbafd4443eaf7a27d9199ef1b,8208730b94f8cf38101cde2617a9594376d9a93e17d0a96f160699c5da38226e
s4,45,88039,70370,8901,8768,640767ee972f01d4b5554ec1de345ab94548843226fbb7862722b2d39cad6583,9494a64d6a6530e383374bfec81b01f50f2d620aab955eb22a1b584d3772b2ae,b84570a48ead9ecdd11d830aadc2530ccb40658ea5cb25a8cb7f1f738e988108
