dataset,run_id,variant,accepted_train,weight_min,weight_median,weight_max,effective_sample_size,effective_fraction
s2,0,equal,60562,1.0,1.0,1.0,60562.0,1.0
s2,0,inverse_variance,60562,0.33759450912475586,1.0,4.0,40182.66472199351,0.6634963297446173
s2,0,robust_confidence,60562,0.8335187435150146,1.0,1.0,60555.42763303011,0.9998914770488112
s2,0,combined,60562,0.3379179835319519,1.0,4.0,40185.102149566614,0.6635365765590076
s2,1,equal,60085,1.0,1.0,1.0,60085.0,1.0
s2,1,inverse_variance,60085,0.3368731439113617,1.0,4.0,39799.36329801823,0.6623843438132351
s2,1,robust_confidence,60085,0.8334914445877075,1.0,1.0,60078.77642920496,0.9998964205576261
s2,1,combined,60085,0.3272958993911743,1.0,4.0,39802.680541670954,0.6624395529944405
s2,2,equal,60210,1.0,1.0,1.0,60210.0,1.0
s2,2,inverse_variance,60210,0.3374723792076111,1.0,4.0,39948.31150468375,0.6634830012403878
s2,2,robust_confidence,60210,0.8335006833076477,1.0,1.0,60204.01271030205,0.9999005598787917
s2,2,combined,60210,0.3291803300380707,1.0,4.0,39949.64028429345,0.6635050703254185
s2,3,equal,60483,1.0,1.0,1.0,60483.0,1.0
s2,3,inverse_variance,60483,0.33816447854042053,1.0,4.0,40051.786112316986,0.6621990660568587
s2,3,robust_confidence,60483,0.833751380443573,1.0,1.0,60476.9265651424,0.9998995844310368
s2,3,combined,60483,0.3249514698982239,1.0,4.0,40053.23002643151,0.6622229391139909
s2,4,equal,60255,1.0,1.0,1.0,60255.0,1.0
s2,4,inverse_variance,60255,0.33772075176239014,1.0,4.0,39978.20008908485,0.6634835298163613
s2,4,robust_confidence,60255,0.8334100246429443,1.0,1.0,60248.82882112658,0.9998975822940268
s2,4,combined,60255,0.2881736755371094,1.0,4.0,39983.249708980555,0.6635673339802598
s2,5,equal,60336,1.0,1.0,1.0,60336.0,1.0
s2,5,inverse_variance,60336,0.3372716009616852,1.0,4.0,39993.81776560193,0.662851660129971
s2,5,robust_confidence,60336,0.8333522081375122,1.0,1.0,60329.87638874316,0.9998985081666528
s2,5,combined,60336,0.31153613328933716,1.0,4.0,39999.603660013614,0.6629475546939408
s2,6,equal,60319,1.0,1.0,1.0,60319.0,1.0
s2,6,inverse_variance,60319,0.3385741412639618,1.0,4.0,39966.24619111742,0.6625813788543812
s2,6,robust_confidence,60319,0.8339484333992004,1.0,1.0,60313.41904277111,0.9999074759656345
s2,6,combined,60319,0.30683425068855286,1.0,4.0,39976.70952783978,0.662754845535234
s2,7,equal,60276,1.0,1.0,1.0,60276.0,1.0
s2,7,inverse_variance,60276,0.33782652020454407,1.0,4.0,39937.28110172619,0.6625735135331838
s2,7,robust_confidence,60276,0.8339468240737915,1.0,1.0,60270.48691049618,0.9999085359097515
s2,7,combined,60276,0.2966288924217224,1.0,4.0,39942.25601836817,0.6626560491467279
s2,8,equal,60397,1.0,1.0,1.0,60397.0,1.0
s2,8,inverse_variance,60397,0.338204026222229,1.0,4.0,40022.18320940701,0.6626518404789479
