partition,material,count,water_rmse_mm,inhomogeneous_rmse_mm,mean_relative_improvement
validation,Air,3499,0.2888417217773286,0.28593669717385733,0.0010014691812476485
validation,Lung,3289,0.3025254524284589,0.30060254845224404,-0.0014620324555837771
validation,Water,22462,0.27381473898512293,0.27273099795654265,6.0869752989660814e-05
validation,A150_Tissue_Plastic,3150,0.3309867833819084,0.3303086495794484,0.0004669205883100631
validation,SpineBone,3157,0.34530213364906637,0.34412443483087984,0.001953305623748886
validation,Aluminium,1540,0.36768100848420365,0.3632149356863872,0.003772086807268637
test,Air,3375,0.3005183138118817,0.2980393766798086,-0.0032473679313068083
test,Lung,3346,0.32171695857180127,0.3184882080743358,-0.00592425342967746
test,Water,22436,0.2862051935904148,0.28519455551458356,-0.0008895197512309514
test,A150_Tissue_Plastic,3188,0.3410885979723407,0.34030451429336,-0.000987003364656183
test,SpineBone,3192,0.36610284729456477,0.36479585508910106,-4.472971007235774e-06
test,Aluminium,1660,0.3798647645277757,0.3765982240279288,0.005642087129510715
