run,incident,paired,accepted,usable,rejected_nonmonotonic,cached
0,5000,4112,3996,2998,0,False
1,5000,4144,4033,3078,0,False
2,5000,4114,4009,3033,0,False
3,5000,4121,4012,3017,0,False
4,5000,4237,4129,3153,0,False
5,5000,4194,4103,3152,0,False
6,5000,4134,4043,3008,0,False
7,5000,4197,4096,3170,0,False
8,5000,4188,4084,3068,0,False
9,5000,4176,4063,3087,0,False
10,5000,4170,4056,3070,0,False
11,5000,4008,3891,2977,0,False
12,5000,4264,4176,3135,0,False
13,5000,4072,3964,2963,0,False
14,5000,4219,4119,3131,0,False
15,5000,4170,4079,3068,0,False
16,5000,4150,4049,3058,0,False
17,5000,4139,4027,2999,0,False
18,5000,4265,4158,3138,0,False
19,5000,4135,4030,3023,0,False
20,5000,4149,4033,3054,0,False
21,5000,4191,4090,3033,0,False
22,5000,4215,4103,3152,0,False
23,5000,4047,3952,3036,0,False
24,5000,4255,4146,3189,0,False
25,5000,4164,4047,3051,0,False
26,5000,4226,4119,3136,0,False
27,5000,4210,4115,3084,0,False
28,5000,4166,4058,3079,0,False
29,5000,4274,4159,3152,0,False
30,5000,4236,4117,3158,0,False
31,5000,4230,4119,3144,0,False
32,5000,4251,4142,3095,0,False
33,5000,4315,4221,3166,0,False
34,5000,4152,4037,3076,0,False
35,5000,4182,4058,3056,0,False
36,5000,4157,4056,3073,0,False
37,5000,4211,4097,3115,0,False
38,5000,4241,4123,3093,0,False
39,5000,4166,4052,3092,0,False
40,5000,4226,4105,3123,0,False
41,5000,4220,4108,3161,0,False
42,5000,4277,4171,3174,1,False
43,5000,4244,4127,3119,1,False
44,5000,4198,4100,3101,0,False
45,5000,4280,4173,3153,0,False
46,5000,4189,4086,3124,0,False
47,5000,4280,4162,3133,0,False
48,5000,4276,4167,3099,0,False
49,5000,4145,4036,3056,0,False
50,5000,4262,4153,3170,0,False
51,5000,4129,4025,3067,0,False
52,5000,4199,4092,3137,0,False
53,5000,4216,4100,3107,0,False
54,5000,4301,4192,3175,0,False
55,5000,4237,4116,3084,1,False
56,5000,4216,4111,3133,1,False
57,5000,4216,4110,3081,0,False
58,5000,4139,4038,3053,0,False
59,5000,4178,4080,3086,0,False
60,5000,4309,4205,3148,0,False
61,5000,4147,4039,3032,1,False
62,5000,4250,4145,3153,0,False
63,5000,4179,4067,3101,0,False
64,5000,4198,4087,3126,0,False
65,5000,4098,3994,3028,0,False
66,5000,4238,4127,3152,0,False
67,5000,4206,4094,3113,0,False
68,5000,4180,4067,3070,0,False
69,5000,4103,4001,3062,0,False
70,5000,4150,4061,3058,0,False
71,5000,4258,4159,3162,0,False
