case_index,case_id,energy_mev,thickness_fraction,water_thickness_mm,split,raw_paired,robust_sample
0,e030_f10,30.0,0.1,1.0,train,99814,50000
1,e030_f30,30.0,0.3,2.5,train,99481,50000
2,e030_f50,30.0,0.5,4.5,train,98924,50000
3,e030_f70,30.0,0.7,6.0,train,98286,50000
4,e040_f10,40.0,0.1,1.5,validation,99742,50000
5,e040_f30,40.0,0.3,4.5,validation,99144,50000
6,e040_f50,40.0,0.5,7.5,validation,98531,50000
7,e040_f70,40.0,0.7,10.5,validation,97575,50000
8,e050_f10,50.0,0.1,2.0,train,99703,50000
9,e050_f30,50.0,0.3,6.5,train,99029,50000
10,e050_f50,50.0,0.5,11.0,train,98225,50000
11,e050_f70,50.0,0.7,15.5,train,97103,50000
12,e060_f10,60.0,0.1,3.0,test,99619,50000
13,e060_f30,60.0,0.3,9.5,test,98710,50000
14,e060_f50,60.0,0.5,15.5,test,97736,50000
15,e060_f70,60.0,0.7,21.5,test,96521,50000
16,e070_f10,70.0,0.1,4.0,train,99544,50000
17,e070_f30,70.0,0.3,12.5,train,98353,50000
18,e070_f50,70.0,0.5,20.5,train,97206,50000
19,e070_f70,70.0,0.7,28.5,train,95734,50000
20,e080_f10,80.0,0.1,5.0,validation,99451,50000
21,e080_f30,80.0,0.3,15.5,validation,98192,50000
22,e080_f50,80.0,0.5,26.0,validation,96750,50000
23,e080_f70,80.0,0.7,36.5,validation,95007,50000
24,e090_f10,90.0,0.1,6.5,train,99307,50000
25,e090_f30,90.0,0.3,19.5,train,97776,50000
26,e090_f50,90.0,0.5,32.0,train,96216,50000
27,e090_f70,90.0,0.7,45.0,train,94152,50000
28,e100_f10,100.0,0.1,8.0,test,99162,50000
29,e100_f30,100.0,0.3,23.5,test,97477,50000
30,e100_f50,100.0,0.5,39.0,test,95444,50000
31,e100_f70,100.0,0.7,54.5,test,93342,50000
32,e110_f10,110.0,0.1,9.0,train,99150,50000
33,e110_f30,110.0,0.3,27.5,train,97140,50000
34,e110_f50,110.0,0.5,46.0,train,94930,50000
35,e110_f70,110.0,0.7,64.5,train,92267,50000
36,e120_f10,120.0,0.1,10.5,validation,99009,50000
37,e120_f30,120.0,0.3,32.0,validation,96770,50000
38,e120_f50,120.0,0.5,53.5,validation,94251,50000
39,e120_f70,120.0,0.7,75.0,validation,91198,50000
40,e130_f10,130.0,0.1,12.5,train,98715,50000
41,e130_f30,130.0,0.3,37.0,train,96233,50000
42,e130_f50,130.0,0.5,61.5,train,93484,50000
43,e130_f70,130.0,0.7,86.5,train,90118,50000
44,e140_f10,140.0,0.1,14.0,test,98603,50000
45,e140_f30,140.0,0.3,42.0,test,95759,50000
46,e140_f50,140.0,0.5,70.0,test,92629,50000
47,e140_f70,140.0,0.7,98.5,test,88713,50000
48,e150_f10,150.0,0.1,16.0,train,98451,50000
49,e150_f30,150.0,0.3,47.5,train,95218,50000
50,e150_f50,150.0,0.5,79.0,train,91797,50000
51,e150_f70,150.0,0.7,111.0,train,87278,50000
52,e160_f10,160.0,0.1,17.5,validation,98217,50000
53,e160_f30,160.0,0.3,53.0,validation,94776,50000
54,e160_f50,160.0,0.5,88.5,validation,90786,50000
55,e160_f70,160.0,0.7,124.0,validation,86134,50000
56,e170_f10,170.0,0.1,19.5,train,98099,50000
57,e170_f30,170.0,0.3,59.0,train,94066,50000
58,e170_f50,170.0,0.5,98.5,train,89743,50000
59,e170_f70,170.0,0.7,138.0,train,84845,50000
60,e180_f10,180.0,0.1,22.0,test,97800,50000
61,e180_f30,180.0,0.3,65.5,test,93444,50000
62,e180_f50,180.0,0.5,109.0,test,88828,50000
63,e180_f70,180.0,0.7,152.5,test,83325,50000
64,e190_f10,190.0,0.1,24.0,train,97711,50000
65,e190_f30,190.0,0.3,71.5,train,92880,50000
66,e190_f50,190.0,0.5,119.5,train,87828,50000
67,e190_f70,190.0,0.7,167.0,train,81867,50000
68,e200_f10,200.0,0.1,26.0,validation,97459,50000
69,e200_f30,200.0,0.3,78.0,validation,92260,50000
70,e200_f50,200.0,0.5,130.5,validation,86448,50000
71,e200_f70,200.0,0.7,182.5,validation,80230,50000
72,e210_f10,210.0,0.1,28.5,train,97261,50000
73,e210_f30,210.0,0.3,85.0,train,91357,50000
74,e210_f50,210.0,0.5,141.5,train,85737,50000
75,e210_f70,210.0,0.7,198.5,train,78856,50000
76,e220_f10,220.0,0.1,30.5,test,97118,50000
77,e220_f30,220.0,0.3,92.0,test,90792,50000
78,e220_f50,220.0,0.5,153.5,test,84385,50000
79,e220_f70,220.0,0.7,215.0,test,77085,50000
80,e230_f10,230.0,0.1,33.0,train,97015,50000
81,e230_f30,230.0,0.3,99.5,train,90357,50000
82,e230_f50,230.0,0.5,165.5,train,82977,50000
83,e230_f70,230.0,0.7,231.5,train,75806,50000
