case_index,case_id,energy_mev,thickness_fraction,water_thickness_mm,split,predicted_wepl_mean_mm,predicted_wepl_std_mm,bias_mm,relative_bias,absolute_relative_bias,samples
0,e030_f10,30.0,0.1,1.0,train,1.0011225589746382,0.0469359495368085,0.0011225589746381992,0.0011225589746381992,0.0011225589746381992,50000
1,e030_f30,30.0,0.3,2.5,train,2.4914689410879807,0.0714652130374087,-0.00853105891201933,-0.0034124235648077318,0.0034124235648077318,50000
2,e030_f50,30.0,0.5,4.5,train,4.486306534603979,0.09148318379585182,-0.013693465396021232,-0.0030429923102269405,0.0030429923102269405,50000
3,e030_f70,30.0,0.7,6.0,train,6.028283781849095,0.1042526542387457,0.028283781849094858,0.00471396364151581,0.00471396364151581,50000
8,e050_f10,50.0,0.1,2.0,train,1.9997669734360628,0.10451528592033152,-0.00023302656393719978,-0.00011651328196859989,0.00011651328196859989,50000
9,e050_f30,50.0,0.3,6.5,train,6.498010737894152,0.1802447883953725,-0.001989262105848155,-0.0003060403239766393,0.0003060403239766393,50000
10,e050_f50,50.0,0.5,11.0,train,11.001277372840656,0.2220086819616646,0.0012773728406560991,0.00011612480369600901,0.00011612480369600901,50000
11,e050_f70,50.0,0.7,15.5,train,15.506259235029747,0.24709971763505528,0.00625923502974679,0.0004038216148223736,0.0004038216148223736,50000
16,e070_f10,70.0,0.1,4.0,train,3.9980464289343463,0.18903295225344546,-0.0019535710656537475,-0.0004883927664134369,0.0004883927664134369,50000
17,e070_f30,70.0,0.3,12.5,train,12.494868186311122,0.32314590079552563,-0.005131813688878495,-0.0004105450951102796,0.0004105450951102796,50000
18,e070_f50,70.0,0.5,20.5,train,20.500304992697725,0.39678321153561974,0.0003049926977247708,1.4877692571940037e-05,1.4877692571940037e-05,50000
19,e070_f70,70.0,0.7,28.5,train,28.51360979742313,0.44598596304477195,0.013609797423129066,0.00047753675168873917,0.00047753675168873917,50000
24,e090_f10,90.0,0.1,6.5,train,6.493930973063327,0.29871497606490616,-0.006069026936673438,-0.0009336964517959136,0.0009336964517959136,50000
25,e090_f30,90.0,0.3,19.5,train,19.496019465306095,0.4993997977511324,-0.003980534693905469,-0.00020412998430284455,0.00020412998430284455,50000
26,e090_f50,90.0,0.5,32.0,train,32.005657652974946,0.6161758326823711,0.005657652974946359,0.00017680165546707372,0.00017680165546707372,50000
27,e090_f70,90.0,0.7,45.0,train,45.029060807384354,0.6952808631730382,0.029060807384354348,0.0006457957196523189,0.0006457957196523189,50000
32,e110_f10,110.0,0.1,9.0,train,8.993312274621841,0.41817704609799733,-0.00668772537815876,-0.0007430805975731955,0.0007430805975731955,50000
33,e110_f30,110.0,0.3,27.5,train,27.49564945090589,0.7047902555342243,-0.004350549094109368,-0.00015820178524034067,0.00015820178524034067,50000
34,e110_f50,110.0,0.5,46.0,train,46.00704255094557,0.8715029644642608,0.0070425509455702695,0.00015309893359935367,0.00015309893359935367,50000
35,e110_f70,110.0,0.7,64.5,train,64.54715174052986,0.9819762346242286,0.0471517405298556,0.0007310347368969861,0.0007310347368969861,50000
40,e130_f10,130.0,0.1,12.5,train,12.48972561456163,0.5597415270233629,-0.010274385438370004,-0.0008219508350696003,0.0008219508350696003,50000
41,e130_f30,130.0,0.3,37.0,train,36.99145179973679,0.9344100654272186,-0.008548200263213346,-0.00023103243954630665,0.00023103243954630665,50000
42,e130_f50,130.0,0.5,61.5,train,61.51101305635007,1.1608279944352435,0.011013056350073214,0.0001790740869930604,0.0001790740869930604,50000
43,e130_f70,130.0,0.7,86.5,train,86.5624888239999,1.3020014163995504,0.06248882399989952,0.0007224141502878557,0.0007224141502878557,50000
48,e150_f10,150.0,0.1,16.0,train,15.985804321654893,0.7053856974845347,-0.014195678345107154,-0.0008872298965691972,0.0008872298965691972,50000
49,e150_f30,150.0,0.3,47.5,train,47.50281795596364,1.1752420761218922,0.00281795596364276,5.932538870826863e-05,5.932538870826863e-05,50000
50,e150_f50,150.0,0.5,79.0,train,79.01603217237141,1.4492512388443912,0.016032172371410525,0.00020293889077734842,0.00020293889077734842,50000
51,e150_f70,150.0,0.7,111.0,train,111.07173879946646,1.628980170055553,0.07173879946645911,0.0006462954906888208,0.0006462954906888208,50000
56,e170_f10,170.0,0.1,19.5,train,19.488858557701878,0.8642561026637383,-0.011141442298121973,-0.0005713560152883063,0.0005713560152883063,50000
57,e170_f30,170.0,0.3,59.0,train,59.009098141770956,1.4511157642491463,0.009098141770955692,0.0001542057927280626,0.0001542057927280626,50000
58,e170_f50,170.0,0.5,98.5,train,98.53670015424046,1.7807937041161568,0.03670015424046369,0.000372590398380342,0.000372590398380342,50000
59,e170_f70,170.0,0.7,138.0,train,138.05860700498562,1.987356038714724,0.05860700498561755,0.00042468844192476485,0.00042468844192476485,50000
64,e190_f10,190.0,0.1,24.0,train,23.99213282289218,1.0470889425811511,-0.007867177107819145,-0.0003277990461591311,0.0003277990461591311,50000
65,e190_f30,190.0,0.3,71.5,train,71.48868019550311,1.7442741369708006,-0.011319804496892516,-0.00015831894401248275,0.00015831894401248275,50000
66,e190_f50,190.0,0.5,119.5,train,119.53326253021305,2.127203026629644,0.03326253021305092,0.00027834753316360606,0.00027834753316360606,50000
67,e190_f70,190.0,0.7,167.0,train,167.06291797067203,2.372170671384063,0.0629179706720322,0.0003767543154013904,0.0003767543154013904,50000
72,e210_f10,210.0,0.1,28.5,train,28.490369879340864,1.2291937975866805,-0.0096301206591356,-0.0003378989704959859,0.0003378989704959859,50000
73,e210_f30,210.0,0.3,85.0,train,84.9986768289533,2.048431461240188,-0.0013231710467067614,-1.5566718196550133e-05,1.5566718196550133e-05,50000
74,e210_f50,210.0,0.5,141.5,train,141.52792010909164,2.4982294534512044,0.02792010909163878,0.00019731525859815392,0.00019731525859815392,50000
75,e210_f70,210.0,0.7,198.5,train,198.5695967750841,2.768142786627542,0.06959677508410778,0.0003506134764942457,0.0003506134764942457,50000
80,e230_f10,230.0,0.1,33.0,train,32.99488185169925,1.4125120242804015,-0.005118148300752523,-0.00015509540305310676,0.00015509540305310676,50000
81,e230_f30,230.0,0.3,99.5,train,99.51582442260184,2.365934316947121,0.01582442260183825,0.00015903942313405276,0.00015903942313405276,50000
82,e230_f50,230.0,0.5,165.5,train,165.5445076553617,2.8871616792398913,0.04450765536171275,0.0002689284311885967,0.0002689284311885967,50000
83,e230_f70,230.0,0.7,231.5,train,231.57460420415973,3.1915176140335397,0.07460420415972635,0.0003222643808195523,0.0003222643808195523,50000
