epoch,subset,relaxation,pairs,measurements,residual_rmse_mm,update_l2,update_max_abs,image_min,image_max,elapsed_seconds
1,0,0.25,10538480,9077252,2.595899425933673,1.8884938955307007,0.5412040948867798,0.0,2.122894048690796,172.6844846640015
1,1,0.25,10539813,9076809,2.583528638075224,1.4890269041061401,0.10952705144882202,0.0,2.1232407093048096,172.00592577000134
1,2,0.25,10541912,9078225,2.573834663186162,1.323816180229187,0.10190731287002563,0.0,2.123394727706909,171.96807547500066
1,3,0.25,10545392,9081964,2.568430287074808,1.213231086730957,0.18785156309604645,0.0,2.123467445373535,171.9957315339998
1,4,0.25,10541952,9078499,2.564613029066037,1.1028212308883667,0.14255350828170776,0.0,2.123497486114502,171.9752519829999
1,5,0.25,10540387,9078724,2.563603827968702,1.057035207748413,0.21178676187992096,0.0,2.123429775238037,172.01578693800184
1,6,0.25,10540422,9076812,2.561662629550706,1.042137861251831,0.2286483496427536,0.0,2.1234164237976074,172.08345844799987
1,7,0.25,10535319,9072907,2.560341793365247,0.9203796982765198,0.07372155040502548,0.0,2.123370885848999,171.9576575889987
1,8,0.25,10544721,9081620,2.5587036573043838,0.9920793175697327,0.2608445882797241,0.0,2.1233327388763428,172.07470467999883
1,9,0.25,10550115,9088515,2.5568710830758867,0.8930693864822388,0.16103321313858032,0.0,2.1232807636260986,172.10729800199988
1,10,0.25,10540139,9078020,2.5563766353036668,0.8752988576889038,0.19892024993896484,0.0,2.1233627796173096,172.29671382699962
1,11,0.25,10540335,9079704,2.5551135727788084,0.7996836304664612,0.09302540868520737,0.0,2.1233153343200684,171.8721578830009
1,12,0.25,10539794,9077699,2.554752497685683,0.9117255210876465,0.36888331174850464,0.0,2.1232528686523438,172.03076188499836
1,13,0.25,10544345,9081542,2.5525415765867714,0.8065391182899475,0.15656492114067078,0.0,2.123147964477539,171.9359677249995
1,14,0.25,10536783,9073053,2.5531678296384483,0.8050457239151001,0.2570931911468506,0.0,2.1230645179748535,171.97355153100216
1,15,0.25,10542060,9080154,2.5524724985717984,0.7212066650390625,0.12575720250606537,0.0,2.122995376586914,171.90226429099857
1,16,0.25,10551875,9089231,2.5521380672516676,0.9468055963516235,0.3343594968318939,0.0,2.122990846633911,172.008921998
1,17,0.25,10540331,9077609,2.5523739279695192,0.7473825216293335,0.14957761764526367,0.0,2.1228909492492676,171.86860468099985
2,0,0.20833333333333334,10538480,9077252,2.550940749283889,0.8427108526229858,0.44030967354774475,0.0,2.107903242111206,171.94206383900018
2,1,0.20833333333333334,10539813,9076809,2.5519318891902167,0.5525820851325989,0.08396531641483307,0.0,2.108208179473877,171.86597451000125
2,2,0.20833333333333334,10541912,9078225,2.5506036530554503,0.556929349899292,0.07966987788677216,0.0,2.1084306240081787,171.989516853002
2,3,0.20833333333333334,10545392,9081964,2.550164951812149,0.5586972236633301,0.1497681885957718,0.0,2.108630657196045,171.89315626499956
2,4,0.20833333333333334,10541952,9078499,2.549576200624591,0.5299058556556702,0.13355576992034912,0.0,2.108705997467041,171.95589781200033
2,5,0.20833333333333334,10540387,9078724,2.5508087583849544,0.5474681854248047,0.16374719142913818,0.0,2.108851671218872,171.88088329899983
2,6,0.20833333333333334,10540422,9076812,2.5504345161907223,0.5813930034637451,0.18164698779582977,0.0,2.1089460849761963,171.9972899280001
2,7,0.20833333333333334,10535319,9072907,2.5503683674711053,0.48036423325538635,0.05879110097885132,0.0,2.109044075012207,171.88045795499784
2,8,0.20833333333333334,10544721,9081620,2.5497880018216432,0.603086531162262,0.21305686235427856,0.0,2.1091511249542236,171.8956218869971
2,9,0.20833333333333334,10550115,9088515,2.5488033333474642,0.5225508809089661,0.12475594133138657,0.0,2.1093504428863525,171.92826458900163
2,10,0.20833333333333334,10540139,9078020,2.5489504312684668,0.5205292105674744,0.1566251516342163,0.0,2.1094794273376465,171.85054654600026
2,11,0.20833333333333334,10540335,9079704,2.5483814958147137,0.4636963903903961,0.07008111476898193,0.0,2.1095030307769775,171.93338425600086
2,12,0.20833333333333334,10539794,9077699,2.548472460708337,0.5926302075386047,0.29842066764831543,0.0,2.10949444770813,171.80686943600085
2,13,0.20833333333333334,10544345,9081542,2.546737802075685,0.5007278323173523,0.12036080658435822,0.0,2.1095478534698486,171.94434827700024
2,14,0.20833333333333334,10536783,9073053,2.547779176155734,0.5191373825073242,0.21000036597251892,0.0,2.1095526218414307,171.85283159900064
2,15,0.20833333333333334,10542060,9080154,2.5475797698168177,0.45155516266822815,0.10178153961896896,0.0,2.109614372253418,172.00237925499823
2,16,0.20833333333333334,10551875,9089231,2.5474747900284873,0.6712138056755066,0.2687320411205292,0.0,2.109606981277466,171.938599213001
2,17,0.20833333333333334,10540331,9077609,2.5481055001222805,0.5003230571746826,0.1312597543001175,0.0,2.1096088886260986,172.03746607799985
3,0,0.17857142857142858,10538480,9077252,2.5472602882423225,0.6489537954330444,0.37174516916275024,0.0,2.103986978530884,172.17341087800014
3,1,0.17857142857142858,10539813,9076809,2.5485074529024945,0.3725552260875702,0.06901458650827408,0.0,2.104088544845581,172.247450234001
3,2,0.17857142857142858,10541912,9078225,2.5473938001449556,0.3841210603713989,0.07396595180034637,0.0,2.1041431427001953,171.84720971500064
3,3,0.17857142857142858,10545392,9081964,2.5470910934322983,0.3879331350326538,0.1250382661819458,0.0,2.1041879653930664,171.61976343800052
3,4,0.17857142857142858,10541952,9078499,2.5466629507241954,0.3682296872138977,0.12266016006469727,0.0,2.1041314601898193,171.52998991900313
3,5,0.17857142857142858,10540387,9078724,2.548059155496615,0.3888629972934723,0.1336578130722046,0.0,2.10414457321167,171.6689220900007
3,6,0.17857142857142858,10540422,9076812,2.5478531524454033,0.42535874247550964,0.15100765228271484,0.0,2.1041219234466553,171.57212483900003
3,7,0.17857142857142858,10535319,9072907,2.547918497446915,0.3290255665779114,0.049090709537267685,0.0,2.1041462421417236,171.63929738300067
3,8,0.17857142857142858,10544721,9081620,2.5474716862942475,0.45477065443992615,0.18030668795108795,0.0,2.1041107177734375,171.5084338259985
3,9,0.17857142857142858,10550115,9088515,2.5465915325549786,0.3820144236087799,0.1015898585319519,0.0,2.1041934490203857,171.60125486500328
3,10,0.17857142857142858,10540139,9078020,2.546818331575568,0.3794494867324829,0.12876078486442566,0.0,2.1042287349700928,171.51475310000023
3,11,0.17857142857142858,10540335,9079704,2.546354818658554,0.32928261160850525,0.05625041574239731,0.0,2.104207992553711,171.61352803099726
3,12,0.17857142857142858,10539794,9077699,2.5465108898913105,0.45134493708610535,0.2504896819591522,0.0,2.1041853427886963,171.57618676399943
3,13,0.17857142857142858,10544345,9081542,2.5448454360047332,0.3676055669784546,0.09709157049655914,0.0,2.1042323112487793,171.52733790899947
3,14,0.17857142857142858,10536783,9073053,2.5459533136911228,0.39090850949287415,0.17738552391529083,0.0,2.1042556762695312,171.51546592799787
3,15,0.17857142857142858,10542060,9080154,2.545886231770971,0.3321666717529297,0.0853780135512352,0.0,2.1041884422302246,171.5363598039985
3,16,0.17857142857142858,10551875,9089231,2.54579869266815,0.5303003191947937,0.22425052523612976,0.0,2.104177951812744,171.6392613809985
3,17,0.17857142857142858,10540331,9077609,2.546547678855481,0.3832242786884308,0.11752371490001678,0.0,2.104177713394165,171.47721762100264
4,0,0.15625,10538480,9077252,2.545833282604893,0.5400506854057312,0.32157060503959656,0.0,2.1008989810943604,171.6055940820006
4,1,0.15625,10539813,9076809,2.5471608543001314,0.2851124107837677,0.05858843773603439,0.0,2.100879669189453,171.42719487900104
4,2,0.15625,10541912,9078225,2.54610012635016,0.2980985641479492,0.06795293837785721,0.0,2.1008529663085938,171.50048111200158
4,3,0.15625,10545392,9081964,2.545821731209751,0.30060991644859314,0.1073218435049057,0.0,2.1008503437042236,171.48601907800185
4,4,0.15625,10541952,9078499,2.545440044239796,0.2862257957458496,0.11272577196359634,0.0,2.100802183151245,171.5209364129987
4,5,0.15625,10540387,9078724,2.5468861368798263,0.3057449162006378,0.11276991665363312,0.0,2.1008644104003906,171.4408039230002
4,6,0.15625,10540422,9076812,2.5467414986240167,0.34073567390441895,0.12914420664310455,0.0,2.1008241176605225,171.489463463
4,7,0.15625,10535319,9072907,2.5468477097214435,0.25008055567741394,0.04212447628378868,0.0,2.100827932357788,171.39832897700035
4,8,0.15625,10544721,9081620,2.5464408777018495,0.37045401334762573,0.15625092387199402,0.0,2.100707530975342,171.46494599400103
4,9,0.15625,10550115,9088515,2.545588911539459,0.30481675267219543,0.08916627615690231,0.0,2.100767135620117,171.48589079500016
4,10,0.15625,10540139,9078020,2.5458367925467713,0.30060014128685,0.10890036821365356,0.0,2.100820779800415,171.4810657300004
4,11,0.15625,10540335,9079704,2.545403162656103,0.2554186284542084,0.0469055101275444,0.0,2.1007585525512695,171.40103532500143
4,12,0.15625,10539794,9077699,2.5455807601466667,0.36750710010528564,0.2155972421169281,0.0,2.1007344722747803,171.4781750459988
4,13,0.15625,10544345,9081542,2.543933006151108,0.29102006554603577,0.08082982897758484,0.0,2.1007730960845947,171.43958223700247
4,14,0.15625,10536783,9073053,2.5450579019249435,0.3157002627849579,0.153401717543602,0.0,2.1007838249206543,171.72271021900087
4,15,0.15625,10542060,9080154,2.5450553519486485,0.26376909017562866,0.07340587675571442,0.0,2.100755214691162,171.46201644900066
4,16,0.15625,10551875,9089231,2.544962752543717,0.44079911708831787,0.19205249845981598,0.0,2.100724458694458,171.49861787400005
4,17,0.15625,10540331,9077609,2.545775078443419,0.3130846917629242,0.10615027695894241,0.0,2.1006810665130615,171.50313691599877
5,0,0.1388888888888889,10538480,9077252,2.5450848424093824,0.4660824239253998,0.28319546580314636,0.0,2.0982909202575684,171.62890518199856
5,1,0.1388888888888889,10539813,9076809,2.546455127970573,0.23259186744689941,0.05085374414920807,0.0,2.098266124725342,171.4991502619996
5,2,0.1388888888888889,10541912,9078225,2.545412959806982,0.24554435908794403,0.06246114894747734,0.0,2.0982391834259033,171.45035167899914
5,3,0.1388888888888889,10545392,9081964,2.545136935937442,0.24648508429527283,0.09393925964832306,0.0,2.098207473754883,171.6172194699975
5,4,0.1388888888888889,10541952,9078499,2.544775810660256,0.23597437143325806,0.10411122441291809,0.0,2.098137378692627,171.4710658019976
5,5,0.1388888888888889,10540387,9078724,2.5462467364359163,0.25359246134757996,0.09736967086791992,0.0,2.098175525665283,171.5329226069989
5,6,0.1388888888888889,10540422,9076812,2.546134351713013,0.286271333694458,0.11268725991249084,0.0,2.0981192588806152,171.51615794399913
5,7,0.1388888888888889,10535319,9072907,2.5462599698846233,0.20154237747192383,0.03685324266552925,0.0,2.0981216430664062,171.57125687299776
5,8,0.1388888888888889,10544721,9081620,2.545867609359303,0.314486563205719,0.13778892159461975,0.0,2.098051071166992,171.49790059400038
5,9,0.1388888888888889,10550115,9088515,2.5450271007966436,0.2552395164966583,0.08238691091537476,0.0,2.09808087348938,171.6031986529997
5,10,0.1388888888888889,10540139,9078020,2.5452820656235144,0.24955879151821136,0.0940111055970192,0.0,2.098123073577881,171.45119962100216
5,11,0.1388888888888889,10540335,9079704,2.544857406686738,0.20857270061969757,0.04014529660344124,0.0,2.098062515258789,171.5369675209986
5,12,0.1388888888888889,10539794,9077699,2.5450437217728537,0.3109164535999298,0.18901358544826508,0.0,2.0980422496795654,171.42711987700022
5,13,0.1388888888888889,10544345,9081542,2.5434025323903007,0.24083414673805237,0.06883246451616287,0.0,2.0980563163757324,171.5091336120022
5,14,0.1388888888888889,10536783,9073053,2.544529982494725,0.2655985951423645,0.13500960171222687,0.0,2.0980489253997803,171.36983396099822
5,15,0.1388888888888889,10542060,9080154,2.544567446637685,0.2192486822605133,0.06428110599517822,0.0,2.098060131072998,171.49125969599845
5,16,0.1388888888888889,10551875,9089231,2.5444657256665066,0.3778461813926697,0.1676209419965744,0.0,2.0980327129364014,171.42721419200097
5,17,0.1388888888888889,10540331,9077609,2.545319708977364,0.2658020853996277,0.0967186838388443,0.0,2.097992420196533,171.57725348099848
