model,decile,count,predicted_sigma_rms_mm,actual_rmse_mm,ratio,passed
analytic,1,434450,0.8494038013606214,0.8587369918823242,1.0109879311897974,True
analytic,2,434451,0.9953216875082727,0.9896430969238281,0.9942947183250266,True
analytic,3,434451,1.1205345045680253,1.1192257404327393,0.9988320179968125,True
analytic,4,434451,1.2865902291944802,1.2888239622116089,1.0017361650713974,True
analytic,5,434451,1.510103480703978,1.5098419189453125,0.999826792162254,True
analytic,6,434450,1.7927648456649101,1.7945836782455444,1.0010145405210462,True
analytic,7,434451,2.1480616230210687,2.149064540863037,1.000466894353132,True
analytic,8,434451,2.6032851282196883,2.6065502166748047,1.0012542185332383,True
analytic,9,434451,3.2642236435078282,3.2510294914245605,0.9959579509481499,True
analytic,10,434451,4.248360972519381,4.173276901245117,0.9823263437923596,True
empirical,1,434450,0.8549032320494891,0.858737051486969,1.0044845068935917,True
empirical,2,434451,0.9906521872776118,0.9896430969238281,0.998981387850607,True
empirical,3,434451,1.1145683452065687,1.1192257404327393,1.0041786537776716,True
empirical,4,434451,1.2870058378753961,1.2888236045837402,1.0014123997380966,True
empirical,5,434451,1.5017035844130369,1.5098421573638916,1.0054195601817357,True
empirical,6,434450,1.7894281645973955,1.7945836782455444,1.0028810956204597,True
empirical,7,434451,2.1452891577442337,2.149064540863037,1.0017598481329077,True
empirical,8,434451,2.4860743931073204,2.254504680633545,0.9068532650849845,True
empirical,9,434451,2.845730714436819,3.0900990962982178,1.0858719275937394,True
empirical,10,434451,3.9429497469537202,4.488656044006348,1.1384005204413863,True
