run_id,condition,noise_seed,common_events,physical,accepted,train,validation,test,screen,noise_wepl_rmse_mm,reference_wepl_rmse_mm,filter_distance_p99
0,combined_0p2mm_1pct,20260713,356377,314409,241276,193147,24122,24007,24179,2.2271951531545935,2.2272079610348468,4.095891908846224
0,combined_0p2mm_1pct,20260714,356377,314314,241367,193243,24059,24065,24328,2.2275541681613498,2.227539218783862,4.091016037213135
0,combined_0p2mm_1pct,20260715,356377,314392,241379,193267,24016,24096,24210,2.215648851618095,2.215662914733878,4.093028958353126
0,continuous,20260713,356377,356377,264395,211757,26350,26288,26557,0.0,0.0,4.353615353229509
0,energy_1pct,20260713,356377,314409,246932,197764,24641,24527,24799,2.225145240833541,2.225145240833541,4.412233601418706
0,position_0p2mm,20260713,356377,356377,258530,206994,25777,25759,25916,0.0,0.003917837189064481,3.937398005094832
1,combined_0p2mm_1pct,20260713,355301,313472,240541,192452,24010,24079,24103,2.2186928960969423,2.2187109156315796,4.1239620024468335
1,combined_0p2mm_1pct,20260714,355301,313231,240767,192597,24048,24122,24121,2.227750109606307,2.2277774991716197,4.112624297595791
1,combined_0p2mm_1pct,20260715,355301,313465,240748,192339,24195,24214,24112,2.2384947293260704,2.2385633561280205,4.102847280603055
1,continuous,20260713,355301,355301,264149,211197,26433,26519,26477,0.0,0.0,4.3476248907725
1,energy_1pct,20260713,355301,313472,246364,197083,24561,24720,24711,2.2181236489026896,2.2181236489026896,4.410302420651782
1,position_0p2mm,20260713,355301,355301,257931,206234,25842,25855,25844,0.0,0.003957633509758224,3.9804729054650654
2,combined_0p2mm_1pct,20260713,355556,314031,241007,192762,24257,23988,23993,2.21985163641622,2.219884042892154,4.129963002993632
2,combined_0p2mm_1pct,20260714,355556,313501,241030,192846,24195,23989,24069,2.219524910206278,2.2195200129704302,4.1290412971840915
2,combined_0p2mm_1pct,20260715,355556,313957,241047,192798,24251,23998,24005,2.2135654557285545,2.213569280007212,4.099209989888401
2,continuous,20260713,355556,355556,264161,211317,26531,26313,26392,0.0,0.0,4.336963418710175
2,energy_1pct,20260713,355556,314031,246745,197371,24796,24578,24618,2.2190072048949716,2.2190072048949716,4.418961018417589
2,position_0p2mm,20260713,355556,355556,258095,206433,25940,25722,25721,0.0,0.0038742451476191887,3.981995333499537
3,combined_0p2mm_1pct,20260713,355382,313483,241273,192881,24217,24175,23953,2.2236196744126566,2.2236403628190637,4.131763072860703
3,combined_0p2mm_1pct,20260714,355382,313432,241038,192535,24261,24242,24101,2.2220786549706255,2.2221052628608913,4.13056154966324
3,combined_0p2mm_1pct,20260715,355382,313652,241216,192777,24235,24204,24119,2.2307862889587704,2.2308213791048375,4.119917158003943
3,continuous,20260713,355382,355382,264350,211303,26574,26473,26375,0.0,0.0,4.355079582589199
3,energy_1pct,20260713,355382,313483,246698,197127,24874,24697,24592,2.2198100067218047,2.2198100067218047,4.433820601553369
3,position_0p2mm,20260713,355382,355382,258587,206768,25900,25919,25684,0.0,0.00391220852149126,3.9868743357059016
4,combined_0p2mm_1pct,20260713,356214,314213,241614,193251,24066,24297,24148,2.220924245798777,2.220940257625404,4.181914370901887
4,combined_0p2mm_1pct,20260714,356214,314300,241781,193484,23962,24335,24237,2.2199506082958638,2.219957749042697,4.160063202365319
4,combined_0p2mm_1pct,20260715,356214,314133,241654,193330,23998,24326,24192,2.2183739530800595,2.2183848766550285,4.165629947871791
4,continuous,20260713,356214,356214,264925,211985,26319,26621,26507,0.0,0.0,4.382876598551717
4,energy_1pct,20260713,356214,314213,247337,197858,24633,24846,24776,2.2186021430571796,2.2186021430571796,4.46549846927527
4,position_0p2mm,20260713,356214,356214,258904,207145,25702,26057,25855,0.0,0.003909172484246977,4.024535411443231
5,combined_0p2mm_1pct,20260713,355064,312941,240267,192536,23878,23853,24072,2.2237393286795606,2.223750439781772,4.0821831085337275
5,combined_0p2mm_1pct,20260714,355064,312943,240164,192337,23935,23892,24091,2.2213321146849507,2.221364688556335,4.08834503902479
5,combined_0p2mm_1pct,20260715,355064,313301,240484,192582,23941,23961,24118,2.2249988254799495,2.2250224725562915,4.061925297707537
5,continuous,20260713,355064,355064,263740,211230,26208,26302,26552,0.0,0.0,4.307966179589752
5,energy_1pct,20260713,355064,312941,246038,197174,24443,24421,24760,2.2212883299564283,2.2212883299564283,4.378581337963079
5,position_0p2mm,20260713,355064,355064,257525,206238,25608,25679,25813,0.0,0.0039572550493042,3.9404058863371034
6,combined_0p2mm_1pct,20260713,355803,314102,241152,193305,23889,23958,24288,2.23327615381988,2.2333106148334547,4.096238321009584
6,combined_0p2mm_1pct,20260714,355803,313754,241005,193181,23856,23968,24286,2.2227994503747457,2.2227944000154713,4.07958867932395
6,combined_0p2mm_1pct,20260715,355803,313996,241606,193668,23978,23960,24383,2.22406197825646,2.224100270035171,4.1034196471398054
6,continuous,20260713,355803,355803,264654,212185,26206,26263,26646,0.0,0.0,4.319383690622548
6,energy_1pct,20260713,355803,314102,247051,198157,24454,24440,24822,2.2277021588996693,2.2277021588996693,4.397993329843084
6,position_0p2mm,20260713,355803,355803,258323,206985,25594,25744,26061,0.0,0.004019920871703343,3.9517253336440263
7,combined_0p2mm_1pct,20260713,355296,313587,241111,193121,23997,23993,24211,2.2288462972968914,2.2288787159640453,4.116085851599243
7,combined_0p2mm_1pct,20260714,355296,313300,240987,192954,24091,23942,24169,2.222562277558915,2.2225762586976794,4.138300662753277
7,combined_0p2mm_1pct,20260715,355296,313433,240974,192956,24010,24008,24171,2.225029970486446,2.2250759689411397,4.111623518257937
7,continuous,20260713,355296,355296,264345,211644,26375,26326,26504,0.0,0.0,4.374498504353584
7,energy_1pct,20260713,355296,313587,246671,197575,24553,24543,24748,2.227813087518282,2.227813087518282,4.439423836593309
7,position_0p2mm,20260713,355296,355296,258435,206913,25790,25732,25937,0.0,0.0038573682110971817,3.9679368350121647
8,combined_0p2mm_1pct,20260713,355190,313179,240913,192696,24194,24023,24166,2.2163969138511828,2.2164093488207777,4.065903664528776
8,combined_0p2mm_1pct,20260714,355190,313552,241307,193082,24236,23989,24208,2.225513253059443,2.2255554554137165,4.07140792626676
8,combined_0p2mm_1pct,20260715,355190,313645,241350,193120,24177,24053,24304,2.221559385171047,2.2215862419757304,4.054530129240196
8,continuous,20260713,355190,355190,264455,211498,26564,26393,26515,0.0,0.0,4.307711250943918
8,energy_1pct,20260713,355190,313179,246641,197241,24771,24629,24763,2.2137788691497557,2.2137788691497557,4.373684198993876
8,position_0p2mm,20260713,355190,355190,258434,206704,25951,25779,25867,0.0,0.003932375324283157,3.9357892835541683
