condition,seed,fraction,fluence_per_mm2_projection,kind,reused_stage7,image_path,finite_fraction,image_min,image_max,water_mean,water_std,water_rmse_vs_1,water_mae_vs_1,outside_mean,outside_std,outside_rmse_vs_0,phantom_rmse_vs_red_truth,phantom_mae_vs_red_truth,phantom_rmse_vs_rsp_truth,phantom_mae_vs_rsp_truth,aluminium_voxel_rmse_vs_red_truth,aluminium_voxel_rmse_vs_rsp_truth,aluminium_excess_red_recovery,aluminium_excess_rsp_recovery,insert_peak_mean,insert_contrast_mean,insert_cnr_median,insert_roi_cnr_median,insert_roi_red_recovery_mean,insert_roi_rsp_recovery_mean,insert_contrast_centroid_offset_mean_mm,insert_contrast_centroid_offset_max_mm,insert_peak_offset_mean_mm,insert_peak_offset_max_mm,aluminium_edge_10_90_median_mm
ideal_reference,20260730,1.0,900.0,analytic,True,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7/full/ideal_reference/analytic/recon_ddb_nohann.mhd,1.0,-0.1532253473997116,2.120828866958618,0.9992600679397583,0.011148144491016865,0.011172674582397653,0.008910550735890865,0.06971466541290283,0.09682581573724747,0.11931208802167778,0.06304426471881891,0.018781589344143867,0.04440792811875088,0.015329515561461449,0.42545611357481156,0.24129808473036715,0.7078575145929342,0.8497304810642229,2.0973383235931395,1.0977279543876648,96.78351307098015,92.57348578130363,0.7707504206904727,0.925228740101401,0.053586689282299774,0.5459557759093734,0.8938335933707005,1.915940512171833,1.1604363891587601
ideal_reference,20260730,0.5,450.0,analytic,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/ideal_reference/seed_20260730/f050/analytic/recon_ddb_nohann.mhd,1.0,-0.15653036534786224,2.14445424079895,0.9992544054985046,0.015796668827533722,0.015814256692844756,0.012598440982401371,0.06970665603876114,0.09746044129133224,0.11982301457061513,0.06400413719855275,0.02229887992143631,0.045782132888720725,0.01884734444320202,0.42533676772920603,0.24134043968814128,0.7080770591341432,0.8499940280136733,2.1080724143981935,1.1084638142585754,69.33744516629906,65.00025381908667,0.7708682874339232,0.9253702303888077,0.054293264175237,0.5481245305950311,0.9637217595302632,1.9053677938031535,1.1401658946079554
ideal_reference,20260730,0.25,225.0,analytic,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/ideal_reference/seed_20260730/f025/analytic/recon_ddb_nohann.mhd,1.0,-0.2109997421503067,2.1733646392822266,0.9992513656616211,0.02250666916370392,0.02251911473341842,0.017955545336008072,0.06969834864139557,0.09888987988233566,0.12098375936297415,0.06597389910379194,0.027450809255242348,0.04850503748840879,0.024004463106393814,0.4254826391011481,0.24168740786054282,0.7081494883120499,0.8500809738734219,2.129493570327759,1.1300421690940856,49.731454462575215,45.310046284216384,0.7708020395296292,0.9252907046910219,0.05482753481594736,0.5449057012589487,1.1021725466085017,3.9426178398242464,1.1371524800550652
ideal_reference,20260730,0.1,90.0,analytic,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/ideal_reference/seed_20260730/f010/analytic/recon_ddb_nohann.mhd,1.0,-1.0657057762145996,2.4830803871154785,0.9988804459571838,0.10890664905309677,0.10891240059523588,0.07821878045797348,0.0687810629606247,0.20444929599761963,0.2157089475177261,0.13024501618171397,0.08974069356918335,0.12228753831935336,0.08661245554685593,0.4379360019979674,0.261859039197835,0.7071846736253226,0.8489227853524424,2.2667249488830565,1.2669610166549683,16.299459879453913,13.765942668347368,0.7692022264784855,0.9233702477260013,0.05944907433380349,0.5457599751467084,1.1614103396687665,1.9256136543742721,1.1344320839607611
continuous_hits,20260730,1.0,900.0,analytic,True,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7/full/continuous_hits/analytic/recon_ddb_nohann.mhd,1.0,-0.15418793261051178,2.122455596923828,0.9991352558135986,0.0113527225330472,0.011385605455766237,0.009080461226403713,0.06964345276355743,0.09688062965869904,0.11931499383454412,0.06450638308668295,0.019410213455557823,0.04597116750469793,0.01595744863152504,0.4321169894761629,0.24731521417122487,0.7029689322565299,0.8438621003028437,2.0994895362854002,1.1000180125236512,96.95336591823717,90.57556208818242,0.7685708355301699,0.9226123097010075,0.053578507674106435,0.5464603313322014,0.8368411687069797,1.915940512171833,1.2067864553498695
continuous_hits,20260730,0.5,450.0,analytic,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/continuous_hits/seed_20260730/f050/analytic/recon_ddb_nohann.mhd,1.0,-0.15686190128326416,2.145352840423584,0.9991263151168823,0.01603464037179947,0.01605842805064253,0.012807635590434074,0.06963641941547394,0.09753316640853882,0.11984134449715322,0.06546942291819037,0.02296038530766964,0.0473269418184278,0.019507981836795807,0.43211030247145854,0.24746703142194734,0.7031059018795882,0.8440265221833678,2.113049306869507,1.1136051058769225,68.92851149751371,63.940412654079495,0.7687419718080664,0.922817746115355,0.05384272667232709,0.5479522091747295,0.8799070271644784,3.9776295118279856,1.1984888499806536
continuous_hits,20260730,0.25,225.0,analytic,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/continuous_hits/seed_20260730/f025/analytic/recon_ddb_nohann.mhd,1.0,-0.23963473737239838,2.1653714179992676,0.9991242289543152,0.022893255576491356,0.022910002514959497,0.01825742796063423,0.06962209194898605,0.09905287623405457,0.12107315289883633,0.06751031440890332,0.028187910094857216,0.050117660467294364,0.024737544357776642,0.4322956719392387,0.24785777540252715,0.7031784913954603,0.8441136605169598,2.1262166595458982,1.1269111561775207,48.94460462749155,44.68913023215031,0.7687907755905243,0.9228763314381052,0.05436355671739475,0.5454639536061815,1.0178861011484692,3.95763641358485,1.1855341797382868
continuous_hits,20260730,0.1,90.0,analytic,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/continuous_hits/seed_20260730/f010/analytic/recon_ddb_nohann.mhd,1.0,-1.0929242372512817,2.582064628601074,0.9986813068389893,0.11578599363565445,0.11579350349948894,0.08426941186189651,0.06872862577438354,0.21085624396800995,0.2217746211099254,0.13674846576375407,0.09572167694568634,0.12895116757960493,0.0925944596529007,0.4482797504837546,0.2718859847835571,0.7004116582355084,0.8407922823814429,2.31370662689209,1.3143374180793763,15.54904900511824,12.691018655847277,0.765200186746221,0.9185660957204773,0.06033811299366767,0.5392760267674495,1.1577987179764528,1.7907262224844005,1.2323998298224998
combined_0p2mm_1pct,20260730,1.0,900.0,analytic,True,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7/full/energy_1pct/analytic/recon_ddb_nohann.mhd,1.0,-0.13296282291412354,2.0955562591552734,0.9942981004714966,0.0146526750177145,0.015722992771134203,0.012361585162580013,0.11232887953519821,0.10624074935913086,0.15461201376466846,0.09040800480825394,0.03379012271761894,0.07210688145058843,0.030330553650856018,0.558617196513397,0.36011661406325146,0.6033440445190335,0.7242698066025586,2.073538637161255,1.077629873752594,78.75902919909014,66.37616374368326,0.6782434083727954,0.8141809298640041,0.06722617466562536,0.5360826951598603,0.3500863690148727,0.6211260386741778,1.7871854365406832
combined_0p2mm_1pct,20260730,0.5,450.0,analytic,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f050/analytic/recon_ddb_nohann.mhd,1.0,-0.13592062890529633,2.125657320022583,0.9942938685417175,0.02019607089459896,0.02098669665674768,0.01659642532467842,0.11233969032764435,0.10743308067321777,0.15544154152216355,0.09160094279319622,0.03750814124941826,0.07359209762067748,0.03404836356639862,0.5588915854439581,0.36047994499017727,0.6032791674916151,0.7241919265397186,2.0855539894104003,1.089641468524933,56.53597428313244,47.05165335190976,0.6780664893365617,0.8139685516769797,0.06757030383588908,0.5354461067261672,0.3957261027915378,0.75511889944142,1.7794273679341948
