condition,seed,fraction,replicate,nominal_fluence_per_mm2_projection,full_filtered,selected,min_per_angle,max_per_angle
ideal_reference,20260730,0.5,False,450.0,199773388,99886973,137620,139863
ideal_reference,20260730,0.25,False,225.0,199773388,49944129,68467,70274
ideal_reference,20260730,0.1,False,90.0,199773388,19984241,27218,28281
continuous_hits,20260730,0.5,False,450.0,189754175,94878872,130687,132960
continuous_hits,20260730,0.25,False,225.0,189754175,47437960,65037,66734
continuous_hits,20260730,0.1,False,90.0,189754175,18981211,25854,26896
combined_0p2mm_1pct,20260730,0.5,False,450.0,173439348,86721642,119385,121465
combined_0p2mm_1pct,20260730,0.25,False,225.0,173439348,43361516,59377,61061
combined_0p2mm_1pct,20260730,0.1,False,90.0,173439348,17350551,23594,24681
combined_0p2mm_1pct,20260731,0.25,True,225.0,173439348,43363106,59499,61061
combined_0p2mm_1pct,20260731,0.1,True,90.0,173439348,17345616,23585,24550
combined_0p2mm_1pct,20260732,0.25,True,225.0,173439348,43354618,59609,60882
combined_0p2mm_1pct,20260732,0.1,True,90.0,173439348,17345533,23654,24602
