run_id,condition,seed,fraction,full_filtered,selected,status
0,combined_0p2mm_1pct,20260730,0.5,240908,120528,reused
1,combined_0p2mm_1pct,20260730,0.5,240306,119972,reused
2,combined_0p2mm_1pct,20260730,0.5,240547,119940,reused
3,combined_0p2mm_1pct,20260730,0.5,240874,120454,reused
4,combined_0p2mm_1pct,20260730,0.5,241233,120697,reused
5,combined_0p2mm_1pct,20260730,0.5,239919,119990,reused
6,combined_0p2mm_1pct,20260730,0.5,240818,120363,reused
7,combined_0p2mm_1pct,20260730,0.5,240886,120678,reused
8,combined_0p2mm_1pct,20260730,0.5,240763,120064,reused
9,combined_0p2mm_1pct,20260730,0.5,240516,120556,reused
10,combined_0p2mm_1pct,20260730,0.5,240272,119991,reused
11,combined_0p2mm_1pct,20260730,0.5,239822,119962,reused
12,combined_0p2mm_1pct,20260730,0.5,240881,120450,reused
13,combined_0p2mm_1pct,20260730,0.5,241208,120351,reused
14,combined_0p2mm_1pct,20260730,0.5,240027,120015,reused
15,combined_0p2mm_1pct,20260730,0.5,240957,120340,reused
16,combined_0p2mm_1pct,20260730,0.5,241218,120733,reused
17,combined_0p2mm_1pct,20260730,0.5,242152,121028,reused
18,combined_0p2mm_1pct,20260730,0.5,240973,120917,reused
19,combined_0p2mm_1pct,20260730,0.5,241615,121213,reused
20,combined_0p2mm_1pct,20260730,0.5,240334,120211,reused
21,combined_0p2mm_1pct,20260730,0.5,242643,121368,reused
22,combined_0p2mm_1pct,20260730,0.5,241386,120609,reused
23,combined_0p2mm_1pct,20260730,0.5,240787,120026,reused
24,combined_0p2mm_1pct,20260730,0.5,242048,121333,reused
25,combined_0p2mm_1pct,20260730,0.5,241209,120743,reused
26,combined_0p2mm_1pct,20260730,0.5,241031,120616,reused
27,combined_0p2mm_1pct,20260730,0.5,240399,120234,reused
28,combined_0p2mm_1pct,20260730,0.5,240218,120319,reused
29,combined_0p2mm_1pct,20260730,0.5,240634,120454,reused
30,combined_0p2mm_1pct,20260730,0.5,240992,120426,reused
31,combined_0p2mm_1pct,20260730,0.5,241007,120245,reused
32,combined_0p2mm_1pct,20260730,0.5,241100,120425,reused
33,combined_0p2mm_1pct,20260730,0.5,240348,120063,reused
34,combined_0p2mm_1pct,20260730,0.5,241915,121375,reused
35,combined_0p2mm_1pct,20260730,0.5,240982,120387,reused
36,combined_0p2mm_1pct,20260730,0.5,241523,120809,reused
37,combined_0p2mm_1pct,20260730,0.5,241064,120409,reused
38,combined_0p2mm_1pct,20260730,0.5,240807,120200,reused
39,combined_0p2mm_1pct,20260730,0.5,241439,120722,reused
40,combined_0p2mm_1pct,20260730,0.5,241005,120257,reused
41,combined_0p2mm_1pct,20260730,0.5,240641,120174,reused
42,combined_0p2mm_1pct,20260730,0.5,242044,121067,reused
43,combined_0p2mm_1pct,20260730,0.5,241141,120192,reused
44,combined_0p2mm_1pct,20260730,0.5,241880,121086,reused
45,combined_0p2mm_1pct,20260730,0.5,240329,120163,reused
46,combined_0p2mm_1pct,20260730,0.5,242138,120767,reused
47,combined_0p2mm_1pct,20260730,0.5,240624,119995,reused
48,combined_0p2mm_1pct,20260730,0.5,240720,120632,reused
49,combined_0p2mm_1pct,20260730,0.5,240396,119795,reused
50,combined_0p2mm_1pct,20260730,0.5,239237,119606,reused
51,combined_0p2mm_1pct,20260730,0.5,241655,120782,reused
52,combined_0p2mm_1pct,20260730,0.5,240348,120083,reused
53,combined_0p2mm_1pct,20260730,0.5,240558,120450,reused
54,combined_0p2mm_1pct,20260730,0.5,240261,120220,reused
55,combined_0p2mm_1pct,20260730,0.5,240853,120294,reused
56,combined_0p2mm_1pct,20260730,0.5,241118,120363,reused
