condition,seed,fraction,reused_stage7,iterative_seconds,gpu,pairs_per_epoch
ideal_reference,20260730,1.0,True,16263.329785984,NVIDIA GeForce RTX 4060 Laptop GPU,199773388
continuous_hits,20260730,1.0,True,15457.794885975,NVIDIA GeForce RTX 4060 Laptop GPU,189754175
combined_0p2mm_1pct,20260730,1.0,True,14200.888022849002,NVIDIA GeForce RTX 4060 Laptop GPU,173439348
ideal_reference,20260730,0.5,False,8153.277083822999,NVIDIA GeForce RTX 4060 Laptop GPU,99886973
ideal_reference,20260730,0.25,False,4099.319178177,NVIDIA GeForce RTX 4060 Laptop GPU,49944129
ideal_reference,20260730,0.1,False,1643.622760831,NVIDIA GeForce RTX 4060 Laptop GPU,19984241
continuous_hits,20260730,0.5,False,7795.961922564995,NVIDIA GeForce RTX 4060 Laptop GPU,94878872
continuous_hits,20260730,0.25,False,4047.6478971869997,NVIDIA GeForce RTX 4060 Laptop GPU,47437960
continuous_hits,20260730,0.1,False,1569.4387558110002,NVIDIA GeForce RTX 4060 Laptop GPU,18981211
combined_0p2mm_1pct,20260730,0.5,False,7191.951404443,NVIDIA GeForce RTX 4060 Laptop GPU,86721642
combined_0p2mm_1pct,20260730,0.25,False,3608.0870267299997,NVIDIA GeForce RTX 4060 Laptop GPU,43361516
combined_0p2mm_1pct,20260730,0.1,False,1520.2007589919995,NVIDIA GeForce RTX 4060 Laptop GPU,17350551
combined_0p2mm_1pct,20260731,0.25,False,3605.7413109730005,NVIDIA GeForce RTX 4060 Laptop GPU,43363106
combined_0p2mm_1pct,20260731,0.1,False,1451.374335354,NVIDIA GeForce RTX 4060 Laptop GPU,17345616
combined_0p2mm_1pct,20260732,0.25,False,3525.8453212960003,NVIDIA GeForce RTX 4060 Laptop GPU,43354618
combined_0p2mm_1pct,20260732,0.1,False,1452.940071854,NVIDIA GeForce RTX 4060 Laptop GPU,17345533
