output_run,original_run,angle_deg,selected,status
0,0,0.0,47958,written
1,2,1.0,48227,written
2,4,2.0,48158,written
3,6,3.0,47918,written
4,8,4.0,48124,written
5,10,5.0,47934,written
6,12,6.0,48116,written
7,14,7.0,48229,written
8,16,8.0,48329,written
9,18,9.0,48180,written
10,20,10.0,48186,written
11,22,11.0,48165,written
12,24,12.0,48368,written
13,26,13.0,48218,written
14,28,14.0,48358,written
15,30,15.0,48077,written
16,32,16.0,48056,written
17,34,17.0,48609,written
18,36,18.0,48373,written
19,38,19.0,48304,written
20,40,20.0,47870,written
21,42,21.0,48535,written
22,44,22.0,48404,written
23,46,23.0,48608,written
24,48,24.0,48005,written
25,50,25.0,47997,written
26,52,26.0,47674,written
27,54,27.0,48303,written
28,56,28.0,48134,written
29,58,29.0,48374,written
30,60,30.0,48151,written
31,62,31.0,48203,written
32,64,32.0,48672,written
33,66,33.0,48269,written
34,68,34.0,48128,written
35,70,35.0,48581,written
36,72,36.0,47856,written
37,74,37.0,48440,written
38,76,38.0,48392,written
39,78,39.0,48121,written
40,80,40.0,48122,written
41,82,41.0,48299,written
42,84,42.0,48136,written
43,86,43.0,48283,written
44,88,44.0,48282,written
45,90,45.0,48305,written
46,92,46.0,48112,written
47,94,47.0,47872,written
48,96,48.0,47564,written
49,98,49.0,48427,written
50,100,50.0,48139,written
51,102,51.0,48019,written
52,104,52.0,48166,written
53,106,53.0,48366,written
54,108,54.0,48158,written
55,110,55.0,48500,written
56,112,56.0,48242,written
57,114,57.0,48052,written
58,116,58.0,48284,written
59,118,59.0,47822,written
60,120,60.0,48061,written
61,122,61.0,48066,written
62,124,62.0,48348,written
63,126,63.0,48046,written
64,128,64.0,48336,written
65,130,65.0,47994,written
66,132,66.0,48297,written
67,134,67.0,48220,written
68,136,68.0,48216,written
69,138,69.0,48127,written
70,140,70.0,48299,written
71,142,71.0,48058,written
72,144,72.0,47845,written
73,146,73.0,47967,written
74,148,74.0,48069,written
75,150,75.0,48138,written
76,152,76.0,47969,written
77,154,77.0,47885,written
