configuration,epoch,water_std,phantom_rmse,cnr,aluminium_rsp
720角度 × 10%,0,0.13035303354263306,0.15328957502033774,11.995129808531614,2.273794870376587
720角度 × 10%,1,0.12389983236789703,0.1429204365787111,12.542424230910852,2.2513781070709227
720角度 × 10%,2,0.11813317984342575,0.13705791929078462,13.17843146436585,2.2267442607879637
720角度 × 10%,3,0.11279547959566116,0.13207024682077403,13.871814704216815,2.208082103729248
720角度 × 10%,4,0.10780806839466095,0.12756030521864326,14.598270858474214,2.1923152160644532
720角度 × 10%,5,0.10311025381088257,0.12339333935679685,15.369027770708133,2.178710594177246
360角度 × 20%,0,0.04617713391780853,0.0844594051409357,26.109313935047922,2.1412413120269775
360角度 × 20%,1,0.04024011641740799,0.0726696776261038,29.674087314806194,2.126047830581665
360角度 × 20%,2,0.03521540388464928,0.06868089887139814,33.70220283813022,2.1102383613586424
360角度 × 20%,3,0.03071386180818081,0.06606617963082928,38.40153183175189,2.0982205486297607
360角度 × 20%,4,0.026713326573371887,0.06413392754825546,44.20906669769985,2.088140678405762
360角度 × 20%,5,0.023171480745077133,0.06265907103740521,50.97166896479299,2.0794366455078124
