epoch,subset,relaxation,pairs,measurements,residual_rmse_mm,update_l2,update_max_abs,image_min,image_max,elapsed_seconds
1,0,0.25,963762,878563,4.839460237813907,8.176204681396484,0.34781715273857117,0.0,2.2407948970794678,16.079006100000697
1,1,0.25,963174,878296,4.581308580605072,6.519008636474609,0.4956447184085846,0.0,2.24249005317688,15.992146783002681
1,2,0.25,961990,877271,4.420364419760095,5.362250328063965,0.367458701133728,0.0,2.2434933185577393,15.905978604001575
1,3,0.25,963232,878264,4.320315037688564,4.554932594299316,0.5351136922836304,0.0,2.2442104816436768,15.950084338001034
1,4,0.25,963867,879053,4.257516973067546,3.903972625732422,0.3317350149154663,0.0,2.24458384513855,16.042045157002576
1,5,0.25,962886,877701,4.211732394093484,3.4428622722625732,0.2644181549549103,0.0,2.245032548904419,15.97086900800059
1,6,0.25,961620,876915,4.19426716860311,3.1135191917419434,0.34687790274620056,0.0,2.2449862957000732,15.892023087999405
1,7,0.25,963301,878103,4.175591790255688,2.869934558868408,0.3314291536808014,0.0,2.2447071075439453,16.0161047540023
1,8,0.25,963977,879285,4.15201420623106,2.632427215576172,0.32876715064048767,0.0,2.2442145347595215,16.093647112000326
1,9,0.25,962375,877633,4.138413887287248,2.6983625888824463,1.0269709825515747,0.0,2.243586301803589,16.026574273000733
1,10,0.25,964337,879043,4.135525936268741,2.3752174377441406,0.21659912168979645,0.0,2.2432336807250977,16.003542614998878
1,11,0.25,962903,878111,4.115412735329909,2.260880708694458,0.28592023253440857,0.0,2.24271559715271,15.980429914001434
1,12,0.25,962915,877819,4.1199767248122185,2.185805320739746,0.2952994108200073,0.0,2.2423083782196045,15.959961353997642
1,13,0.25,963555,878229,4.119324995481816,2.167717218399048,0.3269921541213989,0.0,2.242053508758545,15.9967943369993
1,14,0.25,963970,879084,4.110499602909293,2.0355958938598633,0.25424903631210327,0.0,2.2414090633392334,15.98407166800098
1,15,0.25,964263,879284,4.096577333360282,1.9353927373886108,0.3776869475841522,0.0,2.2411985397338867,15.99741587400058
1,16,0.25,965849,880814,4.1040182296892915,1.9622482061386108,0.6300106644630432,0.0,2.240697145462036,16.09041732300102
1,17,0.25,965150,880031,4.100640422583641,1.8479804992675781,0.28211909532546997,0.0,2.2403242588043213,15.999754641001346
2,0,0.20833333333333334,963762,878563,4.078855898207044,1.602766752243042,0.26683497428894043,0.0,2.217761754989624,15.955747915999382
