candidate,epoch,image_path,sample_fraction,grid_size,grid_spacing_mm,path_step_mm,phantom_radius_mm,batch_size,subsets,epochs,relaxation,relaxation_decay,regularizer,regularization_weight,regularization_iterations,regularization_every_epochs,huber_delta,primal_step,dual_step,seed,finite_fraction,image_min,image_max,water_mean,water_std,water_rmse_vs_1,water_mae_vs_1,outside_mean,outside_std,outside_rmse_vs_0,phantom_rmse_vs_red_truth,phantom_mae_vs_red_truth,phantom_rmse_vs_rsp_truth,phantom_mae_vs_rsp_truth,aluminium_voxel_rmse_vs_red_truth,aluminium_voxel_rmse_vs_rsp_truth,aluminium_excess_red_recovery,aluminium_excess_rsp_recovery,insert_peak_mean,insert_contrast_mean,insert_cnr_median,insert_roi_cnr_median,insert_roi_red_recovery_mean,insert_roi_rsp_recovery_mean,insert_contrast_centroid_offset_mean_mm,insert_contrast_centroid_offset_max_mm,insert_peak_offset_mean_mm,insert_peak_offset_max_mm,aluminium_edge_10_90_median_mm,water_bias_fraction,phantom_rmse_ratio,aluminium_error_degradation_pp,edge_width_ratio,constraints_passed
r0p25_d0p2_b0p0125,1,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/angular_fluence/angles360_f0200/iterative/recon/epoch_01.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.2179670333862305,1.0029826164245605,0.04024011641740799,0.040350494422139956,0.031222309917211533,0.0,0.0,0.0,0.0905423173581311,0.04587148502469063,0.0726696776261038,0.04241865873336792,0.5523030292308595,0.35521160633208104,0.609770707516813,0.7319845391979752,2.126047830581665,1.123911247253418,29.674087314806194,23.51796175009235,0.6789849379706995,0.8150710811726498,0.06403718180845054,0.5415592025848734,0.5346907336178944,0.9281381995955986,1.8090912815694982,0.003237629550841392,1.2770762375143372,-0.8856601727340152,1.0233980565821583,False
r0p25_d0p2_b0p0125,2,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/angular_fluence/angles360_f0200/iterative/recon/epoch_02.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.1986756324768066,1.0010462999343872,0.03521540388464928,0.03523094701071409,0.02687261812388897,0.0,0.0,0.0,0.08743473502636423,0.04089910537004471,0.06868089887139814,0.037444401532411575,0.5533700416552055,0.35594471612637685,0.6085926256445157,0.730570339227723,2.1102383613586424,1.1096637988090514,33.70220283813022,27.072152247847846,0.6788644673885503,0.8149264651699216,0.06204374394316891,0.5418006680703817,0.539687472423307,0.9281381995955986,1.7774370520184448,0.0013008207429414664,1.2069785746274055,-1.6404648815193434,1.0054913443365225,False
r0p25_d0p2_b0p0125,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/angular_fluence/angles360_f0200/iterative/recon/epoch_03.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.184070587158203,1.0002533197402954,0.03071386180818081,0.030714906644674952,0.022999344393610954,0.0,0.0,0.0,0.08543009637225803,0.0368969552218914,0.06606617963082928,0.033441174775362015,0.5538497712031671,0.3561916911843376,0.607962259306768,0.7298136311609462,2.0982205486297607,1.098119695186615,38.40153183175189,31.323147890864455,0.6784663125849066,0.8144485098455373,0.06065751295506944,0.5422358784844429,0.5506243708113262,0.9281381995955986,1.7975161226416794,0.0005076389298432904,1.1610282426735103,-2.2142413637715297,1.0168500204094992,False
r0p25_d0p2_b0p0125,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/angular_fluence/angles360_f0200/iterative/recon/epoch_04.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.171096086502075,0.9998761415481567,0.026713326573371887,0.02671361353415056,0.019543951377272606,0.0,0.0,0.0,0.08397426855837033,0.03346419706940651,0.06413392754825546,0.03000763989984989,0.5542588121854409,0.356401326521237,0.6074243828083623,0.7291679502911087,2.088140678405762,1.088235445022583,44.20906669769985,35.99482843569067,0.6779533102127457,0.8138326885294254,0.05962856264839797,0.5426718721862354,0.5437890062302785,0.9281381995955986,1.7978501984356228,0.0001303648383457201,1.1270713943682384,-2.0871860064132775,1.017039006184709,False
r0p25_d0p2_b0p0125,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/angular_fluence/angles360_f0200/iterative/recon/epoch_05.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.25,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.1598658561706543,0.999674916267395,0.023171480745077133,0.02317376101316202,0.016481833532452583,0.0,0.0,0.0,0.08288223637564157,0.030479058623313904,0.06265907103740521,0.027021903544664383,0.5546718469100524,0.3566318793868309,0.6069046886171452,0.7285440959334091,2.0794366455078124,1.0796232438087463,50.97166896479299,41.51187891746011,0.6773819726240349,0.813146840110553,0.05882187860311273,0.5432949678400798,0.544910591479603,0.9281381995955986,1.7970829453241008,7.091160490579895e-05,1.1011526856952611,-1.6716220855684583,1.0166049731697708,False
r0p05_d0p2_b0p0125,1,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p05_d0p2_b0p0125/recon/epoch_01.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.05,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.22098970413208,1.0017309188842773,0.04045305773615837,0.040490071699378044,0.03131214901804924,0.0,0.0,0.0,0.09462453335052197,0.04875053092837334,0.07762181641053893,0.04529685527086258,0.5538896857973663,0.35667564640637706,0.6084763351479263,0.7304307411058228,2.125082492828369,1.1230195307731627,29.48614787786208,23.374998480847903,0.6777928892547033,0.8136401150621769,0.06712455673881391,0.5414856754175502,0.5726755734629946,0.9864621853180388,1.8032479392691954,0.001985613760473237,1.3641037154538223,-0.9317491002923672,1.0200924936097437,False
r0p05_d0p2_b0p0125,2,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p05_d0p2_b0p0125/recon/epoch_02.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.05,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.2047908306121826,1.0036925077438354,0.03560831397771835,0.035799258312701414,0.0273288507014513,0.0,0.0,0.0,0.09117148488697104,0.04414649307727814,0.07341569739328863,0.04069192335009575,0.5527764839902858,0.3554865671095001,0.6091925443820955,0.731290497207223,2.1120331192016604,1.108549072742462,33.366174474325796,26.748284579270496,0.6772361576568943,0.8129718000525608,0.06624427815502944,0.5416679599472415,0.5585659274953589,0.9281381995955986,1.7800486878986355,0.003947701363378853,1.2901865766339027,-1.554776257067192,1.0069687397070692,False
r0p05_d0p2_b0p0125,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p05_d0p2_b0p0125/recon/epoch_03.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.05,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.190793991088867,1.004095196723938,0.03133107349276543,0.031597577713593554,0.023717645555734634,0.0,0.0,0.0,0.08871232993587702,0.04023243859410286,0.07031329460843752,0.03677712380886078,0.5529757248229709,0.3554908736810267,0.6088166860574662,0.7308393071464904,2.1004908084869385,1.0968865871429443,37.65556868799881,30.72381293581948,0.6766027787744665,0.8122114756600415,0.06568672548411651,0.5420658831439397,0.5810733240687154,0.9281381995955986,1.7959660498160424,0.004350492729080058,1.2356658328359633,-2.1058504490488072,1.0159731483945385,False
r0p05_d0p2_b0p0125,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p05_d0p2_b0p0125/recon/epoch_04.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.05,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.177546739578247,1.0040075778961182,0.02752191387116909,0.02781216901456331,0.02044355683028698,0.0,0.0,0.0,0.08684925233104808,0.03680455684661865,0.06789978600518395,0.03334856778383255,0.5535823561813876,0.3558747896230749,0.6081126329776214,0.7299941436073629,2.0902001571655275,1.0868243026733397,43.04292697662763,35.07150012939804,0.6759146092330083,0.8113853791432867,0.06526817415784653,0.542468994880044,0.5627888763146747,0.9281381995955986,1.7963364700122404,0.004262851623754393,1.1932515193707227,-2.1855134229498585,1.0161826941000371,False
r0p05_d0p2_b0p0125,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/optimization/360_angles_x_20pct/development/r0p05_d0p2_b0p0125/recon/epoch_05.mhd,1.0,2100,0.1,0.1,100.0,4096,18,5,0.05,0.2,huber_tv,0.0125,100,1,0.002,0.25,0.25,20260713,1.0,0.0,2.165768623352051,1.003768801689148,0.02413768880069256,0.024430136986836038,0.017516665160655975,0.0,0.0,0.0,0.08540694854295085,0.03379809483885765,0.06598931428512018,0.030341556295752525,0.5543170583055632,0.35638523261938065,0.6073136078112238,0.7290349731174998,2.081161937713623,1.078080039024353,49.58184804285112,40.15387065694194,0.6751840256973103,0.8105083677708284,0.06491826367714909,0.5430775091157108,0.5520757311926472,0.9281381995955986,1.7956504013120376,0.004024014706791812,1.159677432958921,-1.7539941540171577,1.015794586887525,False
