run_id,seed,fraction,parent,selected,status
0,20260730,0.2,59956,47958,written
1,20260730,0.2,60418,48462,written
2,20260730,0.2,60204,48227,written
3,20260730,0.2,60153,48026,written
5,20260730,0.2,60083,47939,written
4,20260730,0.2,60382,48158,written
6,20260730,0.2,59977,47918,written
7,20260730,0.2,60475,48476,written
8,20260730,0.2,60163,48124,written
9,20260730,0.2,60088,48174,written
11,20260730,0.2,60120,48069,written
10,20260730,0.2,59854,47934,written
12,20260730,0.2,60108,48116,written
13,20260730,0.2,60351,48460,written
14,20260730,0.2,60241,48229,written
15,20260730,0.2,60178,48246,written
16,20260730,0.2,60339,48329,written
17,20260730,0.2,60329,48333,written
18,20260730,0.2,60213,48180,written
19,20260730,0.2,60642,48447,written
20,20260730,0.2,60165,48186,written
21,20260730,0.2,60602,48558,written
22,20260730,0.2,60236,48165,written
23,20260730,0.2,59923,47884,written
24,20260730,0.2,60510,48368,written
25,20260730,0.2,60405,48142,written
26,20260730,0.2,60391,48218,written
27,20260730,0.2,60307,48366,written
29,20260730,0.2,60119,48007,written
28,20260730,0.2,60512,48358,written
30,20260730,0.2,59897,48077,written
31,20260730,0.2,60301,48330,written
32,20260730,0.2,60108,48056,written
33,20260730,0.2,60053,47933,written
34,20260730,0.2,60519,48609,written
35,20260730,0.2,60044,48255,written
37,20260730,0.2,60551,48438,written
36,20260730,0.2,60303,48373,written
38,20260730,0.2,60300,48304,written
39,20260730,0.2,60243,48297,written
40,20260730,0.2,59910,47870,written
41,20260730,0.2,59959,47966,written
43,20260730,0.2,59981,47936,written
42,20260730,0.2,60742,48535,written
45,20260730,0.2,59837,47923,written
44,20260730,0.2,60395,48404,written
47,20260730,0.2,60051,48089,written
46,20260730,0.2,60793,48608,written
48,20260730,0.2,60138,48005,written
49,20260730,0.2,59979,48000,written
51,20260730,0.2,60460,48296,written
50,20260730,0.2,59994,47997,written
53,20260730,0.2,60225,48223,written
52,20260730,0.2,59652,47674,written
54,20260730,0.2,60353,48303,written
55,20260730,0.2,60337,48282,written
57,20260730,0.2,60086,48211,written
58,20260730,0.2,60422,48374,written
56,20260730,0.2,60075,48134,written
59,20260730,0.2,59980,48137,written
60,20260730,0.2,60575,48151,written
61,20260730,0.2,60441,48344,written
62,20260730,0.2,60253,48203,written
63,20260730,0.2,60142,47944,written
65,20260730,0.2,60069,47889,written
66,20260730,0.2,60223,48269,written
64,20260730,0.2,60677,48672,written
67,20260730,0.2,59880,48028,written
68,20260730,0.2,60192,48128,written
70,20260730,0.2,60527,48581,written
69,20260730,0.2,60619,48654,written
71,20260730,0.2,59580,47673,written
72,20260730,0.2,59740,47856,written
