run_id,paired,physical,filtered_support_hit,train,validation,test,screen_train,pairs_sha256,events_sha256,partition_sha256,wepl_mean_mm,wepl_min_mm,wepl_max_mm,air_only_count,air_only_residual_sum_mm,air_only_residual_abs_sum_mm,inside_grid,outside_grid,selected,train_count,fallback_bins,occupied_bins,status
0,1900069,1900069,1230846,985427,122781,122638,98425,159a2fad0b3ddbacea37f50a38becdfc0ae6b2c24cd24b6dccf6faadc2a90281,a0e96cbe2e513d3e33c670d0c603f2e3a5a37c6865197e56aac2d6eb20383206,3cabb8910418949fec6b054348a3566b593b5e9c98ce7d207bd1dd5d5b2d9ec1,71.50550079345703,0.0,115.87960815429688,594601,-3425.9386524918177,24111.235505213175,1877322,22747,1825447,1520686,0,1200,PASS
1,1901904,1901904,1231989,985205,123461,123323,98116,64ec177d7b92fa19b9b9ca010e7d71e6025224bce8b45a050beaf16097e72a4e,5e88f8181c341cfb923a3ac75960fd0398a30d7be6a8caa977aebd9a2fcd63a1,72c44c06c5c6320e4c227ef55e2a1e6b1908f9f27ec93681b3e23916ac8b5347,71.55879211425781,0.0,125.80327606201172,594845,-3215.25905058992,24377.916451778314,1879102,22802,1826834,1521786,0,1200,PASS
2,1900512,1900512,1232981,986123,123549,123309,98396,56f23ebc092c501672ac4d2e224ddee4242bb8bfc6d2f306292fc707eee06a8a,e83973672844cd2357988e0c63f8af92a907fb4ea02acaf9894466f1ba68310c,a3e0d2b22b874ccfd5a89e9b3ee14c38db54b6bcad8e34218f3a3dfa54db9bb1,71.5433349609375,0.0,118.91340637207031,592743,-3285.8249275145263,24189.50373615205,1877708,22804,1825724,1520671,0,1200,PASS
3,1901061,1901061,1233451,987043,123089,123319,98755,1fdb8916f1c751bfa5623720881fb40d255da1b543466e9d5451772b3ee91ea3,4428d1912449b5a5319755bd28a45286de3b286d46f5c7d1dfca0358e2f6c84d,cbc6fcba5d9229f412bac5aaae5903e7c37b45c6d5fd1e80f134f661f8e2c0f6,71.55374908447266,0.0,119.83261108398438,592627,-3035.3107522380183,24400.326018018528,1878208,22853,1826078,1521053,0,1200,PASS
4,1900577,1900577,1232475,985942,123750,122783,98984,88b635f343f79f22fb9485640edf60e2a36908ec2f8ba86d35fed8c8ddcb88f8,e1dc8f7761e85b6fa236946e18417a005f55a1ce07363ce4919b9b01f30437dd,d0f1df80100d28d6dd77231511b8332c3ad3649f318db8c7296cb696764ec9c4,71.5550765991211,0.0,119.56844329833984,593669,-3319.2169995186478,24219.221459403496,1877818,22759,1826144,1519906,0,1200,PASS
5,1900633,1900633,1232898,985845,123745,123308,98586,15f7efff0852c61605b06b0bb7ac8e7451e1e1b9a93d9bbb3c88fc95162c285b,326b520e5fd8508dbb75e469883e8d7adec7792c3a69ec55456e26c3a54469cb,455c55b574a5bda0129d12285df826ed7c735506f6aede5ea31960c8a6a52b73,71.54913330078125,0.0,127.18810272216797,593114,-3022.001441907442,24464.347909980934,1877731,22902,1826012,1520847,0,1200,PASS
6,1903062,1903062,1233740,987260,123402,123078,98232,6a50fefc7154ce825cf7f0874e2c12afdb642b5f931c18903b01048b0dee7721,db8ce3b8196f976daefb1cc72c256462fbedb17bcdbb8412ffff7ade892b467a,5a34211c86b108b358add5abfb9357cd2fb16628fb25b4bcd61147d5015b5e50,71.5384521484375,0.0,121.3499984741211,594208,-3307.705176386363,24171.31914187543,1880514,22548,1827948,1522428,0,1200,PASS
7,1902076,1902076,1233243,986782,123371,123090,98586,8258722049227bf0a0efc4dcc243036aa9bf13c4687dcdfefa0edea31555dedc,a23d8f27e0796281ad3fb90b750f32f646f97672d0955ad71f7d709721c0a8ad,2623b7a3da5ee155d3f1292d57081277a648e7bd32073a7e52b5bf7bdef7af96,71.51886749267578,0.0,123.42681121826172,593529,-3465.444750735184,24035.23951385628,1879160,22916,1826772,1521285,0,1200,PASS
8,1901423,1901423,1232583,986059,123981,122543,98522,ef21b670242367a5c3c5ead4acd5953b23d59979d3d0a04906452db89331fd21,7dd0c88391477601a15cf5f532c7799d577a6a4f87ce41b8617da59d66106b73,a5e8b8e74fde17e7b1bcbf03baa6babe9b76516e1f5b8760d54bbabb1309bee0,71.53598022460938,0.0,117.35285186767578,593410,-3402.2773549136873,24070.77698561624,1878734,22689,1825993,1520760,0,1200,PASS
9,1902625,1902625,1234509,987302,123409,123798,98745,3fea8b59714e77a020c855d49a7468e6736b9c097edcd9b76f66d7a5522192a3,3dea466ea02ac1422658dcf50eb3b76345e608b142791e5e50fda69e5d9cd7c9,4a666728ff4a7a067fc7a0d3bff43fe6497e2eee8b180a161eacb9dfde2c35eb,71.57467651367188,0.0,117.47761535644531,593555,-3331.3445931338865,24213.49265618516,1880025,22600,1828064,1520962,0,1200,PASS
